slug,score,in_gd4h
qualite-de-lair-emissions-sectorielles-de-nox-pm2-5-pm10,0.33056295,False
emi-aura-dpt-2016,0.33024672,False
emissions-annuelles-par-departement,0.3298005,False
emi-aura-dpt-2012,0.32979548,False
emi-aura-region-2016,0.32939774,False
emi-aura-region-2012,0.32894024,False
emissions-annuelles-regionales,0.3287462,False
donnees-de-la-station-climatique-de-darbounouse,0.32867506,False
emi-aura-epci-2016,0.32862213,False
emissions-annuelles-par-epci,0.3284764,False
emi-aura-epci-2012,0.3282032,False
registre-francais-des-emissions-polluantes-emissions-cu-grand-poitiers,0.32698065,False
registre-francais-des-emissions-polluantes-prelevements-cu-grand-poitiers,0.3266196,False
registre-francais-des-emissions-polluantes-etablissements,0.32602942,False
registre-francais-des-emissions-polluantes,0.32566118,True
registre-francais-des-emissions-polluantes-production-dechets-cu-grand-poitiers,0.3248509,False
dispositif-de-suivi-de-la-qualite-de-lair-sur-la-region-grand-est-etat-du-reseau-de-mesure-atmo-grand-est,0.3242225,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.32200095,True
pollution-t1-2019-courbevoie-parc-des-pleiades,0.31963852,False
perimetres-des-territoires-fonds-air-bois-en-auvergne-rhone-alpes,0.31597784,False
indice-air-sante-pm25-4,0.3147927,False
energie-et-developpement-durable-1,0.314424,False
atmo-indice-qualite-de-lair,0.31380242,False
qualite-de-lair-mesuree-dans-la-station-franklin-d-roosevelt,0.31362787,False
qualite-de-lair-mesuree-dans-la-station-auber-2,0.3133146,False
qualite-de-lair-concentration-moyenne-no2-pm2-5-pm10-o3,0.3131887,False
qualite-de-lair-mesuree-dans-la-station-chatelet,0.31237206,False
qualite-de-lair-mesuree-dans-la-station-chatelet-rer-a-2,0.31181428,False
nomenclature-domaines-emergents-des-brevets-1,0.31132147,False
qualite-de-lair-mesuree-dans-la-station-nation-rer-a-2,0.31107506,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-2012,0.31106097,False
e4914b81-7cc8-4287-96d6-4d8b0aff96ea-uuid,0.31085858,False
facteurs-demissions-dequipements-de-sport,0.31007835,False
filibus-periurbain,0.30795634,False
exposition-de-la-population-urbaine-a-la-pollution-de-l-air-par-les-particules-fines-1997-2011,0.30784705,False
indice-air-sante-no2-4,0.3071971,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.30715185,True
erosion-cotiere-lorient-agglomeration-1,0.3058872,False
emissions-par-epci-2011-4,0.30394357,False
emissions-par-epci-2008-4,0.3038063,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens-2,0.30374348,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens-1,0.30374348,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens,0.30374348,False
surveillance-de-la-qualite-de-l-air-station-urbaine-de-fond-bassens-rdl,0.30374348,False
emissions-par-epci-2013-4,0.3036694,False
emissions-par-epci-2010-4,0.3036327,False
emissions-par-epci-2009-4,0.30355456,False
emissions-par-epci-2014-4,0.30346724,False
emissions-par-epci-2016-4,0.30345038,False
emissions-par-epci-2018-4,0.30329302,False
emissions-de-la-region-2011-2,0.30327275,False
emissions-par-epci-2015-4,0.30324474,False
emissions-par-epci-2017-4,0.30314985,False
emissions-par-epci-2012-4,0.30313668,False
emissions-de-la-region-2008-2,0.3031284,False
emissions-de-la-region-2013-2,0.30300525,False
emissions-de-la-region-2010-2,0.30298522,False
emissions-de-la-region-2009-2,0.30288592,False
donnees-temps-reel-de-mesure-des-concentrations-de-polluants-atmospheriques-reglementes-1,0.30284184,True
emissions-de-la-region-2014-2,0.3028025,False
emissions-de-la-region-2016-2,0.30279562,False
etablissements-denseignement-agricole-en-occitanie,0.30274737,False
emissions-de-la-region-2018-2,0.30262852,False
emissions-de-la-region-2015-2,0.3025907,False
menus-du-restaurant-municipal-denfants-dacigne,0.3024984,False
emissions-de-la-region-2017-2,0.30249497,False
emissions-de-la-region-2012-2,0.3024868,False
icpe-tours-aerorefrigerantes-tar-en-fonctionnement-en-pays-de-la-loire,0.30181867,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-midi-pyrenees-2015,0.30092236,False
menus-de-la-restauration-scolaire-a-boe,0.30087242,False
schema-directeur-energie-emissions-ges-consommation,0.3005811,False
emissions-de-polluants-atmospheriques-tous-secteurs-dactivite-confondus-de-la-region-centre-val-de-loire-5,0.30040365,False
qualite-de-l-air-mesuree-dans-nos-stations-t1-2012-ratp,0.298585,False
emissions-de-polluants-atmospheriques-tous-secteurs-dactivite-confondus-des-epci-de-la-region-centre-val-de-loire-8,0.29856476,False
schema-directeur-energie-production-enr,0.2984399,False
indice-de-la-qualite-de-lair-ligair-orleans-metropole,0.29829547,False
copernicus-satellite-sentinel-1a,0.2982188,True
c693f528-0651-474a-9315-7ffedd946faf-uuid,0.2979804,False
omissy-dechetterie-orthomosaique-2,0.2979284,False
montescourt-20190117-dtm-hillshade-2,0.2978056,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-2015,0.2976032,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-midi-pyrenees-2015-1,0.29756558,False
niveau-de-pollution-en-particules-fines-pm10-dans-l-agglomeration-nantaise-laod,0.29725054,False
schema-directeur-energie-consommations-en-energie-finale,0.2971106,False
