slug,score,in_gd4h
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.3484406,True
agreste-prix-du-bois,0.33857435,True
registre-francais-des-emissions-polluantes,0.32807872,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.32469139,True
etude-facteurs-demissions-des-differents-modes-de-transport-routier,0.31405216,True
viandes-de-gibier-sauvage-wild-game-meat,0.31277096,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-30-09-2023,0.30929333,True
plages-surveillees-du-grand-parc-de-miribel-jonage,0.3068247,True
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.303465,True
dpe-tertiaire-avant-juillet-2021,0.30152425,True
bilan-demissions-de-gaz-a-effet-de-serre-par-scope-et-operateur,0.30123517,True
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.30092663,True
agreste-consommations-d-energie-dans-les-iaa-et-les-scieries,0.3004048,True
equilibre-national-mensuel-rpt-injection-soutirage,0.30006567,True
scenarios-de-consommation-gaz-a-horizon-2030-perspectives-gaz-edition-2020,0.2995502,True
agreste-recensement-de-la-pisciculture-et-elevage-de-crustaces-dans-les-dom,0.29733452,True
repartition-des-potentiels-de-gaz-verts-a-horizon-2050-par-departement,0.2968033,True
consommation-mensuelle-definitive-de-gaz-des-clients-industriels-de-grtgaz-repartis-par-secteur-industriel-1,0.29625952,True
investissements-davenir-partenaires,0.29564172,True
investissements-davenir-projets,0.29345563,True
investissements-davenir-appels-a-projets,0.2927939,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2019,0.29200587,True
canalisations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.29188204,True
xeme-programme-acquisition-de-zone-humide,0.29158315,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2018,0.2914561,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2020,0.29141694,True
xeme-programme-zonage-enjeu-eau-potable,0.29135975,True
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-du-parc-du-ministere-de-la-transition-ecologique-et-les-ep-sous-tutelle,0.2910111,True
xeme-programme-action-en-faveur-de-lagriculture-en-zone-humide,0.29087278,True
agreste-bilans-d-approvisionnement,0.29086387,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-12-2021-1,0.2902712,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-12-2022-2,0.28996694,True
emissions-de-co2-et-de-polluants-des-vehicules-commercialises-en-france,0.28898558,True
annuaire-pour-les-consommateurs-de-solutions-de-reduction-des-dechets-et-deconomie-circulaire-de-la-metropole-de-lyon,0.28720757,True
prevention-des-risques-dinondation-par-ruissellement-axe-decoulement-du-plu-h-de-la-metropole-de-lyon,0.28641203,True
chaufferies-et-centrales-de-production-de-froid-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.28565,True
pesticides-dans-les-eaux-souterraines,0.284458,True
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-en-region-auvergne-rhone-alpes-sur-la-derniere-annee-glissante,0.2843851,True
ind212-1-nombre-de-parties-de-reseaux-noeuds-flux-susceptibles-detre-endommages-par-linondation-2019,0.28433993,True
agreste-productions-avicoles-aviculture,0.2837224,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2017,0.28312898,True
trafic-outre-mer-outre-mer-passagers-et-mouvements-30381959,0.28247997,True
consommation-annuelle-finale-francaise-delectricite-par-typologie-de-consommateurs-2015-a-2021,0.28075206,True
concentrations-en-nitrates-dorigine-agricole-2013-2014-eaux-superficielles-france-entiere,0.279943,True
concentrations-en-nitrates-dorigine-agricole-2013-2014-eaux-souterraines-france-entiere,0.27926672,True
reseau-de-reference-pour-la-surveillance-des-etiages-rrse,0.27789026,True
liste-des-centres-de-collecte-de-sperme-agrees-pour-echanges-intracommunautaires-de-sperme-danimaux-domestiques-de-lespece-equine-dir-92-65-cee-list-of-approved-semen-collection-centres-for-intra-community-trade-in-semen-of-domestic-animals-of-the,0.27770743,True
concentrations-en-nitrates-dorigine-agricole-2011-2012-eaux-superficielles-france-entiere,0.2769743,True
dpe-logements-avant-juillet-2021,0.276888,True
concentrations-en-nitrates-dorigine-agricole-2012-2013-eaux-superficielles-france-entiere,0.27686036,True
concentrations-en-nitrates-dorigine-agricole-2014-2015-eaux-superficielles-france-entiere,0.27684808,True
concentrations-en-nitrates-dorigine-agricole-2011-2012-eaux-souterraines-france-entiere,0.27631402,True
concentrations-en-nitrates-dorigine-agricole-2015-2016-eaux-superficielles-france-entiere,0.27629405,True
concentrations-en-nitrates-dorigine-agricole-2012-2013-eaux-souterraines-france-entiere,0.27619728,True
concentrations-en-nitrates-dorigine-agricole-2014-2015-eaux-souterraines-france-entiere,0.276184,True
emission-co2-et-evolution-de-l-efficience-energetique-par-faisceau-30381917,0.27578345,True
concentrations-en-nitrates-dorigine-agricole-2015-2016-eaux-souterraines-france-entiere,0.2756355,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest-en-2020,0.2755614,True
origine-du-gaz-naturel-importe-en-france,0.275523,True
mollusques-bivalves-vivants-live-bivalve-molluscs,0.27549934,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest-en-2020,0.27536738,True
annuaire-pour-les-consommateurs-de-solutions-de-reduction-des-dechets-et-deconomie-circulaire-de-la-metropole-de-lyon-deprecie,0.27479056,True
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-auvergne-rhone-alpes-sur-la-derniere-annee,0.27460858,True
rejets-sf6-de-rte-par-annee-et-par-type-de-rejets,0.27412054,True
liste-des-stations-de-peche-electrique,0.27410924,True
viandes-dongules-domestiques-meat-of-domestic-ungulates,0.27277446,True
contraintes-residuelles-prospectives-sur-le-rpt-a-horizon-3-a-5-ans-au-6-decembre-2022,0.27276635,True
