slug,score,in_gd4h
energie-et-developpement-durable-1,0.361106,False
facteurs-demissions-dequipements-de-sport,0.35137078,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.3484406,True
perimetres-des-territoires-fonds-air-bois-en-auvergne-rhone-alpes,0.34629804,False
renouvellement-du-parc-automobile,0.34495404,False
actions-defficacite-energetique,0.34433064,False
c2023-sbep-075,0.33960497,False
agreste-prix-du-bois,0.33857435,True
donnees-de-la-station-climatique-de-gerland,0.33682394,False
qualite-de-lair-emissions-sectorielles-de-nox-pm2-5-pm10,0.3360749,False
donnees-de-la-station-climatique-de-darbounouse,0.33581668,False
registre-francais-des-emissions-polluantes-emissions-cu-grand-poitiers,0.33179572,False
infrastructure-de-recharge-pour-vehicules-electriques-et-hybrides-rechargeables-du-syndicat-intercommunal-denergie-dindre-et-loire-1,0.3310746,False
registre-francais-des-emissions-polluantes-prelevements-cu-grand-poitiers,0.33103794,False
registre-francais-des-emissions-polluantes-production-dechets-cu-grand-poitiers,0.329515,False
sas-energia-doghje-lenergie-daujourdhui-2,0.32930064,False
registre-francais-des-emissions-polluantes-etablissements,0.32837245,False
registre-francais-des-emissions-polluantes,0.32807872,True
spie-citynetworks-part-des-vehicules-a-faibles-emissions-dans-le-renouvelement-du-parc-2022,0.3264433,False
dispositif-de-suivi-de-la-qualite-de-lair-sur-la-region-grand-est-etat-du-reseau-de-mesure-atmo-grand-est,0.3263356,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-du-parc-bus-fil-bleu-tours-metropole-val-de-loire,0.32593763,False
consommation-electrique-de-telecom-bretagne,0.32527333,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.32469139,True
schema-directeur-energie-emissions-ges-consommation,0.324148,False
dechetteries-sur-le-perimetre-de-m2a,0.3240481,False
spie-industrie-tertiaire-part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-du-parc-2022,0.32268095,False
40-nouvelles-aires-de-covoiturage-pnr-de-la-montagne-de-reims,0.32264873,False
reseau-de-bornes-de-recharge-rapide-auchan,0.32221195,False
defi-2-energie-mobilite,0.32197237,False
agape-hotel-niort-bessines,0.32132542,False
bilan-carbone,0.32120225,False
suivi-du-transport-sedimentaire-sur-les-rivieres-arc-et-isere,0.32095802,False
