slug,score,in_gd4h
filibus-periurbain,0.5122824,False
omissy-dechetterie-orthomosaique-2,0.5119292,False
pollution-t1-2019-courbevoie-parc-des-pleiades,0.50897366,False
nausicaa-medical,0.50651246,False
harly-20201130-impasse-bourgignon-orthomosaic-2,0.5047658,False
montescourt-20190117-dtm-hillshade-2,0.49646845,False
montescourt-20190117-dsm-hillshade-2,0.49333015,False
incorporations-par-les-fabricants-daliments-biologique-pour-betail,0.48528245,False
dechetteries-sur-le-perimetre-de-m2a,0.48346105,False
qualite-de-lair-emissions-sectorielles-de-nox-pm2-5-pm10,0.48192492,False
clastres-vol2-orthomosaic-orthomosaic-2,0.47978798,False
facteurs-demissions-dequipements-de-sport,0.4754404,False
sarl-calmus,0.47378817,False
omissy-survol-dechetterie-3,0.47365785,False
gauchy-gambetta-20191103-orthomosaique-4,0.47299647,False
gauchy-gambetta-20191103-orthomosaique-5,0.47299647,False
numerotation-lieudits-saint-thurien,0.4719093,False
stock-chez-les-fabricants-daliments-pour-betail,0.46787807,False
serie-mensuelle-par-espece-produits-de-la-mer,0.467661,False
clastres-vol2-dsm-hillshade-2,0.4668081,False
bpce-commercialisation-de-produits-depargne-salariale-isr-et-ou-solidaires,0.4667604,False
stock-des-fabricants-daliments-biologiques-pour-betail,0.4666934,False
indice-air-sante-pm25-4,0.46463177,False
ilevia-gamme-tarifaire,0.4645451,False
energie-et-developpement-durable-1,0.4637706,False
emissions-pour-tous-les-secteurs-dactivite-confondus,0.4628657,False
serie-hebdomadaire-par-espece-produits-de-la-mer,0.46270207,False
atmo-indice-qualite-de-lair,0.46186408,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest-en-2020,0.46094072,True
flotte-auto-rp-09-2023,0.4606507,False
nomenclature-domaines-emergents-des-brevets-1,0.4605765,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest-en-2020,0.46042618,True
evolution-du-solde-des-echanges-exterieurs-de-produits-de-la-branche-ba2000-30382489,0.45940432,False
indice-air-sante-no2-4,0.45880732,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.45849118,True
cotations-des-ovins-de-boucherie-1,0.45788026,False
cotations-des-ovins-de-boucherie,0.45788026,False
prix-moyens-ponderes-des-ovins-de-boucherie,0.45643556,False
sas-energia-doghje-lenergie-daujourdhui-2,0.45635906,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord-en-2020,0.45542374,True
etude-facteurs-demissions-des-differents-modes-de-transport-routier,0.45535174,True
qualite-de-lair-nombre-de-jours-de-depassement-des-seuils-no2-pm10-o3,0.45534125,False
planning-des-chantiers,0.45383075,False
conteneurs-dapport-volontaires-sur-le-territoire-de-m2a,0.4527248,False
renouvellement-du-parc-automobile,0.45129824,False
mesures-de-la-qualite-de-l-air,0.45088044,False
evolution-des-importations-en-produits-des-branches-liees-a-l-armement-30382497,0.4503417,False
variations-des-interations-directes-et-indirectes-entre-plantes-le-long-dun-gradient-climatique-une-experimentation-sur-des-semis-darbres-1,0.4499568,False
part-des-vehicules-a-faible-ou-tres-faible-emissions-dans-le-renouvellement-de-parcs-de-vehicule,0.4499487,False
emi-aura-dpt-2012,0.4497943,False
emi-aura-dpt-2016,0.44960904,False
dechets-menagers-points-dapport-volontaire-composteurs,0.4484955,False
anssi-tunnel,0.44837633,False
viandes-hachees-preparation-de-viandes-et-viandes-separees-mecaniquement-vsm-minced-meat-meat-preparations-and-mechanically-separated-meat,0.44774994,True
qualite-de-lair-mesuree-dans-la-station-auber-2,0.44712126,False
navettes-saisonnieres,0.44636455,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest,0.44630635,True
qualite-de-lair-mesuree-dans-la-station-franklin-d-roosevelt,0.44625953,False
emissions-annuelles-par-departement,0.44579253,False
emissions-annuelles-regionales,0.4457806,False
emissions-annuelles-par-epci,0.44570318,False
enquete-od,0.44563293,False
base-de-donnees-agritox,0.4455628,True
emi-aura-region-2012,0.44519344,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2019-france-metropolitaine-et-drom-2,0.4450848,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2019-france-metropolitaine-et-drom-1,0.4450848,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2019-france-metropolitaine-et-drom,0.4450848,False
emi-aura-region-2016,0.44497785,False
qualite-de-lair-mesuree-dans-la-station-chatelet-rer-a-2,0.4447113,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2017-france-metropolitaine-et-drom-2,0.44380507,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2017-france-metropolitaine-et-drom-1,0.44380507,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2017-france-metropolitaine-et-drom,0.44380507,False
qualite-de-lair-mesuree-dans-la-station-chatelet,0.44349536,False
qualite-de-lair-mesuree-dans-la-station-nation-rer-a-2,0.4432558,False
niveau-de-pollution-en-particules-fines-pm10-dans-l-agglomeration-nantaise-laod,0.44318008,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-des-parcs-dentreprises-de-location-location-vente-de-credit-bail-de-vehicules-des-plateformes-de-livraisons-et-des-centrales-de-reservation-de-taxi-et-vtc-4,0.44284308,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-des-parcs-dentreprises-de-location-location-vente-de-credit-bail-de-vehicules-des-plateformes-de-livraisons-et-des-centrales-de-reservation-de-taxi-et-vtc-3,0.44284308,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-des-parcs-dentreprises-de-location-location-vente-de-credit-bail-de-vehicules-des-plateformes-de-livraisons-et-des-centrales-de-reservation-de-taxi-et-vtc-2,0.44284308,False
incorporations-mensuelles-en-cereales-par-les-fabricants-daliments-pour-betail,0.44257072,False
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.4424223,True
emi-aura-epci-2012,0.44182873,False
emi-aura-epci-2016,0.441595,False
surveillance-du-sars-cov-2-dans-les-eaux-usees-1,0.44138733,False
qualite-de-lair-concentration-moyenne-no2-pm2-5-pm10-o3,0.44115487,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-des-parcs-dentreprises-de-location-location-vente-de-credit-bail-de-vehicules-des-plateformes-de-livraisons-et-des-centrales-de-reservation-de-taxi-et-vtc,0.4407173,False
la-chaudiere-a-bois,0.44045648,False
judi-online,0.44041076,False
camping-le-tropicana,0.44017622,False
qualite-de-lair-concentration-moyenne-no2-pm2-5-pm10-o3-a-partir-de-2015,0.43986925,False
pont-chaban-previsions-fermeture,0.43969914,False
flotte-automobile-vehicules-propres-lisi-automotive-sas-1,0.43956494,False
flotte-automobile-vehicules-propres-lisi-automotive-sas,0.43956494,False
prix-moyens-ponderes-des-veaux-de-boucherie,0.43949342,False
bornes-de-recharge-pour-ve-du-reseau-power-dot-france-1,0.43921128,False
viandes-dongules-domestiques-meat-of-domestic-ungulates,0.43920484,True
part-des-vehicules-a-faible-emissions-lors-du-renouvellement-flotte,0.43906102,False
dependance-energetique-des-pays-de-l-union-europeenne-nd,0.43888316,False
d-pendance-nerg-tique-des-pays-de-l-union-europ-enne,0.43888316,False
registre-francais-des-emissions-polluantes,0.43883088,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-cwe-europe-du-centre-ouest,0.43842816,True
registre-francais-des-emissions-polluantes-etablissements,0.43841422,False
incorporations-et-stocks-par-les-fabricants-daliments-pour-betail,0.43818927,False
time-series-of-type-chemistry-in-le-lez-mediterranee-basin-medycyss-observatory-karst-observatory-network-ozcar-critical-zone-network-research-infrastructure-2,0.43807498,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord,0.43804184,True
registre-francais-des-emissions-polluantes-emissions-cu-grand-poitiers,0.43800935,False
pluviometres-1,0.43757495,False
jeudis-dete,0.4375546,False
clastres-vol2-mns-dsm-hillshade-2,0.43677226,False
registre-francais-des-emissions-polluantes-prelevements-cu-grand-poitiers,0.43676892,False
test-dat,0.43668738,False
les-immatriculations-de-vehicules-neufs-par-type-de-vehicules-cors,0.43613157,False
conteneur-de-piles-sur-vgp,0.43607438,False
perimetres-des-territoires-fonds-air-bois-en-auvergne-rhone-alpes,0.43598735,False
concentrations-observees-mesures,0.4355894,False
cotations-des-cereales-francaises,0.43544617,False
suivi-du-transport-sedimentaire-sur-les-rivieres-arc-et-isere,0.43493184,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest,0.43404916,True
registre-francais-des-emissions-polluantes-production-dechets-cu-grand-poitiers,0.4330819,False
emissions-de-co2-et-de-polluants-des-vehicules-commercialises-en-france,0.4324783,True
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-2012,0.43190834,False
dispositif-de-suivi-de-la-qualite-de-lair-sur-la-region-grand-est-etat-du-reseau-de-mesure-atmo-grand-est,0.4317485,False
exposition-de-la-population-urbaine-a-la-pollution-de-l-air-par-les-particules-fines-1997-2011,0.4317477,False
meteo-sahurs-rouen-temperature-vent-et-puissance-solaire,0.43137515,False
fourriere-animale-devenir-des-animaux,0.43131638,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-des-parcs-dentreprises-de-location-location-vente-de-credit-bail-de-vehicules-des-plateformes-de-livraisons-et-des-centrales-de-reservation-de-taxi-et-vtc-1,0.43102145,False
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-poitiers,0.43079874,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord-en-2021,0.43048134,True
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-des-parcs-dentreprises-de-location-location-vente-de-credit-bail-de-vehicules-2,0.43031046,False
donnees-sur-les-achats-de-vehicules-faibles-emissions-lors-du-renouvellement-de-la-flotte-1,0.4300231,False
flotte-automobile-vehicules-propres-lisi-automotive-rapid-1,0.4295579,False
flotte-automobile-vehicules-propres-lisi-automotive-rapid,0.4295579,False
flotte-automobile-vehicules-propres-lisi-automotive-former-1,0.42914045,False
flotte-automobile-vehicules-propres-lisi-automotive-former,0.42914045,False
reseau-de-bornes-de-recharge-rapide-auchan,0.42852154,False
electro-mob-20,0.4277667,False
electro-mob-17,0.4277667,False
electro-mob-16,0.4277667,False
electro-mob-15,0.4277667,False
electro-mob-14,0.4277667,False
claas,0.42723098,False
donnees-de-la-station-climatique-de-darbounouse,0.42697954,False
ascad-atmega-8515-variable-key,0.42647517,False
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-en-region-auvergne-rhone-alpes-sur-la-derniere-annee-glissante,0.42635712,True
