slug,score,in_gd4h
bilan-carbone,0.4393958,False
emissions-de-gaz-a-effet-de-serre-par-postes-demissions-bpmed,0.435729,False
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-ile-de-france,0.41187087,False
qualite-de-lair-emissions-sectorielles-de-nox-pm2-5-pm10,0.41170844,False
evaluation-des-emissions-de-polluants-atmospheriques-et-de-gaz-a-effet-de-serre-totales-de-la-region-ile-de-france-en-2015,0.4112698,False
concentrations-observees-mesures,0.40820873,False
emissions-pour-tous-les-secteurs-dactivite-confondus,0.4063485,False
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-ile-de-france,0.40472326,False
pollution-t1-2019-courbevoie-parc-des-pleiades,0.3998843,False
stockage-network-gaz-natural,0.39738187,False
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-auvergne-rhone-alpes-sur-la-derniere-annee,0.39665103,True
facteurs-demissions-dequipements-de-sport,0.3957444,False
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-poitiers,0.3955183,False
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-en-region-auvergne-rhone-alpes-sur-la-derniere-annee-glissante,0.39403632,True
concentrations-moyennes-mensuelles-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-grand-est,0.39199302,False
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-grand-est,0.3919417,False
concentrations-moyennes-annuelles-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-grand-est,0.3907396,False
agreste-prix-du-bois,0.3905767,True
equilibre-production-consommation-electrique-brute-pays-de-la-loire,0.38701773,False
concentrations-moyennes-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-grand-est,0.3852304,False
emissions-annuelles-par-departement,0.38454023,False
emissions-annuelles-regionales,0.38417932,False
