slug,score,in_gd4h
les-immatriculations-de-vehicules-neufs-par-type-de-vehicules-cors,0.50143003,False
classement-sonore-des-voies-de-tramway-de-categorie-3-en-tissu-ouvert-isere,0.49767244,False
file-dattente-producteurs-iles-du-ponant,0.49530423,False
file-dattente-producteur-1,0.49461913,False
file-dattente-producteur-dedf-sa-corse-outremer,0.48830765,False
classement-sonore-des-voies-de-tramway-de-categorie-3-avec-un-profil-de-rue-en-u-isere,0.48648602,False
meteo-sahurs-rouen-temperature-vent-et-puissance-solaire,0.48334187,False
classement-sonore-des-voies-ferrees-de-categorie-3-isere,0.4760768,False
bruit-aerien-pistes-aeroport-lyon-bron-et-aerodrome-lyon-corbas,0.47590178,True
classement-sonore-des-voies-ferrees-de-categorie-2-isere,0.47569323,False
classement-sonore-des-voies-ferrees-de-categorie-4-isere,0.47561234,False
classement-sonore-des-voies-ferrees-de-categorie-1-isere,0.47479504,False
agreste-prix-du-bois,0.474333,True
transport-de-fret-maritime-trafic-national-et-italien-exprime-en-tonnes-net-cors,0.4725584,False
classement-sonore-des-routes-de-categorie-4-en-tissu-ouvert-isere,0.47018325,False
classement-sonore-des-infrastructures-de-transports-terrestres-du-departement-de-saone-et-loire,0.46980113,False
classement-sonore-des-voies-de-tramway-de-categorie-4-en-tissu-ouvert-isere,0.4686011,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2017-2,0.46858177,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2017-1,0.46858177,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2017,0.46858177,False
niveau-de-bruit-lden-des-axes-ferroriaires-en-france-rapportage-2017-2,0.46817636,False
niveau-de-bruit-lden-des-axes-ferroriaires-en-france-rapportage-2017-1,0.46817636,False
niveau-de-bruit-lden-des-axes-ferroriaires-en-france-rapportage-2017,0.46817636,False
postes-hta-bt-sorea-shape,0.46816364,False
niveau-de-bruit-lden-des-axes-ferroviaires-en-france-rapportage-2007-2,0.46796596,False
niveau-de-bruit-lden-des-axes-ferroviaires-en-france-rapportage-2007-1,0.46796596,False
niveau-de-bruit-lden-des-axes-ferroviaires-en-france-rapportage-2007,0.46796596,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2007-2,0.46732414,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2007-1,0.46732414,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2007,0.46732414,False
classement-sonore-des-routes-de-categorie-5-avec-un-profil-de-rue-en-u-isere,0.46467912,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2012-2,0.46465492,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2012-1,0.46465492,False
niveau-de-bruit-lden-des-grands-axes-routiers-en-france-rapportage-2012,0.46465492,False
trafic-total-outre-mer-passagers-et-mouvements-30381876,0.46460944,True
niveau-de-bruit-lden-des-axes-ferroriaires-en-france-rapportage-2012-2,0.46424347,False
niveau-de-bruit-lden-des-axes-ferroriaires-en-france-rapportage-2012-1,0.46424347,False
niveau-de-bruit-lden-des-axes-ferroriaires-en-france-rapportage-2012,0.46424347,False
classement-sonore-des-routes-de-categorie-3-avec-un-profil-de-rue-en-u-isere,0.45938793,False
classement-sonore-des-routes-de-categorie-3-en-tissu-ouvert-isere,0.45842743,False
infrastructures-de-recharge-pour-vehicules-electriques,0.45654404,False
localisation-des-compteurs-de-trafic-routier-1,0.4560129,False
mesures-du-reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.45492345,True
classement-sonore-des-routes-de-categorie-2-isere,0.4547934,False
indicateur-de-niveau-de-bruit-nocturne-cumul,0.45469517,False
infrastructures-de-recharge-pour-vehicules-electriques-sidelc,0.4543318,False
classement-sonore-des-routes-de-categorie-1-isere,0.45388258,False
classement-sonore-des-routes-de-categorie-2-avec-un-profil-de-rue-en-u-isere,0.4538061,False
perimetre-du-plan-de-prevention-des-risques-inondation-de-la-saone-les-bordes,0.45329568,False
trafic-aeroport-bordeaux-merignac-passagers-et-mouvements-30381866,0.45298588,True
sas-energia-doghje-lenergie-daujourdhui-2,0.45273864,False
classement-sonore-des-routes-de-categorie-4-avec-un-profil-de-rue-en-u-isere,0.45229474,False
trafic-moyen-en-jour-ouvre-vitesse-pourcentage-de-poids-lourds-et-taux-dinfractions-mel,0.4507177,False
trafic-outre-mer-outre-mer-passagers-et-mouvements-30381959,0.45043468,True
bilan-carbone,0.4491703,False
trafic-aeroport-marseille-provence-passagers-et-mouvements-30381998,0.44791436,True
trafic-aeroport-paris-orly-passagers-et-mouvements-30381918,0.4479093,True
infrastructures-de-charge-pour-vehicules-electriques,0.44753954,False
trafic-aeroport-toulouse-blagnac-passagers-et-mouvements-30381970,0.4474241,True
trafic-aeroport-nantes-atlantique-passagers-et-mouvements-30381829,0.44734603,True
trafic-aeroport-strasbourg-entzheim-passagers-et-mouvements-30381872,0.44729304,True
transport-aerien-1,0.4472533,False
trafic-aeroport-montpellier-mediterranee-passagers-et-mouvements-30381925,0.44712216,True
trafic-aeroport-paris-cdg-passagers-et-mouvements-30381975,0.44708842,True
trafic-aeroport-lyon-saint-exupery-passagers-et-mouvements-30381992,0.44705608,True
niveau-de-bruit-lnight-des-axes-ferroviaires-en-france-rapportage-2017-2,0.44337237,False
niveau-de-bruit-lnight-des-axes-ferroviaires-en-france-rapportage-2017-1,0.44337237,False
niveau-de-bruit-lnight-des-axes-ferroviaires-en-france-rapportage-2017,0.44337237,False
trafic-outre-mer-international-passagers-et-mouvements-30381882,0.44316214,True
infrastructures-de-recharge-pour-vehicules-electriques-organisation-masselin-tertiaire-5,0.44269228,False
niveau-de-bruit-lnight-des-grands-axes-routiers-en-france-rapportage-2017-2,0.44178402,False
niveau-de-bruit-lnight-des-grands-axes-routiers-en-france-rapportage-2017-1,0.44178402,False
niveau-de-bruit-lnight-des-grands-axes-routiers-en-france-rapportage-2017,0.44178402,False
empreinte-du-classement-sonore-revise-en-2016-sur-le-departement-de-la-sarthe,0.4410078,False
equilibre-national-mensuel-rpt-injection-soutirage,0.4387216,True
niveau-de-bruit-lnight-des-axes-ferroviaires-en-france-rapportage-2012-2,0.4372558,False
niveau-de-bruit-lnight-des-axes-ferroviaires-en-france-rapportage-2012-1,0.4372558,False
niveau-de-bruit-lnight-des-axes-ferroviaires-en-france-rapportage-2012,0.4372558,False
infrastructures-de-recharge-pour-vehicules-electriques-corri-door,0.4371348,False
environnement-classement-sonore-des-infrastructures-de-transports-terrestres-grand-poitiers-13-communes-donnees-metiers-1,0.43631238,False
transport-de-marchandises-roll-exprime-en-metres-lineaires-national-cors,0.43565747,False
niveau-de-bruit-lnight-des-grands-axes-routiers-en-france-rapportage-2012-2,0.4356531,False
niveau-de-bruit-lnight-des-grands-axes-routiers-en-france-rapportage-2012-1,0.4356531,False
niveau-de-bruit-lnight-des-grands-axes-routiers-en-france-rapportage-2012,0.4356531,False
infrastructures-de-recharge-pour-vehicules-electriques-mordelles,0.4354998,False
infrastructures-de-recharge-pour-vehicules-electriques-66,0.43362194,False
classement-sonore-du-reseau-ferroviaire-du-departement-du-doubs,0.4333287,False
stations-du-reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.4329309,True
ou-recharger-mon-vehicule-electrique-3,0.43290338,False
les-feux-tricolores-sonores-1,0.4328874,False
classement-sonore-des-voies-routieres-en-bourgogne-franche-comte-1,0.432674,False
bruit-industriel-zones-exposees-sur-24h-indicateur-lden,0.43245077,False
reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.43189463,True
lignes-et-postes-electriques-1,0.43188778,False
transport-de-marchandises-specialisees-trafics-national-et-italien-en-tonnes-net-entrees-sortie-cors,0.4306484,False
accessibilite-deux-sonores,0.42951086,False
le-trafic-moyen-journalier-annuel-en-2018-sur-les-routes-departementales-du-gard,0.42870164,False
voisinage-dinfrastructure-de-transport-terrestre-classement-sonore-1,0.42647272,False
borne-de-recharge-pour-vehicules-electriques-3,0.4255247,False
indicateur-de-niveau-de-bruit-global-icpe,0.42520273,False
infrastructures-de-recharge-pour-vehicules-electriques-organisation-evbox,0.4245646,False
infrastructures-de-recharge-pour-vehicules-electrique-sdei-reseau-chargelec-36,0.42438483,False
borne-de-recharge-2,0.42386872,False
emissions-de-gaz-a-effet-de-serre-par-postes-demissions-bpmed,0.42354822,False
reseau-de-collecte-des-eaux-usees-1,0.4228728,False
indicateur-de-niveau-de-bruit-global-cumul,0.42197835,False
installations-de-recharge-de-vehicules-electriques,0.42072943,False
facteurs-demissions-dequipements-de-sport,0.42053062,False
transport-maritime-cors,0.42031118,False
secteurs-affectes-par-le-bruit-des-infrastructures-de-transport-terrestre-dans-la-vienne,0.41991514,False
etude-facteurs-demissions-des-differents-modes-de-transport-routier,0.4194113,True
contraintes-residuelles-prospectives-sur-le-rpt-a-horizon-3-a-5-ans-au-6-decembre-2022,0.41921368,True
classement-sonore-du-reseau-routier-du-departement-du-doubs,0.41850737,False
indicateur-de-niveau-de-bruit-nocturne-icpe,0.41811323,False
borne-de-recharge-de-vehicules-electriques,0.41803342,False
part-des-vehicules-a-faible-ou-tres-faible-emissions-dans-le-renouvellement-de-parcs-de-vehicule,0.41756517,False
energie-et-developpement-durable-1,0.41705692,False
bruit-industriel-zones-ou-les-valeurs-limites-sont-depassees-sur-24h-indicateur-lden,0.41667235,False
carte-de-bruit-strategique-de-type-c-selon-lindicateur-lden-jour-soiree-nuit-du-reseau-autoroutier-national-et-departemental-en-loire-atlantique,0.41666615,False
infrastructures-de-recharge-pour-vehicules-electriques-indigo,0.4164286,False
cartes-de-bruits-strategiques-de-4eme-echeance-realisees-en-2022,0.41637385,False
pic-journalier-de-la-consommation-brute-delectricite,0.41558027,True
recharge-vehicule-electrique-signal-reseau-dedf-sa-en-corse,0.4145393,False
trafic-aeroport-nice-cote-d-azur-passagers-et-mouvements-30381825,0.41436875,True
signal-reseau-corse-recharge-vehicule-electrique-1,0.41416657,False
nex-hotel,0.41403586,False
indicateur-de-niveau-de-bruit-nocturne-chemin-de-fer,0.41377547,False
limitation-de-gabarit,0.41371003,False
classement-sonore-des-infrastructures-de-transport-terrestre-dans-la-vienne,0.41353366,False
infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-16,0.4134429,False
