slug,score,in_gd4h
c2020-sbep-075,0.50575393,False
trame-verte-1,0.504687,False
trame-verte,0.504687,False
numerotation-lieudits-saint-thurien,0.46524933,False
continuites-ecologiques-dimportance-nationale-ontvb-cer-ontvb-sraddet-hauts-de-france-2020,0.46297333,False
clastres-vol2-dsm-hillshade-2,0.4626461,False
clastres-vol2-orthomosaic-orthomosaic-2,0.46072674,False
montescourt-20190117-dtm-hillshade-2,0.45886487,False
continuite-ecologique-regionale-cer-obstacle-rb-s-fr32-urbanisation-obstacles-surfaciques-aux-reservoirs-de-biodiversite-sraddet-hauts-de-france-2020,0.45807478,False
omissy-dechetterie-orthomosaique-2,0.4550354,False
montescourt-20190117-dsm-hillshade-2,0.45254618,False
continuite-ecologique-regionale-cerobstaclecorsfr32-urbanisation-obstacles-surfaciques-aux,0.45105457,False
trame-verte-et-bleue-armature-verte-urbaine,0.4490465,False
harly-20201130-impasse-bourgignon-orthomosaic-2,0.44843164,False
c2023-sbep-075,0.44486186,False
filibus-periurbain,0.44202375,False
erosion-cotiere-lorient-agglomeration-1,0.44160736,False
nausicaa-medical,0.44074363,False
continuite-ecologique-regionale-cer-obstacle-cor-l-fr32-obstacles-a-la-continuite-ecologique-corridors-sraddet-hauts-de-france-2020,0.43811762,False
continuite-ecologique-regionale-cer-obstacle-rb-l-fr32-obstacles-a-la-continuite-ecologique-reservoirs-de-biodiversite-sraddet-hauts-de-france-2020,0.43498424,False
continuite-ecologique-regionale-cer-cours-eau-l-fr32-corridors-de-la-trame-bleue-sraddet-hauts-de-france-2020,0.43434808,False
reservoirs-de-biodiversite-de-la-trame-verte-surfaciques-cer-reservoir-s-fr32-sraddet-hauts-de-france-2020,0.4252561,False
continuite-ecologique-regionale-cer-obstacle-p-fr32-obstacles-majeurs-a-lecoulement-sraddet-hauts-de-france-2020,0.42525467,False
continuite-ecologique-trame-vb-surface,0.42442426,False
continuite-ecologique-trame-vb-ligne,0.424265,False
le-sentier-du-littoral-du-var-en-2016,0.42114824,False
clastres-vol2-mns-dsm-hillshade-2,0.42090958,False
fr-200052264-a0098-0000-6,0.41973323,False
gauchy-gambetta-20191103-orthomosaique-4,0.41458297,False
gauchy-gambetta-20191103-orthomosaique-5,0.41458297,False
srce-reservoirs-de-biodiversite-des-trames-verte-et-bleue-en-pays-de-la-loire,0.41410822,False
c2022-sbep-030,0.41296333,False
cartographie-des-algues-lithophyllum-bissoides-ii,0.41260833,False
omissy-survol-dechetterie-3,0.4107979,False
amenagement-perimetre-de-sauvegarde-rgc-route-a-grande-circulation-en-loir-et-cher,0.40969554,False
reservoirs-biologiques-affluents-et-sans-affluents-sdage-2016-2021-sur-la-circonscription-administrative-du-bassin-rhin-meuse,0.40861428,False
delimitation-des-emplacements-reserves-pour-le-logement-du-plan-local-durbanisme-de-paris-de-fevrier-2012-a-juillet-2016,0.40788838,False
