slug,score,in_gd4h
obligations-de-service-public,0.76413786,True
lexique-et-vocabulaire-dans-le-domaine-du-nucleaire-et-de-la-radioprotection,0.7009082,True
etablissements-recevant-du-public-sur-le-territoire-du-departement-du-rhone-et-de-la-metropole-de-lyon-erp,0.64899224,True
parcs-et-jardins-de-la-metropole-de-lyon,0.5928106,True
parcs-et-jardins-de-la-commune-de-saint-cyr-au-mont-dor,0.56307036,True
parcs-et-jardins-de-la-commune-de-saint-didier-au-mont-dor,0.5629449,True
parcs-et-jardins-de-la-commune-de-caluire-et-cuire,0.56277525,True
parcs-et-jardins-de-la-commune-de-mions,0.5627701,True
parcs-et-jardins-de-la-commune-de-bron,0.5625452,True
parcs-et-jardins-de-la-commune-de-neuville-sur-saone,0.56241375,True
parcs-et-jardins-de-la-commune-de-vaulx-en-velin,0.56234837,True
parcs-et-jardins-de-la-commune-de-champagne-au-mont-dor,0.5623427,True
parcs-et-jardins-de-la-commune-de-saint-genis-laval,0.562342,True
parcs-et-jardins-de-la-commune-de-villeurbanne,0.5617975,True
parcs-et-jardins-de-la-commune-de-lyon,0.561141,True
equipements-publics-de-la-commune-de-pierre-benite,0.5561027,True
equipements-publics-de-la-commune-de-saint-didier-au-mont-dor,0.5560626,True
equipements-publics-de-la-commune-de-saint-cyr-au-mont-dor,0.55604994,True
equipements-publics-de-la-commune-de-neuville-sur-saone,0.5558057,True
equipements-publics-de-la-commune-de-vaulx-en-velin,0.5556736,True
equipements-publics-de-la-commune-de-champagne-au-mont-dor,0.55557823,True
parcs-et-jardins-de-la-metropole-de-lyon-ponctuels,0.5506625,True
equipements-publics-de-la-commune-de-saint-didier-au-mont-dor-v1,0.54871446,True
equipements-publics-de-la-commune-de-vaulx-en-velin-v1,0.548326,True
equipements-publics-de-la-commune-de-champagne-au-mont-dor-v1,0.54823077,True
parcs-et-jardins-de-la-commune-de-saint-cyr-au-mont-dor-v1,0.54735214,True
parcs-et-jardins-de-la-commune-de-saint-didier-au-mont-dor-v1,0.54721975,True
parcs-et-jardins-de-la-commune-de-mions-v1,0.54708725,True
parcs-et-jardins-de-la-commune-de-bron-v1,0.54681337,True
parcs-et-jardins-de-la-commune-de-neuville-sur-saone-v1,0.5466986,True
parcs-et-jardins-de-la-commune-de-saint-genis-laval-v1,0.54665124,True
parcs-et-jardins-de-la-commune-de-vaulx-en-velin-v1,0.54662424,True
parcs-et-jardins-de-la-commune-de-champagne-au-mont-dor-v1,0.5466109,True
parcs-et-jardins-de-la-commune-de-villeurbanne-v1,0.54619884,True
parcs-et-jardins-de-la-commune-de-lyon-v1,0.5459846,True
parcs-et-jardins-de-la-commune-de-chassieu,0.5402012,True
liste-des-lieux-daccueil-labellises-de-la-metropole-de-lyon,0.5396328,True
reseau-dinitiative-publique-la-fibre-grand-lyon,0.52941245,True
etablissements-recevant-du-public-erp-sur-le-territoire-du-departement-du-rhone-et-de-la-metropole-de-lyon,0.5292785,True
balises-sonores-des-erp-de-la-metropole-de-lyon,0.5242467,True
bornes-a-compost-de-la-metropole-de-lyon,0.5226096,True
segments-du-domaine-public-fluvial-dpf-metropole,0.51990795,True
emprise-de-localisation-preferentielle-pour-equipement-du-plu-h-de-la-metropole-de-lyon,0.5167395,True
perimetres-contractuels-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.5119113,True
annuaire-pour-les-professionnels-de-solutions-de-reduction-et-gestion-des-dechets-de-la-metropole-de-lyon,0.50508666,True
previsions-de-travaux-sur-la-metropole-de-lyon,0.5015492,True
arbres-dalignement-de-la-metropole-de-lyon,0.49699184,True
emplois-et-salaires-dans-le-secteur-hospitalier-en-2012,0.49651253,True
stations-gnv-publiques-en-france,0.4926445,True
consommation-annuelle-finale-francaise-delectricite-par-typologie-de-consommateurs-2015-a-2021,0.48796058,True
emprises-de-localisation-preferentielle-pour-equipement-de-la-metropole-de-lyon,0.47955316,True
hospitalisation-de-court-sejour-evolution-des-parts-de-marche,0.47774965,True
calculateur-ditineraires-multimodaux-de-la-metropole-de-lyon-12,0.47467735,True
calculateur-ditineraires-multimodaux-de-la-metropole-de-lyon-11,0.47467735,True
calculateur-ditineraires-multimodaux-de-la-metropole-de-lyon,0.47467735,True
marche-public-de-la-metropole-de-lyon,0.47166204,True
zones-de-chalandise-des-espaces-info-energie,0.47016108,True
silos-a-verre-de-la-metropole-de-lyon,0.4686973,True
consommation-finale-corrigee-par-secteur-dactivite-2006-a-2021,0.46590406,True
fontaines-deau-potable-de-la-metropole-de-lyon,0.4595429,True
numeros-demplacements-reserves-du-plu-de-la-metropole-de-lyon,0.45690987,True
silos-dordures-menageres-de-la-metropole-de-lyon,0.45336032,True
urgences-hospitalieres-en-2013-des-organisations-differentes-selon-le-niveau-dactivite,0.45279533,True
