slug,score,in_gd4h
canalisations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.6311093,True
chaufferies-et-centrales-de-production-de-froid-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.60031456,True
sous-stations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.56434405,True
alerte-accessibilite-du-reseau-des-transports-en-commun-lyonnais,0.4915219,True
horaires-theoriques-cars-transisere-dans-la-metropole-de-lyon,0.48184025,True
consommation-mensuelle-definitive-de-gaz-des-clients-industriels-de-grtgaz-repartis-par-secteur-industriel-1,0.48050112,True
equilibre-national-mensuel-rpt-injection-soutirage,0.48010677,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-30-09-2023,0.47972515,True
consommation-regionale-de-gaz-naturel-carburant-gnc,0.47492644,True
les-gestionnaires-de-reseau-de-distribution-de-gaz-naturel-en-france-grd-eld-maj-2022,0.4709072,True
boucles-de-randonnee-de-la-metropole-de-lyon,0.46619695,True
consommation-finale-corrigee-par-secteur-dactivite-2006-a-2021,0.4656763,True
registre-2015-des-installations-de-production-raccordees-au-reseau-de-transport-delectricite,0.46143216,True
points-darret-de-navly-navette-electrique-confluence-de-la-metropole-de-lyon,0.4591919,True
registre-2016-des-installations-de-production-raccordees-au-reseau-de-transport-delectricite,0.45759523,True
lieux-de-covoiturage-de-la-metropole-de-lyon,0.45624378,True
equipements-sportifs-de-la-metropole-de-lyon,0.4500258,True
longueurs-regionales-annuelles-de-circuits-et-files-de-pylones-du-reseau-de-transport-delectricite-2012-a-2022,0.44979516,True
centres-commerciaux-de-la-metropole-de-lyon,0.44952607,True
viandes-de-gibier-sauvage-wild-game-meat,0.44795838,True
longueurs-departementales-annuelles-de-circuits-et-files-de-pylones-du-reseau-de-transport-delectricite-2014-a-2022,0.4470107,True
reseau-de-chaleur-et-de-froid-inventaire-de-2017-pour-auvergne-rhone-alpes,0.44696182,True
reseau-de-chaleur-et-de-froid-infrastructure-de-distribution-en-2017-pour-auvergne-rhone-alpes,0.44350636,True
reseau-de-chemins-de-randonnee-de-la-metropole-de-lyon,0.44330752,True
trafic-metropole-outre-mer-passagers-et-mouvements,0.44035733,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2017,0.43621254,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-12-2021-1,0.43287537,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-12-2022-2,0.4323321,True
horaires-theoriques-du-reseau-europeen-de-blablabus-dans-la-metropole-de-lyon,0.43126416,True
mobiliers-signaletiques-des-chemins-de-randonnee-de-la-metropole-de-lyon,0.4305148,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2019,0.4301063,True
equipements-sportifs-de-la-metropole-de-lyon-point-dinteret,0.4300732,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2018,0.42895588,True
bornes-e-tecely-du-reseau-transports-en-commun-lyonnais,0.4278697,True
gares-routieres-de-la-metropole-de-lyon,0.42784405,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2020,0.42714858,True
parcs-relais-du-reseau-transports-en-commun-lyonnais,0.42154622,True
points-dinteret-touristiques-de-la-metropole-de-lyon-v2,0.4213341,True
bornes-a-compost-de-la-metropole-de-lyon-donnees-obsoletes,0.41977358,True
habillage-dequipements-sportifs-de-la-metropole-de-lyon,0.41968256,True
horaires-theoriques-du-reseau-libellule-sytral-de-la-communaute-dagglomeration-de-villefranche-beaujolais-saone,0.41944414,True
perimetre-de-classement-obligation-de-raccordement-des-reseaux-de-chaleur-de-la-metropole-de-lyon,0.41875863,True
production-centralisee-delectricite-a-partir-de-gaz-naturel-en-france,0.41872543,True
trafic-outre-mer-outre-mer-passagers-et-mouvements-30381959,0.41838545,True
chemins-et-sentiers-de-la-metropole-de-lyon,0.41755012,True
trafic-aeroport-nice-cote-d-azur-passagers-et-mouvements-30381825,0.4170307,True
consommation-annuelle-finale-francaise-delectricite-par-typologie-de-consommateurs-2015-a-2021,0.41689616,True
pompes-a-velo-en-libre-service-a-la-metropole-de-lyon,0.41686577,True
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.4159184,True
origine-du-gaz-naturel-importe-en-france,0.41584018,True
disposition-particuliere-aux-activites-economiques-lineaire-toutes-activites-lineaire-artisanal-et-commercial-du-plu-de-la-metropole-de-lyon,0.4155668,True
ind212-1-nombre-de-parties-de-reseaux-noeuds-flux-susceptibles-detre-endommages-par-linondation-2019,0.41540378,True
elements-de-calcul-du-facteur-environnemental-des-itineraires-proposes-sur-le-reseau-transports-en-commun-lyonnais,0.4139375,True
parcs-relais-du-reseau-transports-en-commun-lyonnais-disponibilites-temps-reel,0.41327232,True
reseau-dinitiative-publique-la-fibre-grand-lyon,0.41300055,True
disposition-particuliere-aux-activites-economiques-richesse-du-sol-et-sous-sol-du-plu-de-la-metropole-de-lyon,0.41129655,True
