slug,score,in_gd4h
canalisations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.6311093,True
chaufferies-et-centrales-de-production-de-froid-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.60031456,True
reseaux-de-chaleur-urbains-de-rennes-metropole,0.58196485,False
sous-stations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.56434405,True
energie-reseau-de-chauffage-urbain-grand-poitiers-donnees-metiers,0.5610996,False
circuits-moto-de-lherault,0.5587179,False
points-de-ventes-titres-de-transport-synchro-bus,0.54527485,False
coqueligo-urbain-gtfs,0.5407966,False
equipements-sportifs-1,0.5401267,False
transport-du-reseau-urbain-agglobus-et-de-transports-scolaires-gtfs,0.5378861,False
circuits-patrimoniaux-de-la-baule-escoublac,0.5363231,False
reseaux-de-chaleur-tours-metropole-val-de-loire,0.5349698,False
arbres-urbains-eurometropole-de-metz,0.5285,False
capacites-reseau-saint-denis,0.5273243,False
parkings-relais-p-r,0.5252564,False
infrastructure-de-charge-pour-vehicules-electriques-en-seine-et-marne,0.5236619,False
equipements-culturels,0.5226251,False
horaires-et-lignes-de-bus-du-reseau-qub-transports-urbains-de-quimper-bretagne-occidentale,0.52188826,False
gtfs-de-la-societe-de-transport-urbain-du-grand-montauban-semtm,0.51842654,False
rubis-horaires-theoriques-du-reseau-de-transport-urbain,0.5182682,False
poste-electrique-edf-a-saint-denis,0.5178984,False
reseaux-dassainissement-de-la-ccpop,0.51716626,False
canalisations-capv-opendata-4,0.5171485,False
localisation-des-chambres-de-raccordement-electrique-des-equipements-situes-sur-route-departementale,0.51667374,False
transports-urbains-st-cyr-s-mer,0.51479316,False
ilots-de-chaleur-eurometropole-de-metz-3,0.51390815,False
arrets-bus-et-tramways,0.5130497,False
tam-horaires-theoriques-du-reseau-de-transport-urbain,0.5128269,False
equipements-sportifs-blagnac,0.5123922,False
liste-des-arrets-du-reseau-astuce-metropole-rouen-normandie,0.512339,False
gamme-tarifaire-des-reseaux-de-transports-en-bourgogne-franche-comte,0.51134276,False
ruban-horaires-theoriques-du-reseau-de-transport-urbain,0.51027215,False
reseau-urbain-de-bus-du-grand-dax,0.50936717,False
equipements-relatifs-au-transport,0.5090628,False
historique-des-tarifs-reglementes-de-vente-de-gaz-naturel-pour-les-consommateurs-residentiels,0.5089321,False
disponibilite-des-pars-relais-du-reseau-star-rm,0.5085161,False
transports-urbains-comptes-administratifs-budget-primitif-etat-de-la-dette,0.5082341,False
ouvrages-capv-opendata-4,0.508218,False
accecibilite-reseau-stan,0.50811744,False
bornes-fontaine-a-antibes,0.5072632,False
stationnements-velos-topos-2016-orleans-metropole,0.5054921,False
offre-de-transport-des-bus-urbains-thononais-gtfs,0.5054352,False
offre-de-transports-du-grand-albigeois-gtfs,0.50399995,False
bornes-de-reparation-velo-orleans-metropole,0.50346345,False
ilevia-parc-bus,0.5015378,False
reseau-de-bornes-de-recharge-pour-vehicules-electriques-31-irve,0.501064,False
bornes-de-recharge-du-reseau-sydego-1,0.50061953,False
parkings-covoiturage,0.5000265,False
shp-pt-arret-coqueligo,0.49899918,False
stations-meteo-en-place,0.4981275,False
liste-des-points-de-ventes-de-titres-de-transport-du-reseau-idelis,0.49785447,False
equipements-publics-du-luberon,0.49760348,False
liste-des-abris-velo-sur-le-territoire,0.49748686,False
equipements-sportifs-14,0.4974513,False
equipements-des-canaux-a-toulouse,0.49735233,False
bornes-de-recharges-reseau-mobive-la-diege-irve-mobive,0.49517918,False
equipements-publics-du-grand-verdon,0.49485087,False
offre-de-transports-reseau-tac-annemasse-agglo-decembre-2022,0.4945722,False
arrets-horaires-et-parcours-theoriques-des-reseaux-naq-bac-nva-m,0.49416202,False
3cm-horaires-theoriques-du-reseau-de-transport-urbain,0.49363044,False
star-horaires-theoriques-et-temps-reel-du-reseau-de-transport-urbain,0.49288636,False
signataires-de-la-charte-du-reseau-de-commercants-solidaires-tours,0.49256742,False
infrastructures-de-recharge-pour-vehicules-electriques-reseau-electricite-seine-aval,0.49252793,False
offre-de-transport-du-grand-albigeois,0.49225563,False
arrets-horaires-et-parcours-theoriques-des-reseaux-nva-mobilite-agreges-1,0.49179482,False
reseau-lagglo-bus-de-lagglo-foix-varilhes,0.49165645,False
reseau-fibre-metropolitain,0.49161866,False
alerte-accessibilite-du-reseau-des-transports-en-commun-lyonnais,0.4915219,True
consommation-electrique-de-telecom-bretagne,0.4907496,False
reseau-de-transport-urbains-dignois,0.4906789,False
consommation-de-gaz-naturel-carburant-gnc-en-pays-de-la-loire,0.49033108,False
reseau-de-bornes-de-recharge-pour-vehicules-electriques-du-syndicat-departemental-denergie-des-hautes-pyrenees-sde65,0.4900971,False
reseau-fil-bleu-2021-2022-syndicat-des-mobilites,0.4894095,False
sas-velos-1,0.48934573,False
espaces-verts-tours-metropole-val-de-loire,0.48905796,False
proprete-reseau-de-chauffage-urbain-grand-poitiers-donnees-metiers,0.48900267,False
