slug,score,in_gd4h
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.37360364,True
c2023-sbep-075,0.35996887,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.3522112,True
energie-et-developpement-durable-1,0.34474584,False
facteurs-demissions-dequipements-de-sport,0.34412432,False
filibus-periurbain,0.34307766,False
omissy-dechetterie-orthomosaique-2,0.3413833,False
harly-20201130-impasse-bourgignon-orthomosaic-2,0.340922,False
qualite-de-lair-emissions-sectorielles-de-nox-pm2-5-pm10,0.3394764,False
pollution-t1-2019-courbevoie-parc-des-pleiades,0.33909798,False
registre-francais-des-emissions-polluantes-emissions-cu-grand-poitiers,0.33820313,False
registre-francais-des-emissions-polluantes-prelevements-cu-grand-poitiers,0.33762425,False
donnees-de-la-station-climatique-de-gerland,0.3373117,False
registre-francais-des-emissions-polluantes-etablissements,0.33676708,False
registre-francais-des-emissions-polluantes,0.33671543,True
registre-francais-des-emissions-polluantes-production-dechets-cu-grand-poitiers,0.33600146,False
nausicaa-medical,0.33431578,False
variations-des-interations-directes-et-indirectes-entre-plantes-le-long-dun-gradient-climatique-une-experimentation-sur-des-semis-darbres-1,0.33417386,False
perimetres-des-territoires-fonds-air-bois-en-auvergne-rhone-alpes,0.33408043,False
parcs-naturels-regionaux-reservoirs-de-biodiversite,0.33402973,False
suivi-du-transport-sedimentaire-sur-les-rivieres-arc-et-isere,0.3318869,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-2012,0.32898712,False
donnees-de-la-station-climatique-de-darbounouse,0.328184,False
voyage-ostille-doccupation-dans-un-terrain-sauvage-de-bourgogne,0.32808778,False
montescourt-20190117-dtm-hillshade-2,0.32637346,False
dechetteries-sur-le-perimetre-de-m2a,0.32593963,False
emissions-pour-tous-les-secteurs-dactivite-confondus,0.32436892,False
zone-vulnerable-a-la-pollution-par-les-nitrates-d-origine-agricole-2012-aveyron,0.32411942,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-midi-pyrenees-2015,0.3237807,False
renouvellement-du-parc-automobile,0.3237557,False
etablissements-denseignement-agricole-en-occitanie,0.3231665,False
fr-236700019-carte-sig-env-3336-9,0.32286867,False
viandes-de-gibier-sauvage-wild-game-meat,0.32244536,True
dispositif-de-suivi-de-la-qualite-de-lair-sur-la-region-grand-est-etat-du-reseau-de-mesure-atmo-grand-est,0.32219967,False
montescourt-20190117-dsm-hillshade-2,0.32162124,False
les-unites-de-paysage-sur-le-departement-de-meurthe-et-moselle-54,0.32137984,False
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.3208798,True
numerotation-lieudits-saint-thurien,0.32074425,False
pelouses-et-landes-seches-a-humides-sur-sols-acides-corridors-ecologiques-srce,0.3204722,False
clastres-vol2-orthomosaic-orthomosaic-2,0.32026008,False
agreste-prix-du-bois,0.31971008,True
zone-vulnerable-a-la-pollution-par-les-nitrates-d-origine-agricole-2007-aveyron,0.31946167,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-midi-pyrenees-2015-1,0.3192044,False
zones-vulnerables-aux-nitrates-dorigine-agricole-en-languedoc-roussillon-2015,0.3190722,False
emi-aura-dpt-2016,0.31852987,False
indice-air-sante-pm25-4,0.318471,False
emi-aura-dpt-2012,0.31834188,False
emissions-annuelles-par-departement,0.3183041,False
atmo-indice-qualite-de-lair,0.3179661,False
parc-du-verdon-corridors-ecologiques-pour-la-sous-trame-des-milieux-agricoles-cultives,0.3178194,False
gauchy-gambetta-20191103-orthomosaique-4,0.3175419,False
gauchy-gambetta-20191103-orthomosaique-5,0.3175419,False
pelouses-et-lisieres-seches-sur-sols-calcaires-corridors-ecologiques-srce,0.3173312,False
omissy-survol-dechetterie-3,0.31724656,False
zone-vulnerable-a-la-pollution-par-les-nitrates-d-origine-agricole-2015-aveyron-1,0.31717938,False
emissions-annuelles-par-epci,0.3165706,False
plan-de-servitudes-aeronautiques-de-degagement-psa-servitude-t5,0.3160939,False
habillage-verdure-schematique,0.31604612,False
maec-2015-zone-action-prioritaire-enjeu-eau,0.31593734,False
emissions-annuelles-regionales,0.31553638,False
qualite-de-lair-mesuree-dans-la-station-auber-2,0.31553495,False
milieux-boises-corridors-ecologiques-srce,0.31545627,False
emi-aura-region-2016,0.31520712,False
milieux-prairiaux-corridors-ecologiques-srce-1,0.31511438,False
emi-aura-region-2012,0.31504595,False
qualite-de-lair-mesuree-dans-la-station-franklin-d-roosevelt,0.3146297,False
emi-aura-epci-2016,0.31445882,False
emi-aura-epci-2012,0.31430906,False
milieux-boises-corridors-ecologiques-srce-1,0.31387505,False
milieux-prairiaux-corridors-ecologiques-srce,0.3138719,False
niveau-de-pollution-en-particules-fines-pm10-dans-l-agglomeration-nantaise-laod,0.31361607,False
qualite-de-lair-mesuree-dans-la-station-chatelet-rer-a-2,0.31309795,False
incorporations-par-les-fabricants-daliments-biologique-pour-betail,0.31306812,False
qualite-de-lair-mesuree-dans-la-station-chatelet,0.31276786,False
zones-humides-corridors-ecologiques-srce,0.31260526,False
qualite-de-lair-mesuree-dans-la-station-nation-rer-a-2,0.3121595,False
occupation-du-sol-1995-2005,0.31212074,False
actions-defficacite-energetique,0.31106248,False
clastres-vol2-dsm-hillshade-2,0.31053594,False
observatoire-draix-bleone-pour-lhydrologie-et-lerosion-en-montagne,0.3104785,False
installation-concue-pour-utiliser-lenergie-hydraulique-dans-le-gard-puissance-inferieure-a-4500-kw,0.31007653,False
eolienne-construite-ou-en-projet-en-lorraine-n-mat-eolien-p-r41,0.30921158,False
nouvelle-aquitaine-zones-vulnerables-a-la-pollution-par-les-nitrates-dorigine-agricole-perimetres-surfacique,0.3089639,False
nomenclature-domaines-emergents-des-brevets-1,0.30885756,False
observation-de-la-renouee-dans-les-alpes-du-nord,0.30857694,False
niveau-de-pollution-d-ozone-dans-l-agglomeration-nantaise-laod,0.3078821,False
fourriere-animale-devenir-des-animaux,0.30786413,False
spie-industrie-tertiaire-part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-du-parc-2022,0.30760399,False
prevention-des-risques-dinondation-par-ruissellement-axe-decoulement-du-plu-h-de-la-metropole-de-lyon,0.30717838,True
srce-reservoirs-de-biodiversite-des-trames-verte-et-bleue-en-pays-de-la-loire,0.30689085,False
dechets-menagers-points-dapport-volontaire-composteurs,0.3061945,False
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.30594644,True
envir-continuite-ecologique-prairie-seche,0.30593443,False
envir-continuite-ecologique-prairie-seche-3,0.30593443,False
envir-continuite-ecologique-prairie-seche-2,0.30593443,False
envir-continuite-ecologique-prairie-seche-1,0.30593443,False
enquete-od,0.30580136,False
aeag-sdage-2022-2027-eaux-souterraines-enjeux-et-tendances-en-nitrate,0.30579808,False
installation-concue-pour-utiliser-lenergie-hydraulique-tarn,0.30559257,False
bilan-carbone,0.30527988,False
srce-2014-corridors-ecologiques-fuseau-de-rhone-alpes,0.30516228,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens-2,0.30502707,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens-1,0.30502707,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens,0.30502707,False
surveillance-de-la-qualite-de-l-air-station-urbaine-de-fond-bassens-rdl,0.30502707,False
srce-2014-corridors-ecologiques-axes-de-rhone-alpes,0.30498278,False
ohm-cv-mesures-sur-les-gardons,0.30478314,False
fr-236700019-carte-sig-env-3619-8,0.3044225,False
fr-236700019-carte-sig-env-3609-8,0.30422786,False
mollusques-bivalves-vivants-live-bivalve-molluscs,0.30347493,True
benchmark-green-it-2018,0.30346054,False
forets-de-protection-du-bas-rhin,0.30335295,False
fr-236700019-carte-sig-env-3337-16-8,0.30310056,False
suivi-environnemantal-des-parcs-eoliens,0.30309978,False
sas-energia-doghje-lenergie-daujourdhui-2,0.30296522,False
vegetation-du-massif-du-luberon-1973,0.3025571,False
potentiel-hydroelectrique-des-troncons-de-cours-deau-sur-rhone-alpes-en-2012,0.3023858,False
centrales-de-production-hydraulique-de-edf-sa,0.30224353,False
aeag-sdage-2022-2027-axes-a-grands-migrateurs-amphihalins,0.3019335,False
servitudes-relatives-aux-forets-dites-de-protection-instituees-en-application-des-articles-l-141-1-a-l-141-7-du-code-forestier-en-essonne,0.30189008,False
continuite-ecologique-regionale-cer-obstacle-rb-l-fr32-obstacles-a-la-continuite-ecologique-reservoirs-de-biodiversite-sraddet-hauts-de-france-2020,0.3017332,False
maec-2015-zone-action-prioritaire-enjeu-sols,0.30153936,False
reservoirs-biologiques-affluents-sdage-2009-2015-dans-le-bassin-rhin-meuse,0.30140156,False
peche-reserve-de-peche-en-loir-et-cher,0.30105478,False
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-30-04-2023,0.30096605,False
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-30-09-2023,0.30096605,True
clastres-vol2-mns-dsm-hillshade-2,0.30078462,False
parc-du-verdon-reservoirs-de-biodiversite-de-la-sous-trame-des-milieux-agricoles-cultives,0.30076882,False
reserves-secondaires-des-centrales-de-production-edf-sa,0.30051464,False
station-de-controle-secheresse,0.3004596,False
erosion-cotiere-lorient-agglomeration-1,0.30028832,False
foret-de-protection-articles-l141-1-a-l143-1-du-code-forestier,0.29955074,False
evolution-du-solde-des-echanges-exterieurs-de-produits-de-la-branche-ba2000-30382489,0.29952577,False
nouvelle-aquitaine-partiel-servitude-relative-a-lexploitation-des-mines-et-carriere-i6-perimetres-surfacique,0.29947403,False
fr-236700019-carte-sig-env-3602-8,0.29927853,False
vegetation-du-massif-du-luberon-1944,0.29914555,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2019-france-metropolitaine-et-drom-2,0.29872718,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2019-france-metropolitaine-et-drom-1,0.29872718,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2019-france-metropolitaine-et-drom,0.29872718,False
icpe-tours-aerorefrigerantes-tar-en-fonctionnement-en-pays-de-la-loire,0.29827613,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2017-france-metropolitaine-et-drom-2,0.29818904,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2017-france-metropolitaine-et-drom-1,0.29818904,False
etablissements-concernes-par-la-directive-sur-les-emissions-industrielles-rapportage-2017-france-metropolitaine-et-drom,0.29818904,False
contextes-piscicoles-metropole,0.2980828,True
liste-des-stations-de-peche-en-sarthe,0.29807,False
40-nouvelles-aires-de-covoiturage-pnr-de-la-montagne-de-reims,0.2980375,False
ra-culture-moyennes-et-grandes-exploitations,0.29801556,False
unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire,0.2979421,False
etude-facteurs-demissions-des-differents-modes-de-transport-routier,0.29791844,True
fr-236700019-carte-sig-env-3600-8,0.29791173,False
ra-culture-petites-exploitations,0.29784504,False
foret-de-protection-articles-l-411-1-a-l-413-1-du-code-forestier-1,0.29774648,False
continuite-ecologique-regionale-cer-obstacle-cor-l-fr32-obstacles-a-la-continuite-ecologique-corridors-sraddet-hauts-de-france-2020,0.29756677,False
zones-ou-lenneigement-naturel-est-garanti-en-haute-savoie,0.297467,False
schema-directeur-energie-emissions-ges-consommation,0.29746318,False
sarl-calmus,0.29734433,False
ra-culture-ensemble-des-exploitations,0.29724997,False
agreste-recensement-de-la-pisciculture-et-elevage-de-crustaces-dans-les-dom,0.29717442,True
fr-236700019-carte-sig-env-3603-8,0.29716662,False
installations-solaires-thermique-subventionnees-par-lademe-en-pays-de-la-loire,0.29715925,False
zone-de-lutte-vis-a-vis-de-la-chrysomele-des-racines-du-mais-en-alsace-en-2008-1,0.2971588,False
qualite-de-lair-concentration-moyenne-no2-pm2-5-pm10-o3,0.29711306,False
srce-reservoirs-de-biodiversite-plaines-ouvertes-du-srce-poitou-charentes,0.29701948,False
planning-des-chantiers,0.2969488,False
fr-236700019-carte-sig-env-3607-8,0.29691118,False
fr-236700019-carte-sig-env-3617-8,0.29688132,False
concentrations-en-nitrates-dorigine-agricole-2013-2014-eaux-superficielles-france-entiere,0.29657,True
les-referentiels-des-obstacles-a-lecoulement-sur-les-cours-deau-roe,0.29642075,False
fr-236700019-carte-sig-env-3601-8,0.29632166,False
xeme-programme-zonage-enjeu-eau-potable,0.2962026,True
liste-des-stations-de-peche-electrique,0.29611942,True
xeme-programme-acquisition-de-zone-humide,0.29603547,True
indice-air-sante-no2-4,0.29598516,False
vegetation-du-massif-du-luberon-2000,0.2959011,False
indice-poisson-riviere-ipr,0.29588413,True
emissions-de-polluants-de-la-region-cvdl,0.29571354,False
envir-continuite-ecologique-forestiere,0.29550558,False
envir-continuite-ecologique-forestiere-3,0.29550558,False
envir-continuite-ecologique-forestiere-2,0.29550558,False
envir-continuite-ecologique-forestiere-1,0.29550558,False
fr-236700019-carte-sig-env-3610-8,0.2954871,False
qualite-de-lair-concentration-moyenne-no2-pm2-5-pm10-o3-a-partir-de-2015,0.2954662,False
enveloppes-approchees-dinondations-potentielles-des-cours-deau-de-auvergne-rhone-alpes,0.29546002,False
concentrations-en-nitrates-dorigine-agricole-2013-2014-eaux-souterraines-france-entiere,0.29542413,True
station-depuration-industrielle-1,0.29541314,False
exposition-de-la-population-urbaine-a-la-pollution-de-l-air-par-les-particules-fines-1997-2011,0.29527652,False
restauration-scolaire-composants-issus-de-lalimentation-durable,0.2951357,False
patrimoine-faunistique-remarquable-des-eaux-douces-en-bretagne,0.29504353,False
liste-des-operations-de-peche-electrique,0.2949945,True
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-ile-de-france,0.29499346,False
tours-aerorefrigerantes-tar-en-bourgogne-franche-comte-1,0.2946941,False
resultat-des-peches-electriques,0.29461154,True
continuite-ecologique-regionale-cer-obstacle-p-fr32-obstacles-majeurs-a-lecoulement-sraddet-hauts-de-france-2020,0.2945598,False
zone-de-lutte-vis-a-vis-de-la-chrysomele-des-racines-du-mais-en-alsace-en-2008,0.29449362,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-letat-quantitatif-des-masses-deau-souterraines-par-bassin-dce,0.29447803,True
bpce-commercialisation-de-produits-depargne-salariale-isr-et-ou-solidaires,0.29447138,False
emi-centre-val-de-loire-region-2009-4,0.2943048,False
envir-onf-peuplements,0.29425284,False
envir-onf-peuplements-2,0.29425284,False
envir-onf-peuplements-1,0.29425284,False
stock-des-fabricants-daliments-biologiques-pour-betail,0.29416582,False
xeme-programme-action-en-faveur-de-lagriculture-en-zone-humide,0.2941407,True
emi-centre-val-de-loire-region-2008-4,0.29405972,False
zones-vulnerables-en-alsace,0.29400685,False
srce-corridors-vallees-assurant-des-connexions-entre-des-reservoirs-de-biodiversite-en-pays-de-la-loire-1,0.29398948,False
fr-236700019-carte-sig-env-3618-8,0.29397708,False
la-chaudiere-a-bois,0.29396704,False
parc-du-luberon-exploitation-forestiere-production-de-bois,0.29395512,False
emi-centre-val-de-loire-region-2020,0.29389697,False
pesticides-dans-les-eaux-souterraines,0.29386428,True
qualite-de-l-air-mesuree-dans-nos-stations-t1-2012-ratp,0.29384294,False
servitudes-a7-zones-de-protection-des-forets-protegees-assiettes-des-servitudes-haute-garonne,0.29383245,False
emi-centre-val-de-loire-region-2019,0.29382485,False
meteo-observation-station-mdm-synop,0.29375216,False
fiche-descriptive-du-phytolacca-americana-nom-vernaculaire-phytolaque-raisin-d-amerique,0.29368216,False
pluviometres-1,0.29366654,False
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-ile-de-france,0.29363218,False
emi-centre-val-de-loire-region-2010-4,0.29356316,False
localisation-ponctuelle-des-micro-centrales-et-barrages-hydro-electriques-dans-le-departement-de-lallier,0.2934686,False
parc-de-la-sainte-baume-les-enjeux-forestiers-modele-final,0.29346815,False
sonepar-connect,0.29344767,False
emi-centre-val-de-loire-region-2014-4,0.29337505,False
emi-centre-val-de-loire-region-2018-4,0.29334995,False
camping-le-tropicana,0.29332787,False
emi-centre-val-de-loire-region-2015-4,0.29329866,False
espaces-renaturer,0.29329425,False
ra-methode-de-culture-elements-de-paysages-moyennes-et-grandes-exploitations,0.29327914,False
emi-centre-val-de-loire-region-2011-4,0.2932617,False
concentrations-observees-mesures,0.29311213,False
emi-centre-val-de-loire-region-2013-4,0.29308623,False
environnement-trame-noire-zones-de-forte-pollution-lumineuse-grand-poitiers-donnees-metiers-copie,0.29307127,False
emi-centre-val-de-loire-region-2012-6,0.29306248,False
emi-centre-val-de-loire-region-2016-6,0.29304484,False
fr-236700019-carte-sig-env-3615-8,0.29290769,False
emi-centre-val-de-loire-region-2017-4,0.29287905,False
reseau-de-bornes-de-recharge-rapide-auchan,0.29275683,False
ra-methode-de-culture-elements-de-paysages-petites-exploitations,0.29273129,False
mobilite-calavon-fonctionnel-residuel,0.29261205,False
prescriptions-relatives-a-la-qualite-du-cadre-de-vie-espace-boise-classe-espace-vegetalise-a-valoriser-du-plu-h-de-la-metropole-de-lyon,0.29257977,True
niveau-de-dioxyde-d-azote-dans-l-agglomeration-nantaise-laod,0.29250595,False
fr-236700019-carte-sig-env-3604-8,0.2924991,False
lignes-electriques-aeriennes-moyenne-tension-hta-en-pays-de-la-loire,0.29248026,False
emissions-de-polluants-atmospheriques-des-epci-de-la-region-cvdl,0.29229927,False
nouvelle-aquitaine-partiel-servitude-relative-a-lexploitation-des-mines-et-carriere-i6-perimetres-surfacique-1,0.2922518,False
concentrations-en-nitrates-dorigine-agricole-2011-2012-eaux-superficielles-france-entiere,0.29223722,True
