slug,score,in_gd4h
prescriptions-relatives-a-laffectation-des-sols-richesse-du-sol-et-sous-sol-du-plu-h-de-la-metropole-de-lyon,0.45718828,True
points-cotes-au-sol-3d-de-la-metropole-de-lyon,0.40098405,True
classification-des-espaces-vegetalises-et-artificialises-production-corine-land-cover-pour-la-metropole-de-lyon-ortho-2015,0.38708162,True
corine-land-cover-occupation-des-sols-en-france,0.38524774,True
donnees-mensuelles-dindice-dhumidite-des-sols-pour-le-dispositif-catastrophes-naturelles,0.38495022,True
classification-2015-des-espaces-vegetalises-et-artificialises-des-communes-de-la-metropole-de-lyon,0.38149083,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-lain,0.37389797,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-haute-savoie,0.3736601,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-savoie,0.37351635,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-lisere,0.373278,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-du-rhone,0.37300408,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-loire,0.37254217,True
disposition-particuliere-aux-activites-economiques-richesse-du-sol-et-sous-sol-du-plu-de-la-metropole-de-lyon,0.37239087,True
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.3668281,True
occupation-des-sols-a-grande-echelle-par-teledetection-lot-test-tarentaise-vanoise,0.3656584,True
ilots-zones-du-plu-de-la-metropole-de-lyon,0.36347872,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-drome,0.36286277,True
agreste-teruti-lucas-utilisation-du-territoire,0.35399458,True
toits-sur-toits-3d-2015-du-bati-de-la-metropole-de-lyon,0.3531439,True
batiments-municipaux-de-la-commune-de-chassieu,0.34859017,True
zone-du-plu-h-de-la-metropole-de-lyon,0.34364274,True
lineaires-commerciaux-et-artisanaux-ou-toutes-activites-du-plu-h-de-la-metropole-de-lyon,0.3428954,True
prescription-relative-a-limplantation-des-batiments-obligation-ou-non-de-continuite-du-plu-de-la-metropole-de-lyon,0.3393972,True
disposition-particuliere-aux-activites-economiques-axe-tertiaire-alignement-de-bureaux-du-plu-de-la-metropole-de-lyon,0.3371172,True
