slug,score,in_gd4h
sync8a479bd-fr-dlva-mosge-1999,0.53643,False
parc-de-camargue-occupation-du-sol-1942,0.52091587,False
sync95a6c98-mode-doccupation-du-sol-mos-dlva-2015,0.51220185,False
sync459c6a1-fr-dlva-mosge-2010,0.5117639,False
occupation-du-sol-1999-2006-ex-lr,0.5074236,False
occupation-du-sol-hauts-de-france-2009-2010,0.49870571,False
mode-doccupation-du-sol-bm-vocation-urbanisme,0.49000317,False
parc-de-camargue-occupation-du-sol-1970,0.4888429,False
evolutions-du-mode-doccupation-du-sol-mos-paa-2010-2018-1,0.48870233,False
evolutions-du-mode-doccupation-du-sol-mos-paa-2010-2018,0.48870233,False
parc-de-camargue-occupation-du-sol-2011,0.47215483,False
mode-doccupation-du-sol-mos-paa-2018-1,0.47177112,False
mode-doccupation-du-sol-mos-paa-2018,0.47177112,False
cartographie-de-loccupation-du-sol-oso,0.4716003,False
fr-246800726-1813,0.4695744,False
mos-dlva-2018,0.46819958,False
mode-doccupation-du-sol-mos-paa-2010,0.4663961,False
mode-doccupation-du-sol-mos-p2a-2010,0.4663961,False
plan-doccupation-du-sol-1979,0.46561927,False
fr-236700019-carte-sig-env-3440-ocs-scot-piemont-vosges-niv2-9,0.4653112,False
sync07aab86-fr-dlva-mosge-99-10,0.4652772,False
fr-246800726-1814,0.4641188,False
mode-doccupation-du-sol-historique-annee-1955,0.46391496,False
fr-236700019-carte-sig-env-3441-ocs-scot-rhin-vignoble-grand-ballon-niv2-9,0.46334046,False
plan-doccupation-du-sol-1975,0.46286798,False
mode-doccupation-du-sol-historique-annee-1973,0.46249953,False
mode-doccupation-du-sol-historique-annee-1985,0.4619722,False
plan-doccupation-du-sol-1993,0.46175545,False
fr-236700019-carte-sig-env-3430-ocs-alsace-niv3-8,0.46041748,False
plan-doccupation-du-sol-1985,0.45996895,False
modes-doccupation-des-sols-pour-lannee-1949-en-loire-atlantique-2,0.45939058,False
