slug,score,in_gd4h
omissy-dechetterie-orthomosaique-2,0.48541376,False
filibus-periurbain,0.48231202,False
harly-20201130-impasse-bourgignon-orthomosaic-2,0.477545,False
nausicaa-medical,0.47663993,False
montescourt-20190117-dtm-hillshade-2,0.46808472,False
montescourt-20190117-dsm-hillshade-2,0.46420422,False
clastres-vol2-orthomosaic-orthomosaic-2,0.45327425,False
numerotation-lieudits-saint-thurien,0.4476275,False
gauchy-gambetta-20191103-orthomosaique-4,0.44592085,False
gauchy-gambetta-20191103-orthomosaique-5,0.44592085,False
omissy-survol-dechetterie-3,0.44249713,False
sarl-calmus,0.4408272,False
viandes-hachees-preparation-de-viandes-et-viandes-separees-mecaniquement-vsm-minced-meat-meat-preparations-and-mechanically-separated-meat,0.43844312,True
clastres-vol2-dsm-hillshade-2,0.43677533,False
time-series-of-type-chemistry-in-le-lez-mediterranee-basin-medycyss-observatory-karst-observatory-network-ozcar-critical-zone-network-research-infrastructure-2,0.43638387,False
emissions-pour-tous-les-secteurs-dactivite-confondus,0.43441188,False
enquete-od,0.4310681,False
viandes-dongules-domestiques-meat-of-domestic-ungulates,0.43093106,True
graisses-animales-fondues-et-cretons-rendered-animal-fats-and-greaves,0.42427388,True
pollution-t1-2019-courbevoie-parc-des-pleiades,0.42335707,False
anssi-tunnel,0.41910395,False
time-series-of-type-chemistry-in-fontaine-de-vaucluse-basin-fontaine-de-vaucluse-observatory-karst-observatory-network-ozcar-critical-zone-network-research-infrastructure-2,0.41868922,False
emi-aura-dpt-2012,0.41736725,False
emi-aura-dpt-2016,0.41685882,False
emissions-annuelles-par-departement,0.41621932,False
mollusques-bivalves-vivants-live-bivalve-molluscs,0.4155099,True
emissions-annuelles-par-epci,0.41433048,False
emissions-annuelles-regionales,0.4140038,False
emi-aura-region-2012,0.41374528,False
viandes-de-volailles-et-lagomorphes-meat-from-poultry-and-lagomorphs,0.41328287,True
emi-aura-region-2016,0.41321388,False
emi-aura-epci-2012,0.41159868,False
emi-aura-epci-2016,0.41104603,False
3c06f118-6523-48f8-a202-8c91b333ed17-uuid,0.40868443,False
clastres-vol2-mns-dsm-hillshade-2,0.4058761,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest-en-2020,0.40567163,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest-en-2020,0.4056706,True
sonepar-connect,0.40446454,False
7b09e78e-9ac7-490d-9612-dcd2947939ad-uuid,0.4043712,False
dechetteries-sur-le-perimetre-de-m2a,0.40402302,False
23efcc0c-10bd-4b19-be68-48b3f53b6209-uuid,0.40373948,False
c0aeee0d-9686-45d1-add9-cdaa8846ad35-uuid,0.40364984,False
45e30f05-2587-423d-af36-3d87ef557f73-uuid,0.40325135,False
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.40297195,True
36373b1e-75fe-4f2a-82f5-ed5c52019053-uuid,0.40250003,False
1040a8ac-2cc5-4405-996e-c78cd6da0efa-uuid,0.40193546,False
e5857009-5963-4f59-b967-51d805ca7235-uuid,0.40172374,False
fe5e4bb4-db99-4865-999e-4d167270bd1a-uuid,0.40148175,False
9bc9884d-68d1-4201-890f-02600d8a41ad-uuid,0.40105087,False
2d5d3090-abf8-492c-9312-3a005d30ad7b-uuid,0.4010273,False
297aa53e-caf2-4c22-af64-213a2c9d0d37-uuid,0.40093833,False
347708f8-9378-4d05-99fc-bfefd1cf3cbc-uuid,0.40079862,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord-en-2020,0.4004195,True
48d5f681-eb1c-42bd-b0e1-e38bca8384c3-uuid,0.39954847,False
58e83a18-e1a5-404f-b324-8008d4f6f6ce-uuid,0.39939958,False
surveillance-du-sars-cov-2-dans-les-eaux-usees-1,0.39862576,False
ae68a220-1d99-4bed-8057-c1c6c9ef398f-uuid,0.39815262,False
be77ee67-762a-435a-bd0f-efb027eaae6d-uuid,0.39809915,False
viandes-de-gibier-delevage-meat-of-farmed-game-cutting-plant,0.39799982,True
ascad-atmega-8515-variable-key,0.39790174,False
time-series-of-type-chemistry-in-la-loire-basin-val-dorleans-observatory-karst-observatory-network-ozcar-critical-zone-network-research-infrastructure-2,0.39746937,False
7cf00da4-8083-4097-b828-637b18877b88-uuid,0.3971373,False
50f7fc0d-0ff1-4b45-9a69-5b94fceb15f4-uuid,0.39691985,False
time-series-of-type-chemistry-in-louveze-basin-fontaine-de-vaucluse-observatory-karst-observatory-network-ozcar-critical-zone-network-research-infrastructure-2,0.3968329,False
5f2e52a4-883e-410b-a2db-a93c12ffb66c-uuid,0.3966694,False
ac2696ab-a170-4d28-938e-aa06e72de147-uuid,0.39664587,False
conteneurs-dapport-volontaires-sur-le-territoire-de-m2a,0.3965514,False
bf3bb33c-23ea-4921-9961-fa69c9b69932-uuid,0.3963274,False
fffaea4a-fe0a-4a68-96b3-0721f31d10f2-uuid,0.39628544,False
2ec56c02-9213-4ee5-b602-f60a61ba9995-uuid,0.3962717,False
time-series-of-type-chemistry-in-le-toulourenc-basin-fontaine-de-vaucluse-observatory-karst-observatory-network-ozcar-critical-zone-network-research-infrastructure-2,0.3962278,False
5cef31e8-a7f2-48f5-9cda-d7533b28abe6-uuid,0.395941,False
4f3931b7-2088-433d-ba63-0c807536603c-uuid,0.39580598,False
7c860974-0b04-47d6-ad61-29e4955d53c2-uuid,0.39540297,False
d8635498-429a-46e3-a00c-495bed70d530-uuid,0.39518747,False
ca8fea97-55cd-4408-a4f6-0f8b917fe109-uuid,0.39502615,False
c6c2f255-234f-424a-b271-daaf233ed81c-uuid,0.39486396,False
a2873185-8032-47b7-9d2c-a7863130a8fc-uuid,0.39470202,False
