slug,score,in_gd4h
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-auvergne-rhone-alpes-sur-la-derniere-annee,0.35619146,True
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-en-region-auvergne-rhone-alpes-sur-la-derniere-annee-glissante,0.3380254,True
registre-francais-des-emissions-polluantes,0.32964507,True
bilan-demissions-de-gaz-a-effet-de-serre-par-scope-et-operateur,0.3181051,True
niveaux-annuels-de-polluants-dans-lair-ambiant-issus-de-la-modelisation-sur-la-region-auvergne-rhone-alpes-en-2015,0.3171063,True
scenarios-de-consommation-gaz-a-horizon-2030-perspectives-gaz-edition-2020,0.308742,True
emission-co2-et-evolution-de-l-efficience-energetique-par-faisceau-30381917,0.3079089,True
extremas-quotidiens-des-flux-commerciaux-janvier-2012-a-fevrier-2023,0.30664882,True
agreste-consommation-et-production-d-energie-dans-les-exploitations-agricoles,0.30041543,True
agreste-statistique-agricole-annuelle-saa,0.29334417,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-regionale,0.29199493,True
agreste-consommation-directe-et-production-denergie-des-edt-et-des-cuma,0.29078665,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2008-30378793,0.28921714,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2004-30378653,0.28921628,True
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.2873067,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-nationale,0.2870362,True
agreste-recensement-de-la-pisciculture-et-elevage-de-crustaces-dans-les-dom,0.28669366,True
agreste-prix-du-bois,0.28507257,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-departementale,0.2844117,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2006-30379187,0.28236496,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2002-30379262,0.28187525,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-epci,0.28182113,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2001-30379209,0.28150198,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2003-30379125,0.28046626,True
equilibre-national-mensuel-production-consommation-brute,0.28031033,True
agreste-recensement-de-la-pisciculture-marine,0.27953395,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2010-30378914,0.27700332,True
agreste-enquete-annuelle-laitiere,0.27699417,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2009-30378969,0.27601987,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2005-30378690,0.27586836,True
indices-annuels-de-temperature-et-nombre-de-jours-de-temperature-issus-du-modele-aladin-pour-le-scenario-rcp-2-6,0.2717181,True
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2007-30378866,0.27088985,True
consommation-annuelle-finale-regionale-delectricite-2006-a-2020,0.27049798,True
agreste-consommations-d-energie-dans-les-iaa-et-les-scieries,0.26997772,True
repartition-annuelle-de-la-consommation-de-gaz-naturel-en-france,0.26732466,True
dpe-tertiaire-avant-juillet-2021,0.2669793,True
indices-annuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat,0.2663227,True
pic-journalier-de-la-consommation-brute-delectricite,0.26523682,True
indices-mensuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat-pour-le-scenario-rcp-4-5,0.26309985,True
repartition-des-potentiels-de-gaz-verts-a-horizon-2050-par-departement,0.26307017,True
indices-mensuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat-pour-le-scenario-rcp-2-6,0.2617823,True
