slug,score,in_gd4h
bruit-aerien-pistes-aeroport-lyon-bron-et-aerodrome-lyon-corbas,0.5968936,True
bruit-aerien-2007-ln-aeroport-lyon-bron,0.51636016,True
bruit-industriel-2007-ln-de-la-metropole-de-lyon,0.5124561,True
bruit-aerien-2022-ln-de-la-metropole-de-lyon,0.5066388,True
bruit-ferroviaire-2010-ln-de-la-metropole-de-lyon,0.5063967,True
bruit-ferroviaire-2022-ln-de-la-metropole-de-lyon,0.5047307,True
bruit-routier-2010-ln-de-la-metropole-de-lyon,0.50448775,True
bruit-routier-2022-ln-de-la-metropole-de-lyon,0.50317854,True
mesures-du-reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.48420128,True
reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.46868277,True
stations-du-reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.46719727,True
bruit-aerien-2007-lden-aerodrome-lyon-corbas,0.44432202,True
bruit-aerien-2007-lden-aeroport-lyon-bron,0.44274667,True
bruit-industriel-2007-lden-de-la-metropole-de-lyon,0.44058505,True
bruit-routier-2010-lden-de-la-metropole-de-lyon,0.4377056,True
bruit-ferroviaire-2010-lden-de-la-metropole-de-lyon,0.4370329,True
bruit-industriel-2022-lden-de-la-metropole-de-lyon,0.43604302,True
bruit-routier-2022-lden-de-la-metropole-de-lyon,0.4347653,True
bruit-aerien-2022-lden-de-la-metropole-de-lyon,0.43462047,True
bruit-ferroviaire-2022-lden-de-la-metropole-de-lyon,0.43392035,True
trafic-aeroport-bordeaux-merignac-passagers-et-mouvements-30381866,0.39968017,True
trafic-aeroport-paris-orly-passagers-et-mouvements-30381918,0.3981029,True
trafic-aeroport-marseille-provence-passagers-et-mouvements-30381998,0.39770353,True
trafic-aeroport-toulouse-blagnac-passagers-et-mouvements-30381970,0.397434,True
trafic-aeroport-strasbourg-entzheim-passagers-et-mouvements-30381872,0.39726266,True
trafic-aeroport-paris-cdg-passagers-et-mouvements-30381975,0.3971742,True
trafic-aeroport-montpellier-mediterranee-passagers-et-mouvements-30381925,0.39711237,True
trafic-aeroport-lyon-saint-exupery-passagers-et-mouvements-30381992,0.39695,True
trafic-aeroport-nantes-atlantique-passagers-et-mouvements-30381829,0.39690018,True
trafic-outre-mer-outre-mer-passagers-et-mouvements-30381959,0.38240227,True
trafic-outre-mer-international-passagers-et-mouvements-30381882,0.38212427,True
agreste-prix-du-bois,0.37961748,True
trafic-total-outre-mer-passagers-et-mouvements-30381876,0.37727764,True
indicateurs-de-trafic-journaliers-france-et-regions-en-situation-de-covid-19,0.36251315,True
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.36149907,True
trafic-aeroport-nice-cote-d-azur-passagers-et-mouvements-30381825,0.360828,True
trafic-ue27-passagers-et-mouvements-30381878,0.35994866,True
etude-facteurs-demissions-des-differents-modes-de-transport-routier,0.35882,True
trafic-metropole-outre-mer-passagers-et-mouvements,0.35423216,True
trafic-total-metropole-passagers-et-mouvements-30381890,0.3530166,True
equilibre-national-mensuel-rpt-injection-soutirage,0.35150585,True
recensement-de-la-circulation-sur-le-reseau-routier-national-non-concede-en-2011,0.34991693,True
trafic-metropole-interieur-passagers-et-mouvements-30381853,0.34840617,True
risque-allergique-lie-aux-pollens-de-la-metropole-de-lyon-dernier-bulletin,0.34763038,True
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.3446014,True
contraintes-residuelles-prospectives-sur-le-rpt-a-horizon-3-a-5-ans-au-6-decembre-2022,0.3397373,True
pnb-points-noirs-de-bruit-dans-les-480-quartiers-prioritaires-du-npnru,0.33584502,True
hierarchisation-du-reseau-routier-national,0.33522734,True
pic-journalier-de-la-consommation-brute-delectricite,0.3310935,True
scenarios-de-consommation-gaz-a-horizon-2030-perspectives-gaz-edition-2020,0.3298185,True
trafic-international-repartiton-par-zones-geographiques-passagers,0.32956865,True
ind19-1-exposition-de-la-population-a-la-submersion-des-cordons-dunaires-2019,0.32866642,True
elements-de-calcul-du-facteur-environnemental-des-itineraires-proposes-sur-le-reseau-transports-en-commun-lyonnais,0.32766178,True
dispositifs-de-separation-du-trafic,0.3270075,True
trafic-moyen-journalier-annuel-sur-le-reseau-routier-national,0.32657596,True
prevention-des-risques-dinondation-par-ruissellement-axe-decoulement-du-plu-h-de-la-metropole-de-lyon,0.3264773,True
indice-de-qualite-de-lair-par-commune-pour-j-1-j-j-1,0.32533315,True
largeur-de-routes-sur-le-reseau-routier-national,0.32454464,True
plages-surveillees-du-grand-parc-de-miribel-jonage,0.32394928,True
donnees-mensuelles-dindice-dhumidite-des-sols-pour-le-dispositif-catastrophes-naturelles,0.32373476,True
classification-du-reseau-routier-national,0.32128897,True
risque-allergique-lie-aux-pollens-de-la-metropole-de-lyon-historique,0.32090747,True
contextes-piscicoles-metropole,0.31883672,True
etat-du-trafic-de-la-metropole-de-lyon-disponibilites-temps-reel,0.31882456,True
les-indicateurs-relatifs-aux-infections-nosocomiales-dans-les-etablissements-de-sante-2011-576189,0.31866553,True
elements-de-calcul-du-facteur-environnemental-des-itineraires-proposes-sur-le-reseau-libellule-sytral-de-la-communaute-dagglomeration-de-villefranche-beaujolais-saone,0.31826776,True
ind212-1-nombre-de-parties-de-reseaux-noeuds-flux-susceptibles-detre-endommages-par-linondation-2019,0.317196,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.3166019,True
trafic-en-passagers-kilometres-transportes-30381934,0.3163943,True
