slug,score,in_gd4h
aires-dalimentation-des-captages,0.53888166,True
representation-surfacique-des-masses-deau-cours-deau,0.537187,True
masses-deau-cours-deau,0.536733,True
plans-deau-guadeloupe-2009-bd-carthage,0.5313348,True
rapportage-directive-cadre-sur-leau-2010-fichiers-sig-des-masses-deau-de-surface-france-metropolitaine-au-format-wise,0.5311971,True
points-masses-deau-plans-deau,0.5287348,True
masses-deau-cours-deau-metropole-version-etat-des-lieux-2013,0.5249803,True
troncons-elementaires-de-masse-deau-cours-deau-metropole-version-rapportage-2010,0.52396697,True
masses-deau-cours-deau-metropole-version-rapportage-2010,0.5238261,True
masses-deau-cours-deau-martinique-version-rapportage-2016,0.52177024,True
masses-deau-cours-deau-guadeloupe-version-rapportage-2016,0.521757,True
rapportage-directive-cadre-sur-leau-2010-fichiers-sig-des-masses-deau-souterraine-par-bassin-dce-au-format-wise,0.5215175,True
masses-deau-cours-deau-reunion-version-rapportage-2016,0.5196161,True
masses-deau-de-surface-plans-deau,0.5187687,True
troncons-elementaires-de-masse-deau-cours-deau-reunion-version-rapportage-2016,0.51836157,True
masses-deau-cours-deau-guyane-version-rapportage-2016,0.5182621,True
troncons-elementaires-de-masse-deau-cours-deau-guyane-version-rapportage-2016,0.51816136,True
troncons-elementaires-de-masse-deau-cours-deau-guadeloupe-version-rapportage-2016,0.5181174,True
masses-deau-cours-deau-metropole-version-rapportage-2016,0.5180792,True
troncons-elementaires-de-masse-deau-cours-deau-martinique-version-rapportage-2016,0.517979,True
troncons-elementaires-de-masse-deau-cours-deau-mayotte-version-rapportage-2016,0.5177068,True
masses-deau-cours-deau-mayotte-version-rapportage-2016,0.51753825,True
troncons-elementaires-de-masse-deau-cours-deau-metropole-version-rapportage-2016,0.5167156,True
aires-dalimentation-de-captage-metropole,0.5165666,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.5165008,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.5164457,True
masses-deau-cours-deau-reunion-version-rapportage-2010,0.51610917,True
aac-prioritaires-adour-garonne,0.5157078,True
troncons-hydrographiques-metropole-2017-bd-carthage,0.5156185,True
troncons-hydrographiques-metropole-2016-bd-carthage,0.5152932,True
masses-deau-cours-deau-martinique-version-etat-des-lieux-2013,0.515217,True
