slug,score,in_gd4h
aires-dalimentation-des-captages,0.53888166,True
representation-surfacique-des-masses-deau-cours-deau,0.537187,True
masses-deau-cours-deau,0.536733,True
plans-deau-guadeloupe-2009-bd-carthage,0.5313348,True
rapportage-directive-cadre-sur-leau-2010-fichiers-sig-des-masses-deau-de-surface-france-metropolitaine-au-format-wise,0.5311971,True
masses-deau-superficielles-en-bourgogne-franche-comte-mesu-1,0.5304276,False
points-masses-deau-plans-deau,0.5287348,True
barrages-hydroelectriques-de-type-lineaire-en-auvergne-rhone-alpes,0.52744895,False
masses-deau-cours-deau-metropole-version-etat-des-lieux-2013,0.5249803,True
troncons-elementaires-de-masse-deau-cours-deau-metropole-version-rapportage-2010,0.52396697,True
masses-deau-cours-deau-metropole-version-rapportage-2010,0.5238261,True
donnees-cours-deau-a-preserver-prioritairement-sage-ill-nappe-rhin-2013,0.5237779,False
cours-deau-de-la-trame-verte-et-bleue-regionale-schema-regional-de-coherence-ecologique-de-bretagne,0.52303,False
cours-deau-de-la-trame-verte-et-bleue-regionale-schema-regional-de-coherence-ecologique-de-bretagne-1,0.52285725,False
masses-deau-cours-deau-martinique-version-rapportage-2016,0.52177024,True
masses-deau-cours-deau-guadeloupe-version-rapportage-2016,0.521757,True
rapportage-directive-cadre-sur-leau-2010-fichiers-sig-des-masses-deau-souterraine-par-bassin-dce-au-format-wise,0.5215175,True
barrages-hydroelectriques-de-type-ponctuel-en-auvergne-rhone-alpes,0.52061814,False
srce-2014-cours-deau-dinteret-ecologique-reconnu-de-rhone-alpes,0.5201995,False
masses-deau-cours-deau-reunion-version-rapportage-2016,0.5196161,True
masses-deau-de-surface-plans-deau,0.5187687,True
troncons-elementaires-de-masse-deau-cours-deau-reunion-version-rapportage-2016,0.51836157,True
masses-deau-cours-deau-guyane-version-rapportage-2016,0.5182621,True
troncons-elementaires-de-masse-deau-cours-deau-guyane-version-rapportage-2016,0.51816136,True
troncons-elementaires-de-masse-deau-cours-deau-guadeloupe-version-rapportage-2016,0.5181174,True
masses-deau-cours-deau-metropole-version-rapportage-2016,0.5180792,True
troncons-elementaires-de-masse-deau-cours-deau-martinique-version-rapportage-2016,0.517979,True
troncons-elementaires-de-masse-deau-cours-deau-mayotte-version-rapportage-2016,0.5177068,True
cours-deau-classes-et-reserves-au-titre-de-larticle-l432-6-du-code-de-lenvironnement-en-correze-obsolete,0.51758593,False
