slug,score,in_gd4h
obligations-de-service-public,0.7786835,True
lexique-et-vocabulaire-dans-le-domaine-du-nucleaire-et-de-la-radioprotection,0.7240906,True
etablissements-recevant-du-public-sur-le-territoire-du-departement-du-rhone-et-de-la-metropole-de-lyon-erp,0.6586295,True
parcs-et-jardins-de-la-metropole-de-lyon,0.6043515,True
parcs-et-jardins-de-la-commune-de-saint-cyr-au-mont-dor,0.5746527,True
parcs-et-jardins-de-la-commune-de-saint-didier-au-mont-dor,0.574523,True
parcs-et-jardins-de-la-commune-de-caluire-et-cuire,0.57437235,True
parcs-et-jardins-de-la-commune-de-mions,0.5743228,True
parcs-et-jardins-de-la-commune-de-bron,0.574262,True
parcs-et-jardins-de-la-commune-de-champagne-au-mont-dor,0.5740746,True
parcs-et-jardins-de-la-commune-de-vaulx-en-velin,0.57402647,True
parcs-et-jardins-de-la-commune-de-saint-genis-laval,0.57393944,True
parcs-et-jardins-de-la-commune-de-neuville-sur-saone,0.5738803,True
parcs-et-jardins-de-la-commune-de-villeurbanne,0.5733849,True
parcs-et-jardins-de-la-commune-de-lyon,0.5725237,True
parcs-et-jardins-de-la-metropole-de-lyon-ponctuels,0.5624766,True
parcs-et-jardins-de-la-commune-de-saint-cyr-au-mont-dor-v1,0.5598212,True
parcs-et-jardins-de-la-commune-de-saint-didier-au-mont-dor-v1,0.559682,True
parcs-et-jardins-de-la-commune-de-mions-v1,0.5595284,True
parcs-et-jardins-de-la-commune-de-bron-v1,0.5594108,True
parcs-et-jardins-de-la-commune-de-champagne-au-mont-dor-v1,0.5592226,True
parcs-et-jardins-de-la-commune-de-vaulx-en-velin-v1,0.55918384,True
parcs-et-jardins-de-la-commune-de-saint-genis-laval-v1,0.5591348,True
parcs-et-jardins-de-la-commune-de-neuville-sur-saone-v1,0.5590539,True
parcs-et-jardins-de-la-commune-de-villeurbanne-v1,0.55866754,True
parcs-et-jardins-de-la-commune-de-lyon-v1,0.55821246,True
equipements-publics-de-la-commune-de-saint-didier-au-mont-dor,0.5570954,True
equipements-publics-de-la-commune-de-saint-cyr-au-mont-dor,0.55707157,True
equipements-publics-de-la-commune-de-pierre-benite,0.5568881,True
equipements-publics-de-la-commune-de-vaulx-en-velin,0.55676633,True
equipements-publics-de-la-commune-de-neuville-sur-saone,0.5567589,True
equipements-publics-de-la-commune-de-champagne-au-mont-dor,0.5567056,True
equipements-publics-de-la-commune-de-saint-didier-au-mont-dor-v1,0.55051297,True
equipements-publics-de-la-commune-de-vaulx-en-velin-v1,0.55018383,True
equipements-publics-de-la-commune-de-champagne-au-mont-dor-v1,0.5501226,True
parcs-et-jardins-de-la-commune-de-chassieu,0.5493914,True
reseau-dinitiative-publique-la-fibre-grand-lyon,0.5418749,True
liste-des-lieux-daccueil-labellises-de-la-metropole-de-lyon,0.5416571,True
balises-sonores-des-erp-de-la-metropole-de-lyon,0.5373584,True
etablissements-recevant-du-public-erp-sur-le-territoire-du-departement-du-rhone-et-de-la-metropole-de-lyon,0.5345057,True
segments-du-domaine-public-fluvial-dpf-metropole,0.5321622,True
bornes-a-compost-de-la-metropole-de-lyon,0.5300282,True
emprise-de-localisation-preferentielle-pour-equipement-du-plu-h-de-la-metropole-de-lyon,0.5278747,True
perimetres-contractuels-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.5153446,True
annuaire-pour-les-professionnels-de-solutions-de-reduction-et-gestion-des-dechets-de-la-metropole-de-lyon,0.51064515,True
arbres-dalignement-de-la-metropole-de-lyon,0.50809145,True
previsions-de-travaux-sur-la-metropole-de-lyon,0.504094,True
emplois-et-salaires-dans-le-secteur-hospitalier-en-2012,0.5016265,True
consommation-annuelle-finale-francaise-delectricite-par-typologie-de-consommateurs-2015-a-2021,0.49706322,True
stations-gnv-publiques-en-france,0.49329454,True
emprises-de-localisation-preferentielle-pour-equipement-de-la-metropole-de-lyon,0.48740828,True
calculateur-ditineraires-multimodaux-de-la-metropole-de-lyon-12,0.48470217,True
calculateur-ditineraires-multimodaux-de-la-metropole-de-lyon-11,0.48470217,True
calculateur-ditineraires-multimodaux-de-la-metropole-de-lyon,0.48470217,True
hospitalisation-de-court-sejour-evolution-des-parts-de-marche,0.4832481,True
silos-a-verre-de-la-metropole-de-lyon,0.477817,True
marche-public-de-la-metropole-de-lyon,0.47701275,True
consommation-finale-corrigee-par-secteur-dactivite-2006-a-2021,0.4735251,True
numeros-demplacements-reserves-du-plu-de-la-metropole-de-lyon,0.4728625,True
zones-de-chalandise-des-espaces-info-energie,0.47264713,True
fontaines-deau-potable-de-la-metropole-de-lyon,0.4667094,True
silos-dordures-menageres-de-la-metropole-de-lyon,0.46368176,True
numero-associe-aux-equipements-reseaux-emplacements-reserves-du-plu-h-de-la-metropole-de-lyon,0.46200734,True
annuaire-alimentation-et-precarite-etudiante-dans-la-metropole-de-lyon,0.45669028,True
lieux-surfaciques-de-la-metropole-de-lyon,0.45628086,True
urgences-hospitalieres-en-2013-des-organisations-differentes-selon-le-niveau-dactivite,0.4557873,True
etablissements-daccueil-ou-dhebergement-pour-personnes-agees-de-la-metropole-de-lyon,0.45312065,True
ecosysteme-entrepreneuriat-de-la-metropole-de-lyon,0.4516519,True
lignes-pedibus-de-la-metropole-de-lyon,0.45159703,True
silos-de-collecte-selective-de-la-metropole-de-lyon,0.45052174,True
etablissements-denseignement-artistique-de-la-metropole-de-lyon,0.44957477,True
collecte-des-bouteilles-a-la-metropole-de-lyon,0.44920206,True
emplacements-reserves-du-plu-de-la-metropole-de-lyon,0.4478926,True
service-public-deau-potable-de-la-metropole-de-lyon,0.44729826,True
parkings-de-la-metropole-de-lyon-disponibilites-temps-reel,0.4421426,True
sites-de-prelevements-pour-les-tests-covid,0.44189727,True
maisons-de-la-metropole-de-lyon,0.43956938,True
etablissements-denseignement-artistique-de-la-metropole-de-lyon-point-dinteret,0.43817362,True
marches-publics-de-la-metropole-de-lyon,0.43764237,True
resultats-des-controles-officiels-sanitaires-dispositif-dinformation-alimconfiance,0.43556124,True
transformateurs-de-tension-electrique-htb-strasbourg-electricite-reseaux,0.43112582,True
equipements-hospitaliers-de-la-metropole-de-lyon,0.427383,True
supports-du-reseau-electrique-htb-strasbourg-electricite-reseaux-1,0.4273783,True
enceintes-de-postes-electriques-htb-strasbourg-electricite-reseaux-1,0.42736393,True
postes-electriques-htb-strasbourg-electricite-reseaux-1,0.4268992,True
effectifs-salaries-hospitaliers-series-longues,0.4260705,True
parcs-relais-du-reseau-transports-en-commun-lyonnais,0.42497137,True
sinoe-r-chiffres-cles-oma-2009-2017,0.42484778,True
marches-publics-de-caluire-et-cuire,0.42381838,True
marches-publics-de-dardilly,0.42358425,True
donnees-rtm-dispositifs,0.4233025,True
equipements-hospitaliers-de-la-metropole-de-lyon-point-dinteret,0.4192282,True
points-davitaillement-gnv-publiques-en-france-1,0.41856495,True
travaux-engages-sur-la-metropole-de-lyon,0.41835105,True
etablissements-denseignement-superieur-de-la-metropole-de-lyon-point-dinteret,0.41764253,True
la-liste-des-etablissements-publics-d-enseignement-technique-de-l-enseignement-agricole-a-l-30378774,0.4175953,True
etablissements-denseignement-superieur-de-la-metropole-de-lyon,0.41756704,True
indemnites-des-elus-de-la-metropole-de-lyon,0.4168378,True
lignes-electriques-aeriennes-htb-strasbourg-electricite-reseaux-1,0.41590655,True
donnees-radiomaritimes,0.41522282,True
prescription-relative-au-patrimoine-vegetal-et-bati-espace-boise-classe-du-plu-de-la-metropole-de-lyon,0.41480756,True
le-panorama-des-etablissements-de-sante-edition-2014,0.41480374,True
annuaire-pour-les-consommateurs-de-solutions-de-reduction-des-dechets-et-deconomie-circulaire-de-la-metropole-de-lyon-deprecie,0.41382098,True
bornes-de-recharge-pour-vehicules-electriques-3,0.4131017,True
secteurs-des-colleges-de-la-metropole-de-lyon,0.41297483,True
initiatives-et-services-utiles-aux-citoyens-de-la-metropole-de-lyon-durant-la-periode-detat-durgence-sanitaire-covid19,0.41269383,True
annuaire-pour-les-consommateurs-de-solutions-de-reduction-des-dechets-et-deconomie-circulaire-de-la-metropole-de-lyon,0.41216806,True
sentiers-nature-de-la-metropole-de-lyon,0.41130185,True
loffre-daccueil-du-jeune-enfant,0.4108804,True
acces-a-lhebergement-dans-la-metropole-de-lyon,0.41002178,True
acteurs-de-leconomie-sociale-et-solidaire-de-la-metropole-de-lyon,0.40963432,True
la-liste-des-etablissements-publics-d-enseignement-technique-de-l-enseignement-agricole-a-la--572714,0.40959936,True
arrets-pedibus-de-la-metropole-de-lyon,0.4095549,True
historique-des-travaux-sur-la-metropole-de-lyon,0.40845734,True
rep-gf-liste-des-operateurs-attestes-1,0.40705514,True
agreste-entreprises-agroalimentaires-echanges-exterieurs,0.4068029,True
rep-gf-liste-des-operateurs-attestes,0.40651137,True
donnees-rtm-ouvrages,0.40648732,True
horaires-theoriques-du-service-rhonexpress-de-la-metropole-de-lyon-et-du-departement-du-rhone,0.40617734,True
