slug,score,in_gd4h
etablissement-recevant-du-public-a-plerin,0.9317749,False
marche-public,0.8775284,False
eclairage-public-poste-1,0.8642018,False
eclairage-public-regard-1,0.861765,False
renovation-ep,0.8124634,False
parkings-public-blagnac,0.799442,False
etablissements-de-service-public,0.78987575,False
vensac-vacances,0.7875124,False
acheteur-public,0.78576684,False
profil-acheteur-public,0.779611,False
obligations-de-service-public,0.7786835,True
profil-acheteur-achat-public,0.77626026,False
registre-public-daccessibilite-faisabilite,0.77485895,False
etablissement-public-national-antoine-koenigswarter,0.7514953,False
eclairage-public-poteau-beton-1,0.7501304,False
defibrillateurs-19,0.74910855,False
defibrillateurs-14,0.74910855,False
relation-batiment-et-equipement,0.74878883,False
mobilier-urbain-banc-public-1,0.7452509,False
erp-etablissements-recevant-du-public1,0.74225605,False
isiohm-irve,0.7388979,False
chi-caux-vallee-de-seine-1,0.73412645,False
patrimoine-public-et-prive-de-la-ville,0.7329771,False
zones-dextinction-de-leclairage-public-a-antibes-juan-les-pins,0.7321842,False
donnees-essentielles-des-delegations-de-service-public,0.7253899,False
lexique-et-vocabulaire-dans-le-domaine-du-nucleaire-et-de-la-radioprotection,0.7240906,True
accessibilite-aux-etablissements-recevant-du-public,0.72405523,False
cad-5-engagement-ou-versements-bruts-bilateraux-du-secteur-public-francais,0.7224169,False
etablissements-recevant-du-public-geres-par-la-ville-de-chambery,0.720714,False
public-from-admin-manty-eu-1,0.71899855,False
public-from-admin-manty-eu,0.71899855,False
bibliotheques-de-la-defense-ouvertes-au-public-30382580,0.7161006,False
point-leve-ouvrage-du-reseau-declairage-public-de-bordeaux-metropole,0.7151147,False
emplacement-2-roues-motorises-sans-arceaux-a-bordeaux,0.71356815,False
eclairage-public-reseau-sur-facade-1,0.71264106,False
localisation-des-defibrillateurs-colomiers,0.7071475,False
sanitaires-publics-a-saint-nazaire,0.70699096,False
etablissements-recevant-du-public-geres-par-grand-chambery,0.70234585,False
eclairage-public-de-la-commune-dalata,0.70020485,False
eclairage-public-de-la-commune-de-sarrola-carcopino,0.700039,False
eclairage-public-de-la-commune-de-valle-di-mezzana,0.69988453,False
eclairage-public-de-la-commune-de-cuttoli-corticchiato,0.6998331,False
eclairage-public-de-la-commune-de-tavaco,0.6997371,False
eclairage-public-de-la-commune-de-peri,0.69967556,False
eclairage-public-de-la-commune-de-villanova,0.69964635,False
eclairage-public-de-la-commune-dappietto,0.6994249,False
eclairage-public-de-la-commune-dafa,0.69936514,False
wc-public-2,0.6974635,False
registre-legal-cnil-etablissement-public-du-capitole,0.6968413,False
reseau-declairage-public,0.69566226,False
diffusion-presse-grand-public-nd,0.69404304,False
diffusion-presse-grand-public,0.69404304,False
frequentation-du-musee-de-la-corse-par-public-cors,0.69401217,False
equipement-public-de-la-cub1,0.6896308,False
fr-200052264-gge-erp-ge-4,0.6893112,False
domaine-metier-du-reseau-sec-de-leclairage-public-de-bordeaux-metropole,0.6881937,False
arceaux-deux-roues-bordeaux-metropole,0.6880491,False
armoires-de-distribution-electrique-dediees-a-leclairage-public,0.6875841,False
points-lumineux-eclairage-public,0.68522996,False
etablissement-erp-par-categories,0.6826276,False
zones-disposant-dun-acces-wifi,0.68216366,False
les-colleges-public-prive-de-roubaix,0.6818119,False
bornes-avec-acces-public-newmotion-fr,0.68086934,False
parc-des-prealpes-dazur-eclairage-public,0.6779754,False
reseau-declairage-public-ccpop,0.67710257,False
mises-en-oeuvre-grand-public-des-valorisations-de-donnees,0.67673886,False
donnee-essentielle-marche-public-test-1,0.6757965,False
donnee-essentielle-marche-public-test,0.6757965,False
frequentation-du-grand-public-a-la-maison-de-la-nature-et-de-larbre,0.67553186,False
e-p-l-e-f-p-a-de-haute-correze,0.67510426,False
corbeilles-sur-le-domaine-public,0.67463017,False
electro-mob-farman,0.67102194,False
liste-des-wc-publics-accessibles-a-tous-public,0.66959226,False
pratiques-cinematographiques,0.66847634,False
partenariat-eclairage-public-communication-ra-2019-1,0.6672803,False
etablissements-publics-fonciers-auvergne-rhone-alpes-1,0.6663888,False
toilettes-publiques-de-la-ville-de-bordeaux1,0.66092753,False
la-roche-posay-camping,0.65864575,False
etablissements-recevant-du-public-sur-le-territoire-du-departement-du-rhone-et-de-la-metropole-de-lyon-erp,0.6586295,True
equipement-public,0.658371,False
liste-des-bornes-de-recharge-ouvertes-au-public-1,0.65807855,False
repertoire-des-debats-et-consultations-publics-vie-publique-fr,0.6573504,False
perimetre-unesco-1,0.6547894,False
sanitaires-publics-exterieurs-ville-de-clermont-ferrand,0.652357,False
eclairage-public-de-paris-donnees-geographiques-idf,0.65215224,False
localisation-des-defibrillateurs-toulouse,0.6516366,False
domaine-public-fluvial-de-maine-et-loire,0.6511507,False
etablissements-et-lieux-publics-accueillant-du-grand-public,0.6506603,False
donnees-gtfs-du-reseau-de-transports-public-du-grand-cahors,0.6503959,False
batiments-ouverts-au-public,0.64931,False
secteur-scolaire-denseignement-elementaire-public-2,0.64764863,False
batiment-public1,0.64645374,False
equipement-public-culturel-3,0.6457865,False
bassins-pluviaux-a-acces-public,0.6454892,False
luminaires-declairage-public-de-nantes-metropole,0.6454133,False
borne-dacces,0.6443081,False
etablissements-recevant-du-public-pour-laccessibilte,0.6409617,False
historique-chantiers-a-paris-en-2019,0.6359687,False
composteur-partage,0.6357771,False
bd-equipements-2020-c-topos-administration-service-public-orleans-metropole,0.6356631,False
historique-chantiers-a-paris-en-2020,0.63277555,False
referentiel-geographique-equipements-dinteret-public-grand-poitiers-donnees-de-reference,0.63216007,False
cartographie-des-etablissements-recevant-du-public,0.63099515,False
toilettes-publiques-4,0.6303129,False
historique-chantiers-a-paris-en-2021,0.6293281,False
liste-des-etablissements-recevant-du-public-erp-sur-le-territoire-de-grand-paris-sud-est-avenir-en-2022,0.62870246,False
frequentation-de-la-patinoire-de-grand-chambery,0.6286988,False
contour-parkings-public-blagnac,0.6286666,False
historique-chantiers-a-paris-en-2022,0.62526596,False
emprises-du-domaine-public,0.6247058,False
points-lumineux-du-reseau-declairage-public-sur-mulhouse,0.62439454,False
public-selon-les-categories-detablissements-cinematographiques,0.62317514,False
