slug,score,in_gd4h
points-cotes-au-sol-3d-de-la-metropole-de-lyon,0.44635573,True
prescriptions-relatives-a-laffectation-des-sols-richesse-du-sol-et-sous-sol-du-plu-h-de-la-metropole-de-lyon,0.4223105,True
ilots-zones-du-plu-de-la-metropole-de-lyon,0.4217781,True
donnees-mensuelles-dindice-dhumidite-des-sols-pour-le-dispositif-catastrophes-naturelles,0.40605438,True
zone-du-plu-h-de-la-metropole-de-lyon,0.3895055,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.38668793,True
surfaces-bathyelli-v2-1,0.38654888,True
contextes-piscicoles-metropole,0.38531935,True
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.378129,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.37136307,True
temperatures-de-surface-en-juillet-2015-de-la-metropole-de-lyon-jour,0.36516422,True
temperatures-de-surface-en-avril-2011-de-la-metropole-de-lyon-nuit,0.36389446,True
temperatures-de-surface-en-avril-2011-de-la-metropole-de-lyon-jour,0.36190376,True
zones-a-dominante-humide-adour-garonne,0.3607989,True
classification-des-espaces-vegetalises-et-artificialises-production-corine-land-cover-pour-la-metropole-de-lyon-ortho-2015,0.35987547,True
taux-detagement-de-fractionnement-et-densite-douvrages-des-masses-deau-en-loire-bretagne,0.35756588,True
agreste-prix-du-bois,0.3567325,True
historique-detaille-des-surfaces-cheptels-et-nombre-doperateurs-par-departement,0.35487682,True
disposition-particuliere-aux-activites-economiques-axe-tertiaire-alignement-de-bureaux-du-plu-de-la-metropole-de-lyon,0.35472652,True
taux-detagement-de-fractionnement-et-densite-douvrages-en-france-metropolitaine,0.35382012,True
prevention-des-risques-dinondation-par-ruissellement-axe-decoulement-du-plu-h-de-la-metropole-de-lyon,0.3525396,True
mnt-topo-bathymetrique-cotier-du-port-de-saint-malo-et-ses-abords,0.35159147,True
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.35136372,True
hauteur-sur-voie-du-plu-de-la-metropole-de-lyon,0.3501501,True
troncons-hydrographiques-metropole-2017-bd-carthage,0.34649447,True
limite-terre-mer,0.34611624,True
troncons-hydrographiques-metropole-2016-bd-carthage,0.346076,True
troncons-hydrographiques-elementaires-reunion-2012-bd-carthage,0.34550542,True
troncons-hydrographiques-guadeloupe-2009-bd-carthage,0.344849,True
carte-des-temperatures-de-surface-2015-de-la-metropole-de-lyon,0.34473556,True
indice-poisson-riviere-ipr,0.34289715,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-du-rhone,0.34180948,True
troncons-hydrographiques-elementaires-mayotte-2013-bd-carthage,0.3414305,True
classification-2015-des-espaces-vegetalises-et-artificialises-des-communes-de-la-metropole-de-lyon,0.3403986,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-loire,0.3394335,True
toits-sur-toits-3d-2015-du-bati-de-la-metropole-de-lyon,0.33942488,True
plans-deau-metropole-2017-bd-carthage,0.33895302,True
plans-deau-metropole-2016-bd-carthage,0.33875066,True
perimetre-de-prevention-des-risques-dinondation-par-ruissellement-perimetre-de-production-et-perimetres-decoulement-accumulation-du-plu-h-de-la-metropole-de-lyon,0.3384373,True
plans-deau-reunion-2012-bd-carthage,0.3379035,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-lain,0.33759815,True
cours-deau-martinique-2004-bd-carthage,0.33745378,True
entites-hydrographiques-de-surface-guadeloupe-2009-bd-carthage,0.33728045,True
cours-deau-guadeloupe-2009-bd-carthage,0.3372562,True
entites-hydrographiques-de-surface-reunion-2012-bd-carthage,0.3369556,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-savoie,0.33687714,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-haute-savoie,0.33675188,True
plans-deau-mayotte-2013-bd-carthage,0.33674037,True
cours-deau-guyane-2015-bd-carthage,0.3366822,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-lisere,0.33647427,True
cours-deau-reunion-2012-bd-carthage,0.33613107,True
mnt-topo-bathymetrique-cotier-dune-partie-du-golfe-normand-breton,0.33606648,True
cours-deau-mayotte-2013-bd-carthage,0.33538046,True
entites-hydrographiques-de-surface-mayotte-2013-bd-carthage,0.33499184,True
cours-deau-metropole-2017-bd-carthage,0.33390152,True
cours-deau-metropole-2016-bd-carthage,0.33370227,True
indicateur-de-sensibilite-des-masses-deau-souterraine-regions-bretagne-et-pays-de-la-loire,0.332398,True
occupation-des-sols-a-grande-echelle-par-teledetection-2011-departement-de-la-drome,0.32964844,True
viandes-de-gibier-sauvage-wild-game-meat,0.32889616,True
station-qualite-cours-deau-etat-polluants-specifiques-2007,0.328525,True
station-qualite-cours-deau-etat-polluants-specifiques-2012-2013,0.32721227,True
doe-dcr-points-nodaux-du-sdage-2010-2015,0.3270954,True
station-qualite-cours-deau-etat-polluants-specifiques-2010-2011,0.32702416,True
station-qualite-cours-deau-etat-polluants-specifiques-2008,0.32695365,True
station-qualite-cours-deau-etat-polluants-specifiques-2009-2010,0.3269446,True
station-qualite-cours-deau-etat-polluants-specifiques-2011-2012,0.3267232,True
station-qualite-cours-deau-etat-polluants-specifiques-2009,0.3266626,True
station-qualite-cours-deau-etat-polluants-specifiques-2014-2016,0.326627,True
lidar-hd,0.32654828,True
station-qualite-cours-deau-etat-polluants-specifiques-2011-2013,0.32653713,True
station-qualite-cours-deau-etat-polluants-specifiques-2013-2015,0.32644093,True
disposition-particuliere-aux-activites-economiques-richesse-du-sol-et-sous-sol-du-plu-de-la-metropole-de-lyon,0.32638168,True
station-qualite-cours-deau-etat-polluants-specifiques-2012-2014,0.3262171,True
station-qualite-cours-deau-etat-chimique-2007,0.32556581,True
unites-hydrographiques-de-reference-uhr,0.32549447,True
trait-de-cote-haute-resolution-1,0.32525003,True
station-qualite-cours-deau-etat-biologique-2012-2013,0.32470262,True
station-qualite-cours-deau-etat-biologique-2008-2009,0.32453936,True
station-qualite-cours-deau-etat-biologique-2010-2011,0.3245343,True
station-qualite-cours-deau-etat-biologique-2009-2010,0.32444045,True
ouvrages-de-prelevement-guyane,0.32442105,True
ouvrages-de-prelevement-guadeloupe,0.3243698,True
ouvrages-de-prelevement-martinique,0.32430688,True
station-qualite-eaux-souterraines-controle-operationnel-sambre,0.3242697,True
station-qualite-cours-deau-etat-biologique-2006-2007,0.32423097,True
station-qualite-cours-deau-etat-ecologique-2012-2013,0.3241797,True
ouvrages-de-prelevement-reunion,0.32417855,True
station-qualite-cours-deau-etat-biologique-2007-2008,0.32417417,True
station-qualite-cours-deau-etat-biologique-2014-2016,0.32407984,True
station-qualite-cours-deau-etat-ecologique-2011-2012,0.3240638,True
ouvrages-de-prelevement-mayotte,0.32401663,True
station-qualite-cours-deau-etat-ecologique-2008-2009,0.32400644,True
station-qualite-cours-deau-etat-ecologique-2010-2011,0.32400203,True
station-qualite-cours-deau-etat-biologique-2011-2013,0.3239887,True
station-qualite-eaux-souterraines-controle-operationnel-escaut,0.32390854,True
station-qualite-cours-deau-etat-ecologique-2009-2010,0.3239042,True
station-qualite-cours-deau-etat-biologique-2013-2015,0.32389235,True
station-qualite-cours-deau-etat-ecologique-2006-2007,0.32369497,True
station-qualite-cours-deau-etat-ecologique-2007-2008,0.32363844,True
station-qualite-cours-deau-etat-ecologique-2014-2016,0.3235444,True
station-qualite-cours-deau-etat-ecologique-2011-2013,0.3234576,True
station-qualite-cours-deau-etat-ecologique-2013-2015,0.32335484,True
ouvrages-de-prelevement-metropole,0.32331902,True
ouvrages-de-prelevement-france-entiere,0.32324356,True
station-qualite-cours-deau-etat-biologique-2011-2012,0.32287613,True
station-qualite-cours-deau-etat-chimique-2011,0.32281256,True
station-qualite-eaux-souterraines-surveillance-etat-chimique-sambre,0.32089314,True
rapportage-directive-cadre-sur-leau-2010-syntheses-des-etats-et-objectifs-des-masses-deau-niveaux-de-confiance-criteres-dexemption-par-bassin-dce-et-pour-la-france-entiere,0.3207586,True
station-qualite-eaux-souterraines-surveillance-etat-chimique-escaut,0.3205573,True
station-qualite-cours-deau-etat-chimique-2014,0.31998804,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-letat-ecologique-et-chimique-des-masses-deau-de-surface-par-bassin-dce,0.3193814,True
perimetres-de-risque-et-polarite-commerciale-du-plu-de-la-metropole-de-lyon,0.31931952,True
representation-surfacique-des-masses-deau-cours-deau,0.31914818,True
morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur,0.319104,True
cours-deau-en-tres-bon-etat-sdage-2016-2021,0.31883264,True
aac-prioritaires-adour-garonne,0.3187701,True
station-qualite-cours-deau-etat-physico-chimique-2012-2013,0.3187043,True
station-qualite-cours-deau-etat-physico-chimique-2011-2012,0.3185867,True
station-qualite-cours-deau-etat-physico-chimique-2010-2011,0.31852373,True
station-qualite-cours-deau-etat-physico-chimique-2008-2009,0.31851608,True
plans-deau-guadeloupe-2009-bd-carthage,0.31845838,True
station-qualite-cours-deau-etat-physico-chimique-2009-2010,0.31841898,True
station-qualite-cours-deau-etat-physico-chimique-2006-2007,0.31822202,True
station-qualite-cours-deau-etat-physico-chimique-2007-2008,0.31816638,True
station-qualite-cours-deau-etat-physico-chimique-2014-2016,0.3180834,True
resultat-des-peches-electriques,0.31803423,True
station-qualite-cours-deau-etat-physico-chimique-2011-2013,0.31799245,True
station-qualite-cours-deau-etat-physico-chimique-2013-2015,0.3179014,True
prescription-relative-a-limplantation-des-batiments-obligation-ou-non-de-continuite-du-plu-de-la-metropole-de-lyon,0.31786007,True
mnt-topo-bathymetrique-cotier-des-pertuis-charentais-projet-homonim,0.31774694,True
masses-deau-cours-deau,0.31755042,True
bd-foret-r,0.3170039,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-letat-quantitatif-des-masses-deau-souterraines-par-bassin-dce,0.3161929,True
rge-alti,0.31610295,True
classes-detat-des-chaussees-du-reseau-routier-national-non-concede-a-partir-de-2019,0.3159445,True
plans-deau-importants-de-la-metropole-de-lyon,0.31570214,True
liste-des-ateliers-de-decoupe-de-viandes-d-animaux-de-boucherie-agrees-ce-meat-of-domestic--30379170,0.31542677,True
11eme-programme-matieres-en-suspension-priorite-1,0.31536952,True
11eme-programme-matieres-en-suspension-priorite-2,0.31536952,True
mnt-bathymetrique-de-facade-de-tahiti-et-moorea-projet-meteo-france,0.3153568,True
occupation-des-sols-a-grande-echelle-par-teledetection-lot-test-tarentaise-vanoise,0.3150311,True
mollusques-bivalves-vivants-live-bivalve-molluscs,0.3144323,True
cotation-des-polygones-dimplantation-sur-les-plans-masse-du-plu-de-la-metropole-de-lyon,0.31440037,True
liste-des-abattoirs-de-gibier-d-elevage-agrees-ce-meat-of-farmed-game-saulghterhouse-30378883,0.3137219,True
ind12-1-nombre-de-personnes-en-habitat-leger-campings-prl-et-aires-des-gens-du-voyage-dans-des-zones-inondables-2019,0.31360912,True
obstacles-a-lecoulement-france-entiere,0.3134158,True
obstacles-a-lecoulement-metropole,0.31326663,True
masses-deau-cours-deau-guadeloupe-version-rapportage-2010,0.31303108,True
masses-deau-cours-deau-martinique-version-rapportage-2010,0.31283623,True
