slug,score,in_gd4h
hotel-mar-i-sol,0.5436964,False
parc-de-camargue-occupation-du-sol-1970,0.5138267,False
parc-de-camargue-occupation-du-sol-1942,0.5120658,False
parc-de-camargue-occupation-du-sol-2011,0.49721318,False
occupation-du-sol-1995-2005,0.48500732,False
occupation-du-sol-1999-2006-ex-lr,0.47227675,False
parc-de-camargue-topographie,0.4716258,False
sync8a479bd-fr-dlva-mosge-1999,0.46234572,False
mode-doccupation-du-sol-historique-annee-1955,0.46006173,False
fr-246800726-1813,0.4588588,False
mode-doccupation-du-sol-historique-annee-1985,0.45817184,False
mode-doccupation-du-sol-historique-annee-1973,0.45785856,False
parc-de-camargue-occupation-du-sol-2016,0.45750362,False
mode-doccupation-du-sol-historique-annee-2001,0.45468906,False
occupation-du-sol-1998-nord-pas-de-calais,0.45405954,False
fr-246800726-1814,0.45211783,False
mode-doccupation-du-sol-mos-paa-2018-1,0.44896418,False
mode-doccupation-du-sol-mos-paa-2018,0.44896418,False
evolutions-du-mode-doccupation-du-sol-mos-paa-2010-2018-1,0.44789675,False
evolutions-du-mode-doccupation-du-sol-mos-paa-2010-2018,0.44789675,False
sync95a6c98-mode-doccupation-du-sol-mos-dlva-2015,0.44711712,False
points-cotes-au-sol-3d-de-la-metropole-de-lyon,0.44635573,True
parc-du-verdon-occupation-du-sol-harmonisee-sur-le-perimetre-classe-pnr-2014-2015,0.44561827,False
mode-doccupation-du-sol-historique-annee-2011,0.44317925,False
sync459c6a1-fr-dlva-mosge-2010,0.44235897,False
mode-doccupation-du-sol-mos-paa-2010,0.4409189,False
mode-doccupation-du-sol-mos-p2a-2010,0.4409189,False
parc-de-camargue-occupation-du-sol-1991,0.4390951,False
occupation-du-sol-hauts-de-france-2009-2010,0.43898293,False
parc-de-camargue-occupation-du-sol-2006,0.4366806,False
sync07aab86-fr-dlva-mosge-99-10,0.43662357,False
occupation-du-sol-sur-le-departement-de-lardeche-annee-1979,0.43476468,False
mobiliers-et-emprises-au-sol-de-signalisation-routiere-et-pietonne-donnees-geographiques-prs,0.4346979,False
erosion-cotiere-lorient-agglomeration-1,0.43306375,False
occupation-du-sol-sur-le-departement-de-lardeche-annee-1991,0.4323021,False
occupation-du-sol-sur-le-departement-de-lardeche-annee-1986,0.43177116,False
occupation-du-sol-sur-le-departement-de-lardeche-annee-1997,0.4313052,False
occupation-du-sol-sur-le-departement-de-lardeche-annee-2007,0.43115762,False
occupation-du-sol-sur-le-departement-de-lardeche-annee-2002,0.43064278,False
cartographie-de-loccupation-du-sol-oso,0.42999285,False
parc-de-camargue-occupation-du-sol-2001,0.42991385,False
cartes-numeriques-de-proprietes-des-sols-en-languedoc-roussillon,0.42893744,False
occupation-du-sol-de-1992-dans-la-somme,0.4285783,False
parcs-eoliens-en-bourgogne-franche-comte-1,0.42799273,False
parc-du-verdon-changements-doccupation-du-sol-1998-2000-et-2014-2015,0.42668402,False
occupation-du-sol-etat-major-de-1860,0.42516738,False
occupation-du-sol-1990-nord-pas-de-calais,0.42499363,False
nomenclature-ocs-1,0.424956,False
surfaces-minerales-du-jardin-du-thabor,0.42428815,False
azi-cours-deau-cotiers-unites-hydrogeomorphologiques-en-loire-atlantique,0.4236,False
base-de-donnees-cartographique-vectorielle,0.42338157,False
prescriptions-relatives-a-laffectation-des-sols-richesse-du-sol-et-sous-sol-du-plu-h-de-la-metropole-de-lyon,0.4223105,True
ilots-zones-du-plu-de-la-metropole-de-lyon,0.4217781,True
plan-doccupation-du-sol-1979,0.41976577,False
fr-236700019-carte-sig-env-3441-ocs-scot-rhin-vignoble-grand-ballon-niv2-9,0.41932172,False
