slug,score,in_gd4h
euroglobalmap-donnees-topographiques-au-1-1-000-000-couvrant-45-pays-et-territoires-en-europe,0.58312654,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest,0.5391367,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2020,0.5370643,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2018,0.5344174,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2019,0.5341388,True
evolution-quotidienne-des-stocks-de-gnl-des-principaux-terminaux-methaniers-en-france,0.5320256,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-12-2022-2,0.53044844,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-12-2021-1,0.5300925,True
vaccinations-attitudes-et-pratiques-des-medecins-generalistes,0.52631056,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-30-09-2023,0.5252446,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-31-decembre-2017,0.523799,True
dpe-logements-avant-juillet-2021,0.52051604,True
viandes-hachees-preparation-de-viandes-et-viandes-separees-mecaniquement-vsm-minced-meat-meat-preparations-and-mechanically-separated-meat,0.5181213,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord-en-2020,0.51793206,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord,0.5161553,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-cwe-europe-du-centre-ouest,0.5160282,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest-en-2020,0.5159724,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest-en-2020,0.51581645,True
mnt-bathymetrique-de-facade-de-lile-de-la-passion-clipperton,0.5154032,True
rastermarine-sur-la-zone-iroise,0.5146475,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest,0.50793254,True
graisses-animales-fondues-et-cretons-rendered-animal-fats-and-greaves,0.50658417,True
mnt-topo-bathymetrique-cotier-de-lile-de-la-passion-clipperton,0.5055324,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord-en-2021,0.49844193,True
mollusques-bivalves-vivants-live-bivalve-molluscs,0.49124622,True
