slug,score,in_gd4h
nausicaa-medical,0.64955807,False
omissy-dechetterie-orthomosaique-2,0.63662803,False
harly-20201130-impasse-bourgignon-orthomosaic-2,0.63467515,False
sonepar-connect,0.62786996,False
montescourt-20190117-dtm-hillshade-2,0.6268848,False
filibus-periurbain,0.6263164,False
montescourt-20190117-dsm-hillshade-2,0.6094923,False
clastres-vol2-orthomosaic-orthomosaic-2,0.6056359,False
judi-online,0.60247505,False
cma-cgm,0.6017777,False
enquete-od,0.5999481,False
gauchy-gambetta-20191103-orthomosaique-4,0.5949775,False
gauchy-gambetta-20191103-orthomosaique-5,0.5949775,False
9a10691f-3e21-49da-a69c-fb6967112ef3-uuid,0.5843167,False
sarl-calmus,0.58327353,False
euroglobalmap-donnees-topographiques-au-1-1-000-000-couvrant-45-pays-et-territoires-en-europe,0.58312654,True
gip-bihan,0.5815425,False
clastres-vol2-dsm-hillshade-2,0.5804132,False
numerotation-lieudits-saint-thurien,0.5767768,False
premiere-guerre-mondiale-les-poilus-morts-pour-la-france-a-completer,0.57260954,False
64c456a3-1fb0-46e9-8ca2-064f6eb972d0-uuid,0.56870675,False
clastres-vol2-mns-dsm-hillshade-2,0.56520605,False
omissy-survol-dechetterie-3,0.5637597,False
787c95d7-c458-417c-aae2-72d10ac43d80-uuid,0.56193244,False
c2eac45c-5351-43bf-a4bd-579b7f8b8278-uuid,0.5606674,False
3c06f118-6523-48f8-a202-8c91b333ed17-uuid,0.56002015,False
les-colleges-en-gironde-dans-openstreetmap-2,0.55971456,False
les-colleges-en-gironde-dans-openstreetmap-1,0.55971456,False
les-colleges-en-gironde-dans-openstreetmap,0.55971456,False
actualites-du-20-10-2020-osor-knowledge-centre-eng-fiche-sommaire-avec-traduction-des-intertitres-deposee-le-22-10-2020,0.5592836,False
formation-2013-iris-m2a,0.55898035,False
ea52a0cb-35a6-4859-b31d-cd8be5586e43-uuid,0.5585428,False
c6c2f255-234f-424a-b271-daaf233ed81c-uuid,0.5585185,False
34551065-a1dd-4a5b-a9d6-d12af034e0d9-uuid,0.5576424,False
55f0246a-0db9-401e-9fcd-d7c980e961da-uuid,0.5569663,False
natixis-im-focus-retraite-epargne-retraite,0.5565464,False
memoires-a-venir-2014-1,0.55625725,False
c2023-sbep-075,0.5535455,False
235c93fd-f69b-4798-9a73-f9b74e4f6255-uuid,0.5511626,False
23efcc0c-10bd-4b19-be68-48b3f53b6209-uuid,0.55041236,False
45e30f05-2587-423d-af36-3d87ef557f73-uuid,0.54995036,False
c0aeee0d-9686-45d1-add9-cdaa8846ad35-uuid,0.5497796,False
2b0e4957-9785-478d-a549-04252f1f9604-uuid,0.54837716,False
7b09e78e-9ac7-490d-9612-dcd2947939ad-uuid,0.5460347,False
part-des-vehicules-a-faibles-emissions-dans-le-renouvellement-dun-parc-4,0.5455366,False
be77ee67-762a-435a-bd0f-efb027eaae6d-uuid,0.54437006,False
58e83a18-e1a5-404f-b324-8008d4f6f6ce-uuid,0.5442913,False
7ed84b30-1ca6-45cd-840f-d7bbf78833c9-uuid,0.54412675,False
50f7fc0d-0ff1-4b45-9a69-5b94fceb15f4-uuid,0.54319143,False
7cf00da4-8083-4097-b828-637b18877b88-uuid,0.54314077,False
comparaisons-internationales-pib-nominal-30382552,0.54311585,False
fe5e4bb4-db99-4865-999e-4d167270bd1a-uuid,0.54289776,False
36373b1e-75fe-4f2a-82f5-ed5c52019053-uuid,0.5426855,False
e5857009-5963-4f59-b967-51d805ca7235-uuid,0.54264677,False
5f2e52a4-883e-410b-a2db-a93c12ffb66c-uuid,0.5423119,False
297aa53e-caf2-4c22-af64-213a2c9d0d37-uuid,0.5421605,False
9bc9884d-68d1-4201-890f-02600d8a41ad-uuid,0.5420953,False
2d5d3090-abf8-492c-9312-3a005d30ad7b-uuid,0.54199207,False
2ec56c02-9213-4ee5-b602-f60a61ba9995-uuid,0.5419314,False
ac2696ab-a170-4d28-938e-aa06e72de147-uuid,0.5418935,False
fffaea4a-fe0a-4a68-96b3-0721f31d10f2-uuid,0.54159087,False
347708f8-9378-4d05-99fc-bfefd1cf3cbc-uuid,0.541578,False
9f7a8088-f741-4e29-90d6-fdf3535d2c98-uuid,0.5412893,False
8178d937-307a-476a-9c65-1bc70e84f4fa-uuid,0.5412624,False
64ac9300-ece6-4945-a936-28dddebd1f52-uuid,0.540753,False
48d5f681-eb1c-42bd-b0e1-e38bca8384c3-uuid,0.54045373,False
989d8556-4214-4ce4-bf7e-a1e2775e3d17-uuid,0.5404438,False
ca8fea97-55cd-4408-a4f6-0f8b917fe109-uuid,0.5404055,False
eed0bd51-2d13-4de3-956e-82bfff606832-uuid,0.5402415,False
d3d7948f-856a-4195-b75e-a79a8d5db6c7-uuid,0.5401125,False
5cef31e8-a7f2-48f5-9cda-d7533b28abe6-uuid,0.54008806,False
d8635498-429a-46e3-a00c-495bed70d530-uuid,0.5400082,False
4f3931b7-2088-433d-ba63-0c807536603c-uuid,0.53997636,False
6b3fbca3-92b5-42a0-bd14-f0ed803b8c44-uuid,0.53947616,False
nomenclature-domaines-emergents-des-brevets-1,0.53946614,False
ae68a220-1d99-4bed-8057-c1c6c9ef398f-uuid,0.53934157,False
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest,0.5391367,True
7c860974-0b04-47d6-ad61-29e4955d53c2-uuid,0.5390625,False
a2873185-8032-47b7-9d2c-a7863130a8fc-uuid,0.5387312,False
59f07f34-4061-4ff1-a1fb-a6f2644ea428-uuid,0.5385252,False
9c990988-7b63-46a1-8e8c-26962c648093-uuid,0.53844905,False
1a3d8bbe-a23c-4a1b-943f-6b6672538436-uuid,0.53837943,False
711fb876-685c-4fce-b024-862f6e5b37cc-uuid,0.5383503,False
c3bb187c-3348-4695-b1f0-99ba3abd7238-uuid,0.53826284,False
bb61ccbe-1745-40e2-b433-9f55c8b82883-uuid,0.5380087,False
962f6eac-00d7-4fa6-a142-792331f2bf35-uuid,0.5376501,False
d0c5cb6c-2646-4da5-a00f-56b8a41ac005-uuid,0.53757256,False
1040a8ac-2cc5-4405-996e-c78cd6da0efa-uuid,0.53754616,False
7209f7f8-a0fd-4cc4-8996-3ae438a716a1-uuid,0.5374695,False
9f529566-374d-4c81-8b5f-68172ce00755-uuid,0.5373889,False
413a2ebd-e5f6-4a3b-824b-1c66fec40c4e-uuid,0.537302,False
