slug,score,in_gd4h
chaufferies-et-centrales-de-production-de-froid-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.4363815,True
canalisations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.43432432,True
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.41918772,True
sous-stations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.39581504,True
equilibre-national-mensuel-rpt-injection-soutirage,0.39445585,True
agreste-prix-du-bois,0.39089388,True
trafic-outre-mer-outre-mer-passagers-et-mouvements-30381959,0.38256788,True
consommation-mensuelle-definitive-de-gaz-des-clients-industriels-de-grtgaz-repartis-par-secteur-industriel-1,0.3802156,True
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.37170577,True
trafic-metropole-outre-mer-passagers-et-mouvements,0.36489266,True
etude-facteurs-demissions-des-differents-modes-de-transport-routier,0.36358833,True
consommation-horaire-definitive-de-gaz-des-distributions-publiques-a-linterface-avec-le-reseau-de-transport-de-gaz-1,0.3567598,True
hackrisques-precipitations-horaires-sur-levenement-seine-loing-du-27-05-au-04-06-2016,0.3547289,True
agreste-recensement-de-la-pisciculture-et-elevage-de-crustaces-dans-les-dom,0.35343817,True
trafic-total-outre-mer-passagers-et-mouvements-30381876,0.35336637,True
lieux-de-covoiturage-de-la-metropole-de-lyon,0.35325444,True
points-darret-de-navly-navette-electrique-confluence-de-la-metropole-de-lyon,0.3527847,True
repartition-des-potentiels-de-gaz-verts-a-horizon-2050-par-departement,0.35239196,True
trafic-outre-mer-international-passagers-et-mouvements-30381882,0.3509292,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-par-bassin-dce,0.35074943,True
plages-surveillees-du-grand-parc-de-miribel-jonage,0.34878293,True
les-gestionnaires-de-reseau-de-distribution-de-gaz-naturel-en-france-grd-eld-maj-2022,0.3471896,True
ind212-1-nombre-de-parties-de-reseaux-noeuds-flux-susceptibles-detre-endommages-par-linondation-2019,0.3471684,True
scenarios-de-consommation-gaz-a-horizon-2030-perspectives-gaz-edition-2020,0.34609252,True
rapportage-directive-cadre-sur-leau-2010-syntheses-sur-les-pressions-et-impacts-sur-les-masses-deau-souterraines-par-bassin-dce,0.34598073,True
consommation-quotidienne-de-gaz-des-centrales-a-cycle-combine-gaz-zone-grtgaz,0.34463555,True
previsions-devolution-de-la-pointe-de-consommation-de-gaz-naturel,0.34404564,True
consommation-regionale-de-gaz-naturel-carburant-gnc,0.34395364,True
consommation-annuelle-finale-francaise-delectricite-par-typologie-de-consommateurs-2015-a-2021,0.34375554,True
trafic-aeroport-bordeaux-merignac-passagers-et-mouvements-30381866,0.34282064,True
repartition-annuelle-de-la-consommation-de-gaz-naturel-en-france,0.34095627,True
ind212-2-nombre-de-parties-de-reseaux-noeuds-flux-susceptibles-detre-endommages-par-lerosion-seule-2019,0.34030917,True
consommation-mensuelle-brute-corrigee-et-des-clients-rpt,0.33955804,True
consommation-finale-corrigee-par-secteur-dactivite-2006-a-2021,0.3377412,True
extremas-quotidiens-des-flux-commerciaux-janvier-2012-a-fevrier-2023,0.3368867,True
bilan-demissions-de-gaz-a-effet-de-serre-par-scope-et-operateur,0.33630252,True
trafic-aeroport-nice-cote-d-azur-passagers-et-mouvements-30381825,0.33526775,True
agreste-consommations-d-energie-dans-les-iaa-et-les-scieries,0.33500296,True
emission-co2-et-evolution-de-l-efficience-energetique-par-faisceau-30381917,0.33443823,True
bilan-previsionnel-electrique-2017-offre-de-production,0.33441162,True
pesticides-dans-les-eaux-souterraines,0.33393443,True
vols-de-laeroport-lyon-saint-exupery-disponibilites-temps-reel,0.33347505,True
trafic-aeroport-paris-orly-passagers-et-mouvements-30381918,0.33344758,True
trafic-aeroport-marseille-provence-passagers-et-mouvements-30381998,0.33337164,True
vols-au-depart-de-laeroport-lyon-saint-exupery-disponibilites-temps-reel,0.33310306,True
trafic-aeroport-strasbourg-entzheim-passagers-et-mouvements-30381872,0.33254707,True
trafic-aeroport-toulouse-blagnac-passagers-et-mouvements-30381970,0.33245975,True
trafic-aeroport-paris-cdg-passagers-et-mouvements-30381975,0.33226037,True
trafic-aeroport-nantes-atlantique-passagers-et-mouvements-30381829,0.33220744,True
trafic-aeroport-lyon-saint-exupery-passagers-et-mouvements-30381992,0.33217043,True
trafic-aeroport-montpellier-mediterranee-passagers-et-mouvements-30381925,0.33212575,True
hackrisques-episode-de-vent-fort-sur-la-region-marseillaise-du-27-10-2012-au-28-10-2012,0.33196926,True
prevention-des-risques-dinondation-par-ruissellement-axe-decoulement-du-plu-h-de-la-metropole-de-lyon,0.33157322,True
bilan-previsionnel-electrique-2021-offre-de-production,0.3297205,True
mnt-topo-bathymetrique-cotier-du-port-de-saint-malo-et-ses-abords,0.32936788,True
extremas-de-consommation-quotidienne-definitive-de-gaz-relevee-sur-le-reseau-de-grtgaz-et-terega,0.32924587,True
longueurs-regionales-annuelles-de-circuits-et-files-de-pylones-du-reseau-de-transport-delectricite-2012-a-2022,0.3287593,True
corridor-de-largeur-10-km-de-part-et-dautre-du-reseau-de-distribution-de-gaz,0.32862175,True
hauteurs-deau-et-debits-des-cours-deau-observes-en-temps-reel-aux-stations-du-reseau-vigicrues,0.32830596,True
fontaines-deau-potable-de-la-metropole-de-lyon,0.32807377,True
vols-a-larrivee-de-laeroport-lyon-saint-exupery-disponibilites-temps-reel,0.3271392,True
vehicules-gnv-en-circulation-en-france,0.3269496,True
historique-detaille-des-surfaces-cheptels-et-nombre-doperateurs-par-departement,0.32692897,True
plans-deau-importants-de-la-metropole-de-lyon,0.3267887,True
evolutions-regionales-annuelles-des-longueurs-de-circuits-du-reseau-de-transport-delectricite-2013-a-2022,0.32593107,True
corridor-de-largeur-20-km-de-part-et-dautre-du-reseau-de-distribution-de-gaz,0.32533532,True
consommation-annuelle-definitive-delectricite-et-de-gaz-par-iris-des-sites-industriels-raccordes-aux-reseaux-de-transport,0.32532275,True
mnt-bathymetrique-de-facade-de-la-guadeloupe-et-de-la-martinique-projet-homonim,0.32498956,True
liste-des-centres-de-collecte-de-sperme-agrees-pour-echanges-intracommunautaires-de-sperme-danimaux-domestiques-de-lespece-equine-dir-92-65-cee-list-of-approved-semen-collection-centres-for-intra-community-trade-in-semen-of-domestic-animals-of-the,0.32458833,True
production-centralisee-delectricite-a-partir-de-gaz-naturel-en-france,0.32382548,True
registre-national-des-installations-de-production-et-de-stockage-delectricite-au-30-09-2023,0.32363272,True
mnt-bathymetrique-de-facade-de-saint-martin-et-saint-barthelemy-projet-homonim,0.32300082,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-departementale,0.32278052,True
corridor-de-largeur-10-km-de-part-et-dautre-du-reseau-de-transport-de-gaz,0.32218108,True
animation-cartes-modeles-atmospheriques,0.32201713,True
evolutions-nationales-annuelles-des-longueurs-de-circuits-du-reseau-de-transport-delectricite-2011-a-2022,0.32195112,True
extremas-de-consommation-quotidienne-definitive-de-gaz-a-la-maille-regionale-relevee-sur-le-reseau-de-grtgaz,0.32156888,True
prevention-des-risques-dinondation-par-debordement-des-cours-deau-ruisseaux-non-domaniaux-du-plu-h-de-la-metropole-de-lyon,0.32152653,True
longueurs-departementales-annuelles-de-circuits-et-files-de-pylones-du-reseau-de-transport-delectricite-2014-a-2022,0.32127464,True
stations-qualite-rivieres,0.3210255,True
pompes-a-velo-en-libre-service-a-la-metropole-de-lyon,0.32099015,True
registre-francais-des-emissions-polluantes,0.3204818,True
modele-global-de-chimie-atmospherique-et-de-transport,0.31998742,True
origine-du-gaz-naturel-importe-en-france,0.3197376,True
trafic-total-metropole-passagers-et-mouvements-30381890,0.31925252,True
bilan-previsionnel-electrique-2019-offre-de-production,0.3192466,True
corridor-de-largeur-20-km-de-part-et-dautre-du-reseau-de-transport-de-gaz,0.31922823,True
dpe-tertiaire-avant-juillet-2021,0.3183477,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-regionale,0.31691748,True
gares-ferroviaires-de-la-metropole-de-lyon,0.31665456,True
service-public-deau-potable-de-la-metropole-de-lyon,0.31646612,True
mnt-bathymetrique-de-facade-de-mayotte-projet-homonim,0.31635392,True
points-darret-de-mia-navette-autonome-de-la-metropole-de-lyon,0.31628427,True
bords-de-chaussee-et-trottoirs-de-la-metropole-de-lyon,0.3152002,True
debit-quotidien-des-stockages-de-gaz-a-partir-de-novembre-2010,0.31506115,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest,0.31503206,True
toits-sur-toits-3d-2015-du-bati-de-la-metropole-de-lyon,0.31463864,True
agreste-consommation-et-production-d-energie-dans-les-exploitations-agricoles,0.3144936,True
energies-et-puissances-regionales-liees-au-contraintes-vision-au-6-decembre-2022,0.31392652,True
indices-annuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat,0.31379882,True
resultats-du-controle-sanitaire-de-leau-du-robinet,0.31328952,True
historique-des-disponibilites-des-stations-velov-de-la-metropole-de-lyon,0.31290668,True
trafic-des-10-premieres-liaisons-transversales-passagers-30381946,0.31280154,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-europe-du-sud-ouest-en-2020,0.31271863,True
production-quotidienne-definitive-de-biomethane-sur-le-reseau-de-transport-et-de-distribution,0.3127092,True
reseau-de-chaleur-et-de-froid-inventaire-de-2017-pour-auvergne-rhone-alpes,0.31255046,True
donnees-d-observation-des-principales-stations-meteorologiques,0.31247196,True
ligne-de-navly-navette-electrique-de-la-metropole-de-lyon,0.3123436,True
trafic-metropole-interieur-passagers-et-mouvements-30381853,0.31216967,True
indices-mensuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat-pour-le-scenario-rcp-4-5,0.31176174,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-core-europe-du-centre-ouest-en-2020,0.31149554,True
indices-saisonniers-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat,0.3114885,True
indicateur-prospectif-de-gaz-renouvelable-dynamique-engagee-a-la-maille-nationale,0.3114236,True
registre-2015-des-installations-de-production-raccordees-au-reseau-de-transport-delectricite,0.31086534,True
bornes-a-compost-de-la-metropole-de-lyon-donnees-obsoletes,0.3107272,True
parcs-relais-du-reseau-transports-en-commun-lyonnais-disponibilites-temps-reel,0.31063172,True
agreste-enquete-annuelle-laitiere,0.31060737,True
indices-mensuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat,0.31031853,True
mnt-bathymetrique-de-facade-de-la-reunion-projet-homonim,0.31023544,True
centres-commerciaux-de-la-metropole-de-lyon,0.31007257,True
indices-mensuels-danomalie-de-temperature-et-danomalies-de-nombre-de-jours-de-temperature-issus-du-modele-aladin-climat-pour-le-scenario-rcp-2-6,0.3099599,True
consommation-delectricite-quotidienne-corrigee-de-la-meteo,0.30985254,True
monitoring-des-capacites-dechanges-aux-frontieres-francaises-de-la-region-italie-nord-en-2020,0.3096997,True
registre-2016-des-installations-de-production-raccordees-au-reseau-de-transport-delectricite,0.30963808,True
contraintes-residuelles-prospectives-sur-le-rpt-a-horizon-3-a-5-ans-au-6-decembre-2022,0.30926687,True
elements-de-calcul-du-facteur-environnemental-des-itineraires-proposes-sur-le-reseau-libellule-sytral-de-la-communaute-dagglomeration-de-villefranche-beaujolais-saone,0.3081828,True
reseau-de-chaleur-et-de-froid-infrastructure-de-distribution-en-2017-pour-auvergne-rhone-alpes,0.30809015,True
perimetre-de-classement-obligation-de-raccordement-des-reseaux-de-chaleur-de-la-metropole-de-lyon,0.30785352,True
reseau-de-reference-pour-la-surveillance-des-etiages-rrse,0.307774,True
temperatures-de-surface-en-juillet-2015-de-la-metropole-de-lyon-jour,0.30734086,True
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-en-region-auvergne-rhone-alpes-sur-la-derniere-annee-glissante,0.30724204,True
prevision-de-lame-deau-issue-du-modele-de-prevision-immediate-agregee-fusionnee,0.307211,True
resultats-du-controle-sanitaire-de-leau-distribuee-commune-par-commune,0.30681217,True
