slug,score,in_gd4h
bornes-fontaine-a-antibes,0.444328,False
meteo-sahurs-rouen-temperature-vent-et-puissance-solaire,0.43696696,False
chaufferies-et-centrales-de-production-de-froid-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.4363815,True
canalisations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.43432432,True
reseau-deau-potable-borne-fontaine-1,0.4308346,False
lignes-et-postes-electriques-1,0.42599002,False
sas-energia-doghje-lenergie-daujourdhui-2,0.4219082,False
energie-et-developpement-durable-1,0.42165068,False
energie-reseau-de-chauffage-urbain-grand-poitiers-donnees-metiers,0.42120215,False
lignes-de-rupture-de-pente-3d-de-la-metropole-de-lyon,0.41918772,True
consommation-electrique-de-telecom-bretagne,0.41657436,False
infrastructures-de-recharge-pour-vehicules-electriques,0.4101774,False
consumption,0.40965417,False
ligne-haute-tension-hta-souterrain,0.40881068,False
ou-recharger-mon-vehicule-electrique-3,0.40844622,False
infrastructures-de-recharge-pour-vehicules-electriques-indigo,0.408204,False
observatoire-draix-bleone-pour-lhydrologie-et-lerosion-en-montagne,0.40700698,False
infrastructures-de-recharge-pour-vehicules-electriques-reseau-electricite-seine-aval,0.40219212,False
stations-supercharger-tesla,0.40069306,False
infrastructure-de-charge-pour-vehicules-electriques-en-seine-et-marne,0.39913577,False
sas-energia-doghje-lenergie-daujourdhui,0.39889434,False
infrastructures-de-recharge-pour-vehicules-electrique-sdei-reseau-chargelec-36,0.39853132,False
electro-mob-electro-mob,0.39825135,False
sous-stations-des-reseaux-de-chaleur-et-de-froid-de-la-metropole-de-lyon,0.39581504,True
electro-mob-23,0.3957801,False
electro-mob-21,0.3957801,False
electro-mob-19,0.3957801,False
sas-velos-1,0.3953097,False
actions-defficacite-energetique,0.39457336,False
equilibre-national-mensuel-rpt-injection-soutirage,0.39445585,True
borne-de-recharge-pour-vehicules-electriques-3,0.39364272,False
infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports,0.3932063,False
postes-hta-bt-sorea-shape,0.39253074,False
lineaire-de-reseaux,0.39212847,False
bornes-irve-zones-business-park-chartres,0.39184824,False
borne-de-recharge-pour-vehicules-electriques,0.39140514,False
agreste-prix-du-bois,0.39089388,True
suivi-du-transport-sedimentaire-sur-les-rivieres-arc-et-isere,0.39085424,False
electro-mob-25,0.39085293,False
file-dattente-producteur-dedf-sa-corse-outremer,0.38970053,False
lignes-basse-tension-bt-aerien-saint-denis,0.3896358,False
lignes-haute-tension-hta-aerien-saint-denis,0.3883688,False
ardenne-metropole-bornes-recharge-electrique,0.38817328,False
logis-hotel-sablier-du-temps,0.3877929,False
infrastructure-de-recharge-de-vehicules-electriques-herve-thermique-orleans,0.38732842,False
camping-le-tropicana,0.38725245,False
lignes-haute-tension-htb-aerien-saint-denis,0.3872523,False
infrastructures-de-recharge-pour-vehicules-electrique-sdei,0.38715488,False
points-recharges-electriques-parkings-1,0.38674194,False
reseau-de-bornes-de-recharge-rapide-auchan,0.38663626,False
borne-fontaine-deau-potable-sur-mulhouse,0.38579738,False
habillage-verdure-schematique,0.3855136,False
donnees-infrastructure-de-recharge-de-vehicules-electriques,0.38547269,False
position-des-bornes-a-verre,0.38387462,False
borne-de-recharge-du-reseau-drb,0.38317552,False
bornes-de-recharges-reseau-mobive-la-diege-irve-mobive,0.38293734,False
stations-citiz,0.3827235,False
infrastructure-de-recharge-vehicules-electriques-effia,0.3826558,False
trafic-outre-mer-outre-mer-passagers-et-mouvements-30381959,0.38256788,True
reseau-deau-potable-reducteur-de-pression-1,0.38235402,False
borne-de-recharge-pour-vehicule-electrique,0.38234922,False
file-dattente-producteur-1,0.38221413,False
bornes-de-recharge-electrique-de-vehicules1,0.381811,False
bornes-de-recharge-pour-vehicule-electrique-2,0.38042504,False
bornes-de-recharges-grand-nancy,0.38032842,False
consommation-mensuelle-definitive-de-gaz-des-clients-industriels-de-grtgaz-repartis-par-secteur-industriel-1,0.3802156,True
recharge-vehicule-electrique-signal-reseau-dedf-sa-en-corse,0.38007548,False
lignes-haute-tension-htb-souterrain-saint-denis,0.37975746,False
poste-electrique-edf-a-saint-denis,0.37968796,False
documents-pour-les-utilisateurs-de-bornes-electriques-2016-2021,0.3796749,False
signal-reseau-corse-recharge-vehicule-electrique-1,0.37958252,False
localisation-des-points-de-recharge-pour-vehicules-electriques,0.37946832,False
installation-de-bornes-de-recharges-sur-cavaillon,0.37943175,False
pluviometres-1,0.37927476,False
installations-de-bornes-de-recharge-de-vehicules-electriques,0.37861454,False
recharge-vehicule-electrique-signal-reseau-dedf-sa-en-guyane,0.37856182,False
agape-hotel-niort-bessines,0.37851232,False
reseau-deau-potable-conduite-1,0.37848884,False
signal-reseau-guyane-recharge-vehicule-electrique,0.37811184,False
sas-bois-cheri-hotel-du-porge,0.37787604,False
e-vadea-stations-de-recharge-pour-les-vehicules-electriques,0.3778759,False
bornes-de-recharge-pour-vehicule-electrique,0.3778746,False
reseaux-de-chaleur-urbains-de-rennes-metropole,0.37781176,False
facteurs-demissions-dequipements-de-sport,0.37731832,False
saint-louis-agglomeration-bornes-de-recharge-pour-vehicule-electrique,0.37710208,False
aires-de-covoiturage-dans-lherault,0.3770901,False
infrastructures-de-recharge-pour-vehicules-electriques-organisation-evbox,0.37677178,False
bornes-de-recharges-qpark,0.3766405,False
vehicules-electriques-dans-le-parc,0.37630978,False
infrastructures-de-recharge-pour-vehicules-electriques-corri-door,0.37617746,False
bornes-de-recharges-reseau-mobive-sydec-40-irve-mobive,0.37575647,False
borne-de-rechargement-de-vehicules-electrique-jalix,0.3754834,False
recharge-vehicule-electrique-signal-reseau-dedf-sa-a-la-reunion,0.37546265,False
bornes-de-recharges-reseau-mobive-te-47-irve-mobive,0.37502515,False
signal-reseau-reunion-recharge-vehicule-electrique,0.37491995,False
claas,0.3748319,False
la-chaudiere-a-bois,0.37470546,False
infrastructures-de-recharge-pour-vehicules-electriques-organisation-area-tech,0.3746735,False
bornes-de-recharges-reseau-mobive-sdeeg-33-irve-mobive,0.3746523,False
paris-velos-a-assistance-electrique,0.37442455,False
consommation-et-production-electrique-du-quartier-bastide,0.37434524,False
bornes-de-recharges-reseau-mobive-sdepa-64-irve-mobive,0.37428096,False
reseau-deau-potable-poteau-dincendie-1,0.3741387,False
borne-de-recharge-pour-vehicule-electrique-1,0.37395978,False
borne-de-recharge-pour-vehicule-electrique-5,0.37380335,False
defi-2-energie-mobilite,0.37379918,False
infrastructure-de-recharge-de-vehicules-electriques-irve,0.37374294,False
bornes-de-recharges-reseau-mobive-sdeg-16-irve-mobive,0.37360743,False
signal-reseau-ponant-recharge-vehicule-electrique,0.37358212,False
bornes-de-recharges-reseau-mobive-fdee-19-irve-mobive,0.37350047,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-36,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-35,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-34,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-33,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-32,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-31,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-30,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-29,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-28,0.37343732,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-27,0.37343732,False
bornes-de-recharges-reseau-mobive-sde-24-irve-mobive,0.3734196,False
sas-energia-doghje-lenergie-daujourdhui-6,0.37338644,False
bornes-de-recharges-reseau-mobive-sehv87-irve-mobive,0.37338495,False
paris-sud-velos-a-assistance-electrique-en-libre-service,0.37323844,False
reseau-bornes-de-recharge-rapide-concessionnaires-nissan,0.3730244,False
eau-equipements-eau-pluviale-grand-poitiers-donnees-metiers-1,0.37272048,False
borne-de-recharge-de-vehicules-electriques,0.37267956,False
recharge-vehicule-electrique-signal-reseau-dedf-sa-en-guadeloupe,0.37266552,False
stations-de-recharge-ionity,0.37260744,False
la-muse,0.37241435,False
bornes-de-recharges-reseau-mobive-sdeer-17-irve-mobive,0.37227532,False
recharge-vehicule-electrique-signal-reseau-dedf-sa-en-martinique,0.37224737,False
borne-de-recharge-pour-vehicule-electrique-2,0.37224713,False
borne-irve-1,0.37223452,False
borne-de-recharge-pour-vehicule-electrique-8,0.37220126,False
signal-reseau-guadeloupe-recharge-vehicule-electrique,0.37212694,False
signal-reseau-martinique-recharge-vehicule-electrique,0.37170687,False
agreste-pratiques-culturales-sur-les-grandes-cultures-et-prairies,0.37170577,True
vigicrues-stations-du-reseau-orleans-metropole,0.3715023,False
bornes-de-recharge-lidl-1,0.3714258,False
gaz-de-bordeaux,0.3713088,False
points-deau-tours-metropole-val-de-loire,0.37106323,False
stations-physiques-du-mettis-eurometropole-de-metz,0.3710036,False
bornes-de-recharge-du-reseau-te61,0.3708411,False
gagneraud-petit-quevilly,0.37081873,False
emplacements-des-bornes-de-recharge-pour-vehicules-electriques-au-poinconnet,0.37071005,False
signalisation-lumineuse-support-1,0.37067237,False
stations-de-recharge-irve,0.37048006,False
e-mouv-istres-bornes-de-recharge-pour-vehicule-electrique,0.3703296,False
syme05-bornes-de-recharge-pour-vehicule-electrique,0.37025672,False
infrastructure-de-recharge-pour-vehicules-electriques-irve-du-territoire-de-la-communaute-de-communes-de-la-haute-vallee-de-chevreuse-cchvc,0.37025,False
les-bornes-de-recharge-de-vehicules-electriques-a-roubaix,0.36983466,False
infrastructures-de-recharge-pour-vehicules-electriques-organisation-territoire-denergie-alsace,0.36958545,False
