slug,score,in_gd4h
toilettes-publiques-de-la-commune-de-bron,0.35219293731651363,True
toilettes-publiques-de-la-commune-de-mions,0.3418329890388934,True
toilettes-publiques-de-la-commune-de-villeurbanne,0.33388427627506,True
toilettes-publiques-de-la-commune-de-caluire-et-cuire,0.3290959792949151,True
toilettes-publiques-de-la-commune-de-dardilly,0.3271491080631245,True
toilettes-publiques-de-la-commune-de-bron-v1,0.3199327829488563,True
toilettes-publiques-de-la-commune-de-vaulx-en-velin,0.31862037652282654,True
toilettes-publiques-de-la-commune-de-saint-genis-laval,0.315312979078195,True
toilettes-publiques-de-la-commune-de-mions-v1,0.3096633158242517,True
toilettes-publiques-de-la-commune-de-lyon,0.30957928948058083,True
toilettes-publiques-de-la-commune-de-villeurbanne-v1,0.3095398988913229,True
toilettes-publiques-de-la-commune-de-caluire-et-cuire-v1,0.3077183392599658,True
toilettes-publiques-de-la-commune-de-pierre-benite,0.3074382643644793,True
toilettes-publiques-de-la-commune-de-champagne-au-mont-dor,0.2993811614376329,True
toilettes-publiques-de-la-commune-de-vaulx-en-velin-v1,0.29336981244858873,True
toilettes-publiques-de-la-commune-de-saint-cyr-au-mont-dor,0.2929475184260976,True
toilettes-publiques-de-la-commune-de-lyon-v1,0.2916655385650082,True
toilettes-publiques-de-la-commune-de-saint-genis-laval-v1,0.2888986729007255,True
toilettes-publiques-de-la-commune-de-saint-cyr-au-mont-dor-v1,0.2851770546590648,True
toilettes-publiques-de-la-commune-de-saint-didier-au-mont-dor,0.28424243654159437,True
deliberations-de-la-commune-de-saint-cyr-au-mont-dor,0.2834976974027399,True
navires-communautaires-30378889,0.2812719671945279,True
toilettes-publiques-de-la-commune-de-champagne-au-mont-dor-v1,0.2791707679802732,True
toilettes-publiques-de-la-commune-de-saint-didier-au-mont-dor-v1,0.2768060760734535,True
toilettes-publiques-de-la-commune-de-neuville-sur-saone,0.26792967098550036,True
equipements-publics-de-la-commune-de-champagne-au-mont-dor,0.2577474488626824,True
deliberations-de-la-commune-de-neuville-sur-saone,0.2547989539488674,True
toilettes-publiques-de-la-commune-de-neuville-sur-saone-v1,0.2519809701906134,True
equipements-publics-de-la-commune-de-pierre-benite,0.2507660361392105,True
equipements-publics-de-la-commune-de-saint-cyr-au-mont-dor,0.2500206716212833,True
communes-de-france-metropole-desservies-par-le-gaz,0.24632820570488276,True
equipements-publics-de-la-commune-de-saint-didier-au-mont-dor,0.24569498063813894,True
equipements-publics-de-la-commune-de-champagne-au-mont-dor-v1,0.24210819445023052,True
liste-des-communes-desservies-par-le-reseau-de-gaz,0.24190954169378018,True
equipements-publics-de-la-commune-de-vaulx-en-velin,0.24134387880363412,True
parcs-et-jardins-de-la-commune-de-villeurbanne,0.23956372404881804,True
elecdom-donnees-de-consommation-annuelle,0.23546545862973348,True
equipements-publics-de-la-commune-de-saint-didier-au-mont-dor-v1,0.2353525694975138,True
toilettes-publiques-de-la-metropole-de-lyon-v2,0.23531144928324405,True
part-des-logements-chauffes-a-lelectricite,0.23059683963695507,True
