slug,score,in_gd4h
datavizgallery,0.3472870044798276,False
borne-de-recharge-5,0.34373007689902607,False
reutilisations-2,0.3398462760706699,False
borne-de-recharge-7,0.335731776894685,False
decp-18,0.3333462676330735,False
bornes-de-recharge,0.3274517790461965,False
reserve-naturelle-nationale-de-auvergne-rhone-alpes,0.3233430223067069,False
aural,0.32212319944257056,False
waterrower,0.31923887543125207,False
engin-de-peche-30379243,0.31428674872995005,True
reserve-naturelle-nationale-et-perimetre-de-protection-associe-dans-le-loiret,0.3139845652807346,False
reserve-naturelle-nationale-et-perimetre-de-protection-associe-dans-le-loiret-1,0.3139845652807346,False
reserve-naturelle-nationale-rnn-et-perimetre-de-protection-associe-en-lorraine,0.31163799933549347,False
profil-acheteur-49,0.3106005950437468,False
reserve-biologique-dirigee-ou-integrale-en-pas-de-calais,0.3096612969341004,False
reserves-naturelles-regionales-rnr-en-bourgogne-franche-comte-1,0.30450016532443014,False
inventaire-des-archives-du-climat-conservees-a-la-direction-de-la-climatologie-et-des-services-climatiques-a-toulouse,0.3025518785518833,True
arbres,0.2991180341266472,False
decp-cvs-1,0.29863137532934336,False
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-centre-est,0.2984501467591472,True
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-nord-est,0.29767113029653314,True
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-antilles-guyane,0.29751867925856457,True
s-i-e-p-a-b,0.296377262433708,False
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-sud-ouest,0.29612399703410475,True
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-sud-est,0.29276742351329477,True
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-ile-de-france-centre,0.2926093715821069,True
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-de-nouvelle-caledonie,0.29132620262323516,True
dataviz-territoires,0.29108284456150235,False
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-ouest,0.29107309769982503,True
inventaire-des-archives-du-climat-conservees-dans-les-centre-de-la-direction-interregionale-de-polynesie,0.29063518794745563,True
decp-15,0.2901744585301826,False
decp-7,0.29017445254408464,False
decp-8,0.29017445254408464,False
reserves-naturelles-nationales-rnn-en-bourgogne-franche-comte-1,0.2899782776568607,False
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-nord,0.28984052431848145,True
reserve-naturelle-dans-la-sarthe,0.2875295005439501,False
reserves-naturelles-situees-sur-le-departement-du-cher,0.28693431942232983,False
les-reserves-naturelles-en-seine-et-marne,0.2822701227851386,False
decp-csv-1,0.2814404746929793,False
dependances-bleues,0.279945256126503,False
servitude-ac3-s-relative-aux-reserves-naturelles-et-perimetres-de-protection-savoie,0.2798982060472207,False
irve,0.27977547624367416,False
irve-2,0.27977547624367416,False
inventaire-des-archives-du-climat-conservees-dans-les-centres-de-la-direction-interregionale-ocean-indien-la-reunion,0.2786389866161197,True
reserves-naturelles-regionales-des-hauts-de-france,0.27676296302220216,False
decp-6,0.27501231123707337,False
zones-de-stockage-des-poids-lourds,0.2733140980050552,False
irve-statique-organisation-secal,0.27311589011380333,False
irve-statique-organisation-secal-1,0.27311589011380333,False
dscp-csv,0.26904574928188607,False
inventaire-des-archives-du-climat-conservees-dans-le-centre-des-archives-intermediaires-de-trappes-cait,0.2673584428924699,True
camping,0.26675428059423484,False
inventaire-de-la-bibliotheque-andre-desguine,0.2660462623481959,False
