slug,score,in_gd4h
nuisance-zone-bruit-routier-de-type-a-indice-lden-des-voies-ferrees-en-loir-et-cher,0.96657467,False
nuisance-zone-bruit-routier-de-type-a-indice-ln-des-voies-communales-en-loir-et-cher,0.9658514,False
nuisance-zone-bruit-routier-de-type-a-indice-lden-des-voies-communales-en-loir-et-cher,0.9649,False
nuisance-zone-bruit-routier-de-type-c-indice-lden-des-voies-ferrees-en-loir-et-cher,0.9628839,False
nuisance-zone-bruit-routier-de-type-c-indice-ln-des-voies-ferrees-en-loir-et-cher,0.9628718,False
nuisance-zone-bruit-routier-de-type-a-indice-ln-de-la-nationale-10-en-loir-et-cher,0.96198165,False
nuisance-zone-bruit-routier-de-type-c-indice-lden-de-la-nationale-10-en-loir-et-cher,0.9596541,False
nuisance-zone-bruit-routier-de-type-c-indice-ln-de-la-nationale-10-en-loir-et-cher-2,0.9591549,False
nuisance-zone-bruit-routier-de-type-c-indice-ln-de-la-nationale-10-en-loir-et-cher,0.9591549,False
nuisance-zone-bruit-routier-de-type-c-indice-lden-des-voies-communales-en-loir-et-cher,0.9565966,False
nuisance-zone-bruit-routier-de-type-a-indice-lden-de-la-nationale-10-en-loir-et-cher,0.9555184,False
nuisance-zone-bruit-routier-de-type-c-indice-ln-des-departementales-en-loir-et-cher,0.95544934,False
nuisance-zone-bruit-routier-de-type-c-indice-ln-des-voies-communales-en-loir-et-cher,0.9543165,False
nuisance-zone-bruit-routier-de-type-a-indice-lden-de-lautoroute-a85-en-loir-et-cher,0.9542215,False
nuisance-zone-bruit-routier-de-type-a-indice-ln-de-lautoroute-a85-en-loir-et-cher,0.95254576,False
nuisance-zone-bruit-routier-de-type-a-indice-lden-des-departementales-en-loir-et-cher,0.9525038,False
nuisance-zone-bruit-routier-de-type-c-indice-lden-de-lautoroute-a85-en-loir-et-cher,0.951395,False
nuisance-zones-exposees-au-bruit-de-lautoroute-a71-carte-de-type-b-lnu-en-loir-et-cher,0.95084184,False
nuisance-zone-bruit-routier-de-type-b-des-voies-communales-en-loir-et-cher,0.9479922,False
nuisance-zone-bruit-routier-de-type-b-de-la-nationale-10-en-loir-et-cher,0.9478374,False
nuisance-zones-exposees-au-bruit-de-lautoroute-a71-carte-de-ype-a-ln-en-loir-et-cher,0.9478362,False
nuisance-zone-bruit-routier-de-type-b-de-lautoroute-a85-en-loir-et-cher,0.94680357,False
nuisance-zone-bruit-routier-de-type-b-des-departementales-en-loir-et-cher,0.9449833,False
nuisance-zones-exposees-au-bruit-de-la-departementale-d0956-carte-de-type-a-ln-en-loir-et-cher,0.9438231,False
nuisance-zone-bruit-routier-de-type-c-indice-ln-de-lautoroute-a85-en-loir-et-cher,0.9432827,False
nuisance-zones-exposees-au-bruit-de-lautoroute-a85-carte-de-ype-c-lden-en-loir-et-cher,0.9422218,False
nuisance-zones-exposees-au-bruit-de-la-departementale-d0951-carte-de-type-c-lden-en-loir-et-cher,0.9397472,False
nuisance-zones-exposees-au-bruit-de-la-ligne-ferroviaire-431000-carte-de-type-a-lden-en-loir-et-cher,0.92114425,False
zones-exposees-au-bruit-autoroute-national-communale-pour-carte-de-type-a-indicateur-ld-reseau-routier-non-concede,0.87964237,False
table-decrivant-les-zones-de-depassement-des-valeurs-limites-de-bruit-sur-24h-sur-d2060-dans-le-loiret-c-lden,0.8694923,False
table-decrivant-les-zones-de-depassement-des-valeurs-limites-de-bruit-sur-24h-sur-la-ligne-ferroviaire-les-aubrais-orleans-montauban-ville-bourbon-dans-le-loiret-c-lden,0.84628683,False
ppr-bassussarry-64ddtm20080016-document-pprn-sur-bassussarry-64100-departement-des-pyrenees-atlantiques,0.8434373,False
zone-de-bruit-routier-pour-les-cartes-de-type-a-indicateur-lden-pour-la-3eme-echeance-en-maine-et-loire-49,0.8216318,False
table-decrivant-les-zones-de-bruit-dans-lenvironnement-type-a-dune-grande-infrastructure-zone-exposee-par-le-bruit-en-jour-soir-nuit-a-plus-de-55-decibels-lden,0.8190638,False
table-decrivant-les-zones-de-bruit-dans-lenvironnement-type-c-dune-grande-infrastructure-zone-exposee-par-le-bruit-en-jour-soir-nuit-a-plus-de-68-decibels-lden,0.8160913,False
table-decrivant-les-zones-dexposition-au-bruit-sur-24h-sur-d14-dans-le-loiret,0.81359625,False
table-decrivant-les-zones-dexposition-au-bruit-de-nuit-sur-d928-dans-le-loiret,0.7968211,False
table-decrivant-les-zones-dexposition-au-bruit-de-nuit-sur-la-ligne-ferroviaire-les-aubrais-orleans-montauban-ville-bourbon-dans-le-loiret,0.7899107,False
