slug,score,in_gd4h
eclairage-public-de-la-commune-dappietto,0.89028007,False
points-lumineux-du-reseau-declairage-public-sur-mulhouse,0.8298007,False
eclairage-public-de-la-commune-dafa,0.81850165,False
eclairage-public-de-la-commune-dalata,0.81768775,False
eclairage-public-de-la-commune-de-peri,0.8164662,False
eclairage-public-de-la-commune-de-tavaco,0.8121741,False
points-lumineux,0.7972006,False
points-lumineux-eclairage-public,0.79547644,False
eclairage-public-de-la-commune-de-cuttoli-corticchiato,0.7516767,False
eclairage-public-point-declairage-1,0.7462405,False
eclairage-public-de-la-commune-de-sarrola-carcopino,0.73475933,False
eclairage-public-de-la-commune-de-villanova,0.7222775,False
support-luminaire-2,0.71820813,False
eclairage-public-points-lumineux,0.71747017,False
reseau-declairage-public,0.70384127,False
eclairage-public-armoires-de-commande,0.6869641,False
eclairage-public-de-la-commune-de-valle-di-mezzana,0.6799753,False
armoires-de-distribution-electrique-dediees-a-leclairage-public,0.67681134,False
points-lumineux-tmvl,0.6711619,False
reseau-declairage-public-ccpop,0.6551304,False
eclairage-public-reseau-sur-facade-1,0.6535667,False
eclairage-public-regard-1,0.6299535,False
parc-des-prealpes-dazur-eclairage-public,0.62229365,False
points-lumineux-declairage-public-exterieur-dont-le-syane-est-exploitant-haute-savoie,0.60822356,False
eclairage-public-donnees-geographiques-ods,0.6067997,False
eclairage-public-donnees-geographiques-prs,0.6067997,False
reseaux-eclairage,0.5877414,False
eclairage-public-poste-1,0.5720147,False
releve-de-compteur-des-armoires-de-l-eclairage-public-de-lambersart,0.5206374,False
centrales-photovoltaiques-communales,0.51704645,False
zones-dextinction-de-leclairage-public-a-antibes-juan-les-pins,0.50649405,False
zones-wifi-gratuit-a-antibes-juan-les-pins,0.5043405,False
defibrillateurs-14,0.46935523,False
defibrillateurs-19,0.46935523,False
signalisation-lumineuse-support-1,0.4659612,False
zones-disposant-dun-acces-wifi,0.46114248,False
agenda-categorie-de-lieux,0.42673832,False
bornes-wifi,0.405711,False
zone-dinfluence-du-noeud-de-raccordement-optique,0.39886904,False
defibrillateurs-1,0.35943156,False
hotspots-wifi-cigale-2,0.31688666,False
part-des-deliberations-de-la-collectivite-accessibles-sur-le-portail-internet-2,0.27712414,False
part-des-deliberations-de-la-collectivite-accessibles-sur-le-portail-internet-1,0.27712414,False
part-des-deliberations-de-la-collectivite-accessibles-sur-le-portail-internet,0.27712414,False
part-des-deliberations-de-la-collectivite-accessibles-sur-le-portail-internet-rdl,0.27712414,False
