slug,score,in_gd4h
emi-centre-val-de-loire-epci-2018,0.9871719,False
emi-centre-val-de-loire-epci-2019,0.98633146,False
emi-centre-val-de-loire-epci-2020,0.9844285,False
emi-centre-val-de-loire-region-2020,0.98405635,False
emi-centre-val-de-loire-region-2019,0.98397374,False
emi-centre-val-de-loire-epci-2010-1,0.9838147,False
emi-centre-val-de-loire-region-2018-4,0.9831135,False
emi-centre-val-de-loire-epci-2008-1,0.98305786,False
emi-centre-val-de-loire-epci-2011,0.98192054,False
emi-centre-val-de-loire-region-2010-4,0.98163724,False
emi-centre-val-de-loire-region-2011-4,0.98134327,False
emi-centre-val-de-loire-epci-2016-5,0.98039436,False
emi-centre-val-de-loire-region-2008-4,0.98009634,False
emi-centre-val-de-loire-epci-2014-1,0.9797374,False
emi-centre-val-de-loire-epci-2012-4,0.97796994,False
emi-centre-val-de-loire-region-2016-6,0.9776726,False
emi-centre-val-de-loire-region-2012-6,0.9772341,False
emi-centre-val-de-loire-epci-2015,0.9753207,False
emi-centre-val-de-loire-region-2014-4,0.97489965,False
emissions-de-polluants-de-la-region-cvdl,0.97452116,False
emi-centre-val-de-loire-region-2015-4,0.97163403,False
emi-centre-val-de-loire-epci-2013-1,0.97064805,False
emissions-de-polluants-atmospheriques-des-epci-de-la-region-cvdl,0.9694786,False
emi-centre-val-de-loire-epci-2009,0.9678749,False
emi-centre-val-de-loire-region-2013-4,0.96756756,False
emi-centre-val-de-loire-region-2009-4,0.9635149,False
emi-centre-val-de-loire-epci-2017-1,0.9565938,False
emi-centre-val-de-loire-region-2017-4,0.9542868,False
pollution-pm-2-5-microns-courbevoie-t4-2018-t1-2019,0.4872712,False
