slug,score,in_gd4h
cimetiere-3,0.9836844,False
bati-indifferencie-3,0.980348,False
route-primaire-3,0.97614217,False
pai-espace-naturel-3,0.97010326,False
pai-sante-3,0.9699048,False
pai-zone-habitation-3,0.967084,False
route-secondaire-3,0.96637225,False
bati-industriel-3,0.9657165,False
reservoir-3,0.96298885,False
troncon-cours-eau-3,0.9627833,False
bati-remarquable-3,0.9625138,False
troncon-voie-ferree-3,0.96062136,False
pai-orographie-3,0.96025455,False
surface-eau-3,0.9592106,False
pai-religieux-3,0.9517356,False
piste-aerodrome-3,0.9513848,False
zone-vegetation-3,0.94996524,False
pai-hydrographie-3,0.94828624,False
pai-administratif-militaire-3,0.9476346,False
pai-transport-3,0.94517004,False
pai-science-enseignement-3,0.9371115,False
pai-culture-loisirs-3,0.9355737,False
construction-legere-3,0.92888945,False
chemin-3,0.9278482,False
pai-sport-3,0.9268349,False
terrain-sport-5,0.9226593,False
construction-ponctuelle-3,0.9219601,False
sig-bdtopo-2,0.9198186,False
construction-surfacique-3,0.918591,False
ligne-electrique-3,0.8982115,False
le-velo-a-saint-quentin-2,0.39311814,False
reseau-bt-souterrain-sorea-shape,0.3232396,False
