slug,score,in_gd4h
deliberation-du-24-10-2023-a-10h53-seance-cp-du-20231020,0.22183539,False
deliberation-seance-cp-du-06-04-2023,0.22123958,False
deliberation-seance-cp-du-27-01-2023,0.21521732,False
deliberation-seance-cp-du-2023-09-22,0.21199025,False
irve-zeborne-mazdabelfort-20220707,0.20968847,False
deliberation-seance-cp-du-10-03-2023,0.2064619,False
osm-qgz-gpkg-et-frontalier-prdg-fxx-ed214-1,0.20613343,False
aife-de-13001977100018-7,0.20478545,False
deliberation-seance-cp-du-12-05-2022,0.20430683,False
osm-qgz-gpkg-et-frontalier-prdg-fxx-ed214,0.19689012,False
publication-du-20-06-2023-a-10h57-seance-cp-du-20230616,0.19567238,False
deliberation-seance-cp-du-16-12-2022,0.19533442,False
deliberation-seance-cd-du-06-04-2023,0.19148964,False
test-158,0.1841138,False
test-152,0.1841138,False
test-146,0.1841138,False
test-116,0.1841138,False
test-156,0.1841138,False
test-164,0.1830558,False
test-92,0.18098955,False
test-167,0.18098955,False
2021-01-boamp-annonces-json-1,0.17295238,False
test-gtfs-1,0.17283654,False
dirve02,0.17269748,False
rsaepci76-2016a2021,0.16822542,False
test-jeu-de-donnees-2,0.16542514,False
decp-aws,0.15396276,False
test-74,0.14731207,False
test-t-finess,0.14632127,False
test-decp-rama-v2,0.14493948,False
test1,0.1442078,False
irve-se60-20170502,0.13976525,False
test-pcrs-31,0.13972713,False
sample-siren,0.13810907,False
plf-2023-credits-destination-nature,0.13609844,False
resultats-election-transpose-definitif-deuxieme-tour-v2,0.13184644,False
arcgis-server-wfs-test-3,0.13114372,False
dataviz-territoires,0.13094768,False
subventions-test-1,0.12996928,False
jeu-de-donnee-de-test,0.12969755,False
deliberation-cd-01-01-2019,0.12932555,False
a2spi-1,0.12717648,False
gtfs-ete,0.12456393,False
test-brest-derniere-version-gtfs,0.12413676,False
sas-energia-doghje-lenergie-daujourdhui-1,0.12284781,False
iso-3611-1-fr-fr,0.1143131,False
repertoire-siren-janv-2023,0.11425148,False
finances-locales-5,0.1135976,False
sous-station-test,0.11089913,False
entreprises-radiees-en-2020,0.11004717,False
vfe-thales-six-gts-france-prive-351867692-5128202-20230927-csv,0.110024445,False
entreprises-radiees-en-2019,0.10891374,False
arrete-numerotage-d012-23,0.10882543,False
entreprises-radiees-en-2018,0.1073564,False
entreprises-radiees-en-2022,0.105549455,False
entreprises-radiees-en-2021,0.10273119,False
depenses-ppi-2020,0.10191605,False
batiment-communal-blagnac,0.101114765,False
depenses-ppi-2019,0.09948032,False
entreprises-radiees-en-2016,0.098951615,False
arrete-de-numerotage-003-23,0.09889194,False
liste-des-zb-cb-test2,0.09882246,False
cb-contrat-de-territoire-test-formation,0.09842364,False
depenses-ppi-2022,0.097701676,False
entreprises-radiees-en-2017,0.09727051,False
depenses-ppi-2021,0.096780814,False
depenses-ppi-2018,0.09609862,False
societes-radiees-en-2015,0.09184965,False
perimetres-des-scot,0.090540655,False
test-dintegration-pour-lenrichissement-de-lannuaire-de-service-public-fr,0.0895907,False
depense-de-fonctionnement-par-service-2020,0.088677995,False
depenses-ppi-2016,0.08816353,False
entreprises-radiees-en-2023,0.08759311,False
depense-de-fonctionnement-par-service-2019,0.08663382,False
depenses-ppi-2015,0.08490324,False
compte-administratif-2020,0.08477122,False
depenses-ppi-2017,0.08474183,False
serres-05,0.08401,False
depense-de-fonctionnement-par-service-2018,0.08197242,False
parc-isle-2020-3,0.08183771,False
etudes-et-resultats,0.08119394,True
compte-administratif-2019,0.08104086,False
lieux-de-vote-2020,0.07911644,False
societes-immatriculees-en-2015,0.07849668,False
grands-projets-votes-en-2019,0.07624651,False
compte-administratif-2018,0.07424674,False
bp-2018,0.073393404,False
bp-2018-3,0.073393404,False
services-publics44,0.07274068,False
depenses-de-fonctionnement-par-service-2016-1,0.07252614,False
depenses-dinvestissement-par-service-2016-1,0.0686512,False
entreprises-radiees-en-2019-cu-grand-poitiers,0.068355866,False
debordement-de-la-seine-janvier-2018,0.068057835,False
compte-administratif-2016-4,0.06359797,False
liste-des-marches-2018,0.0632352,False
pfe2015,0.060442023,False
compte-administratif-2015-3,0.060085863,False
depenses-2014-par-service,0.05894232,False
marches-2017,0.058496915,False
depenses-2013-par-service,0.05703229,False
gwas-results,0.056427386,False
controles-dacces,0.04309686,False
panneaux-zone-30,0.038310483,False
entreprises-marchandes-concentration-des-depenses-564821,0.03572935,False
