slug,score,in_gd4h
tvb-milieux-bocagers-reservoirs,0.317957,False
tvb-milieux-bocagers-reservoirs-1,0.317957,False
tvb-milieux-humides-reservoirs-1,0.3179374,False
tvb-milieux-humides-reservoirs,0.3179374,False
tvb-milieux-bocagers-corridors-1,0.3176026,False
tvb-milieux-bocagers-corridors,0.3176026,False
tvb-bois-alluviaux-corridors-1,0.31737292,False
tvb-bois-alluviaux-corridors,0.31737292,False
tvb-bois-alluviaux-reservoirs,0.3170508,False
tvb-milieux-ouverts-reservoirs,0.31703943,False
tvb-milieux-humides-corridors-1,0.31694937,False
tvb-milieux-humides-corridors,0.31694937,False
tvb-milieux-ouverts-corridors,0.31641635,False
tvb-bois-non-alluviaux-reservoirs-1,0.31578675,False
tvb-bois-non-alluviaux-reservoirs,0.31578675,False
tvb-bois-non-alluviaux-corridors,0.3147035,False
tvb-pelouses-seches-calcicoles-corridors-1,0.3116182,False
tvb-pelouses-seches-calcicoles-corridors,0.3116182,False
tvb-pelouses-seches-calcicoles-reservoirs,0.31108937,False
tvb-plan-eau-reservoirs,0.31090024,False
tvb-plan-eau-corridors,0.31089342,False
cours-deau-trames-vertes-et-bleues-locales,0.2934856,False
aires-de-protection-de-biotope-de-type-ponctuel-sur-le-departement-du-cher,0.25723886,False
aires-de-protection-de-biotope-sur-le-departement-du-cher,0.25525284,False
reserve-naturelle-nationale-et-perimetre-de-protection-associe-dans-le-loiret,0.25283062,False
reserve-naturelle-nationale-et-perimetre-de-protection-associe-dans-le-loiret-1,0.25283062,False
dreal-lr-reserve-naturelle-nationale-et-perimetre-de-protection-associe-en-languedoc-roussillon-1,0.25277802,False
dtt05-aires-de-protection-de-biotope-du-departement-des-hautes-alpes,0.25190797,False
aire-de-protection-de-biotope-apb-en-lorraine,0.2514294,False
reserve-naturelle-nationale-rnn-et-perimetre-de-protection-associe-en-lorraine,0.25083137,False
aire-de-protection-de-biotope-en-seine-et-marne,0.25050998,False
aire-de-protection-de-biotope-dans-le-loiret,0.25042692,False
aire-de-protection-de-biotope-haute-garonne,0.2502693,False
aire-de-protection-de-biotope-dans-le-loiret-1,0.24948995,False
arrete-prefectoral-de-protection-de-biotope-de-auvergne-rhone-alpes,0.24662279,False
aire-de-protection-de-biotope-apb-en-pas-de-calais,0.24392438,False
aire-de-protection-de-biotope-du-cantal,0.24288258,False
reserve-biologique-dirigee-ou-integrale-en-pas-de-calais,0.24238472,False
arrete-prefectoral-de-protection-de-biotope-appb-en-franche-comte,0.24156977,False
reserves-naturelles-nationales-rnn-en-bourgogne-franche-comte-1,0.23698215,False
reserve-naturelle-nationale-de-auvergne-rhone-alpes,0.23377725,False
reserves-de-chasse-et-de-faune-sauvage-sur-le-departement-du-cher-1,0.23028767,False
reserves-de-chasse-et-de-faune-sauvage-sur-le-departement-du-cher,0.23028767,False
arrete-prefectoral-de-protection-de-biotope-appb-en-bourgogne-franche-comte,0.2301712,False
reserves-naturelles-regionales-rnr-en-bourgogne-franche-comte-1,0.22603256,False
reserves-naturelles-nationales-rnn-en-pays-de-la-loire,0.22565122,False
nouvelle-aquitaine-reserve-naturelle-nationale-rnn-perimetres-surfacique,0.22366367,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-2-dans-le-loiret-1,0.22295538,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-2-dans-le-loiret,0.22295538,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-2-en-seine-et-marne,0.22252576,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-1-dans-le-loiret,0.22198586,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-1-dans-le-cantal,0.22096486,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-2-en-pas-de-calais,0.22080559,False
reserve-naturelle-dans-la-sarthe,0.21974435,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-1-sur-le-departement-du-cher,0.21894701,False
reserves-naturelles-situees-sur-le-departement-du-cher,0.21756768,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-1-en-pas-de-calais,0.21725968,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-1-en-seine-et-marne,0.21701239,False
parcs-naturels-regionaux-reservoirs-de-biodiversite,0.21643126,False
reserves-naturelles-generatrices-de-servitudes-ac3-en-languedoc-roussillon,0.21609934,False
zones-humides-corridors-ecologiques-srce,0.2155307,False
reserves-naturelles-regionales-de-bretagne,0.21549144,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-2,0.21519995,False
servitudes-ac3-generateurs-relatifs-aux-reserves-naturelles-en-loir-et-cher,0.21459466,False
les-reserves-naturelles-en-seine-et-marne,0.21308091,False
znieff-zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-ii-1ere-generation-en-pays-de-la-loire-donnees-historiques,0.21304747,False
znieff-zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-i-en-pays-de-la-loire,0.21279639,False
znieff-zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-i-1ere-generation-en-pays-de-la-loire-donnees-historiques,0.21127327,False
aires-de-protection-de-biotope-apb-en-pays-de-la-loire,0.21071151,False
reserves-biologiques-forestieres-de-lonf-pour-le-departement-des-vosges,0.21051763,False
milieux-prairiaux-corridors-ecologiques-srce-1,0.21028914,False
milieux-prairiaux-corridors-ecologiques-srce,0.21028914,False
milieux-boises-corridors-ecologiques-srce-1,0.20993367,False
milieux-boises-corridors-ecologiques-srce,0.20993367,False
srce-corridors-territoires-assurant-des-connexions-entre-des-reservoirs-de-biodiversite-en-pays-de-la-loire,0.20975535,False
reserves-naturelles-volontaires-rnv-en-pays-de-la-loire,0.2097545,False
zones-naturelles-dinteret-ecologique-faunistique-et-floristique-znieff-type-2,0.20860095,False
reserves-naturelles-regionales-des-hauts-de-france,0.20803578,False
srce-corridors-ecologiques-assurant-des-connexions-entre-des-reservoirs-de-biodiversite-et-cartographies-comme-axes-lineaires-en-pays-de-la-loire,0.20768657,False
schema-regional-de-coherence-ecologique-srce-de-lorraine-reservoirs-de-biodiversite-corridors,0.20694478,False
reserves-naturelles-generatrices-de-servitudes-ac3-en-pas-de-calais,0.20685026,False
surface-en-hectares-de-znieff-par-canton-annee-2015,0.20676981,False
cours-deau-reservoirs-de-biodiversite-srce,0.20650236,False
reserves-biologiques-diffusion-publique,0.20633183,True
dreal-lr-pna-pie-grieche-grise-en-languedoc-roussillon,0.20619786,False
zones-humides-reservoirs-de-biodiversite-srce,0.2056157,False
zones-de-protection-liees-aux-servitudes-de-la-categorie-ac3-reserve-naturelle-regionale-en-correze,0.20555438,False
reserves-naturelles-regionales-rnr,0.20474069,False
trame-verte-et-bleue,0.20443477,False
reserve-integrale-de-parc-national-de-auvergne-rhone-alpes,0.20406705,False
znieff-zones-naturelles-dinteret-ecologique-faunistique-et-floristique-de-type-ii-en-pays-de-la-loire,0.203727,False
pelouses-et-lisieres-seches-sur-sols-calcaires-corridors-ecologiques-srce,0.20297867,False
reserves-naturelles-regionales,0.20233592,False
reservoirs-de-biodiversite,0.20232515,False
dreal-lr-pna-pies-grieches-meridionales-en-languedoc-roussillon,0.20220737,False
