slug,score,in_gd4h
electro-mob-1,0.32000023,False
electro-mob-19,0.31565112,False
electro-mob-23,0.31565112,False
electro-mob-21,0.31565112,False
electro-mob-34,0.31548545,False
electro-mob-22,0.31548545,False
electro-mob-18,0.31548545,False
electro-mob-24,0.31548545,False
electro-mob-25,0.3148004,False
electro-mob-5,0.31406823,False
electro-mob-2,0.31406823,False
electro-mob-4,0.31406823,False
electro-mob-3,0.31406823,False
electro-mob-40,0.31384405,False
electro-mob-20,0.3114762,False
electro-mob-16,0.3114762,False
electro-mob,0.31043676,False
electro-mob-electro-mob,0.3071494,False
bornes-de-recharge-pouur-vehicules-electriques,0.28029865,False
infrastructure-de-recharge-vehicule-electrique,0.26673928,False
electro-mobility-6,0.26298022,False
irve-1,0.25253344,False
centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt1-dans-la-somme,0.24973577,False
servitudes-de-protection-des-centres-de-reception-radioelectriques-contre-les-perturbations-electromagnetiques,0.24890323,False
centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt1-en-pas-de-calais-2,0.24812199,False
centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt1-en-pas-de-calais,0.24812199,False
irve-statique-organisation-societe-d-installation-de-plomberie-electricite-chauffage-et-climatisation-1,0.24797224,False
servitudes-pt1-generateurs-relatives-a-la-protection-des-centres-de-reception-radioelectriques-contre-les-perturbations-electromagnetiques-en-loir-et-cher,0.24787438,False
sup-pt1-centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt1,0.24499348,False
zones-de-protection-ou-de-garde-liees-aux-servitudes-pt1-centres-de-receptions-radioelectriques-en-correze,0.24385135,False
centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt1-en-pas-de-calais-1,0.24373522,False
electro-mobility-7,0.2434117,False
sup-pt1-zones-de-protection-ou-de-garde-des-centres-de-receptions-radioelectriques,0.2433225,False
centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt1-en-eure-et-loir-28,0.24259135,False
electro-mobility-9,0.24199767,False
electro-mob-35,0.2409304,False
table-contenant-les-assiettes-surfaciques-liees-aux-servitudes-de-la-categorie-pt1,0.24048461,False
electro-mob-9,0.24045014,False
electro-mob-8,0.24045014,False
electro-mob-7,0.24045014,False
electro-mob-6,0.24045014,False
electro-mob-13,0.23978464,False
electro-mob-37,0.23976092,False
electro-mob-36,0.23976092,False
electro-mob-38,0.23976092,False
zones-de-protection-ou-de-garde-liees-aux-servitudes-pt1-centres-de-receptions-radioelectriques-dans-la-somme,0.23845163,False
zones-de-protection-ou-de-garde-liees-aux-servitudes-pt1-centres-de-receptions-radioelectriques-en-eure-et-loir-28,0.2379398,False
electro-mob-29,0.23770799,False
electro-mob-26,0.23770799,False
electro-mob-30,0.23770799,False
zones-et-secteurs-de-degagement-lies-aux-servitudes-pt2-centres-de-receptions-radioelectriques-en-correze,0.23702276,False
irve-statique-organisation-societe-d-installation-de-plomberie-electricite-chauffage-et-climatisation,0.23634858,False
electro-mob-10,0.2356023,False
electro-mob-11,0.2356023,False
electro-mob-12,0.2356023,False
infrastructure-de-recharge-pour-vehicules-electriques-irve-sainte-adresse,0.23451762,False
electro-mob-17,0.23340519,False
centres-de-receptions-radioelectriques-generateurs-de-servitudes-pt2-en-pas-de-calais-1,0.23215331,False
