slug,score,in_gd4h
point-de-prelevement-deau-a-usage-industriel,0.3999017,True
point-de-prelevement-deau-a-usage-agricole,0.3979002,True
point-de-prelevement-deau-pour-la-production-deau-potable,0.39023107,True
prise-deau-a-usage-hydroelectrique,0.38524675,True
point-de-restitution-deau-a-usage-hydroelectrique,0.38163432,True
schemas-damenagement-et-de-gestion-des-eaux-sage-metropole,0.3807975,True
point-de-rejet-collectivite,0.37943363,True
cours-deau-en-tres-bon-etat-sdage-2016-2021,0.3780551,True
services-publics-deau-potable-description-et-indicateurs-de-performance,0.3756533,True
services-publics-deau-potable-jeux-de-donnees-exploites-pour-les-rapports-nationaux-sispea,0.3740118,True
schemas-damenagement-et-de-gestion-des-eaux-sage-reunion,0.37379366,True
services-publics-dassainissement-non-collectif-composition-communale-des-services,0.37277132,True
station-depuration-collective,0.3720703,True
services-publics-dassainissement-collectif-composition-communale-des-services,0.37131125,True
services-publics-dassainissement-collectif-jeux-de-donnees-exploites-pour-les-rapports-nationaux-sispea,0.367182,True
services-publics-dassainissement-collectif-description-et-indicateurs-de-performance,0.3645732,True
cours-deau-reserves,0.3642656,True
services-publics-dassainissement-non-collectif-description-et-indicateurs-de-performance,0.36357144,True
station-depuration-industrielle,0.362001,True
services-publics-dassainissement-non-collectif-jeux-de-donnees-exploites-pour-les-rapports-nationaux-sispea,0.36092457,True
point-de-rejet-industriel,0.36017618,True
plans-de-gestion-des-etiages-pge,0.35455143,True
point-deau-pte,0.35253975,True
zone-a-enjeu-environnemental-zee,0.34896806,True
donnees-de-rejet-des-industriels,0.34882757,True
etablissements-industriels,0.34832197,True
entites-hydrogeologiques-reunion,0.34625053,True
entites-hydrogeologiques-guyane,0.34254977,True
entites-hydrogeologiques-mayotte,0.34220007,True
entites-hydrogeologiques-guadeloupe,0.34028554,True
entites-hydrogeologiques-metropole,0.3399564,True
hydroecoregions-de-niveau-2-her-2,0.33888307,True
entites-hydrogeologiques-martinique,0.3382492,True
hydroecoregions-de-niveau-1-her-1,0.3370361,True
resultats-du-controle-sanitaire-de-leau-du-robinet,0.33632538,True
aires-dalimentation-de-captage-metropole,0.33496562,True
aires-dalimentation-de-captages-france-entiere,0.33475244,True
barrages,0.3320022,True
donnees-de-rejet-des-collectivites,0.3299114,True
nappes-alluviales,0.32798642,True
sables-du-tertiaire,0.32754153,True
aires-dalimentation-de-captage-guadeloupe,0.32653302,True
donnees-de-prelevement,0.32490957,True
sables-du-quaternaire,0.32300404,True
zones-sensibles-metropole,0.32247835,True
obstacles-en-riviere,0.32205948,True
contrats-de-milieu-metropole,0.31925794,True
rapportage-directive-cadre-sur-leau-2010-limites-des-bassins-dce-metropolitains-au-format-wise,0.31785375,True
mise-a-jour-de-letat-des-lieux-du-sdage-du-bassin-adour-garonne-pressions-exercees-par-les-ouvrages-en-riviere-sur-le-regime-hydrologique-des-cours-deau,0.31325522,True
craie,0.31235403,True
zones-sensibles-reunion,0.3109441,True
calcaires,0.3093033,True
obstacles-a-lecoulement-reunion,0.3085054,True
district-international-escaut,0.30779308,True
zones-sensibles-guadeloupe,0.30773115,True
perimetre-de-gestion-collective-pgc-metropole,0.30699405,True
prelevements-en-eau-bulletin-annuel,0.3062869,True
rapportage-directive-cadre-sur-leau-2010-limites-des-bassins-dce-ultramarins,0.30604973,True
districts-internationaux,0.3054096,True
ouvrages-de-prelevement-reunion,0.30363154,True
zones-de-repartition-des-eaux-zre-metropole,0.30346337,True
sites-hydrometriques-metropole,0.3021014,True
district-escaut-autorites,0.3018995,True
bassins-dce,0.2999825,True
etude-et-donnees-pour-la-mise-a-jour-de-letat-des-lieux-du-sdage-du-bassin-adour-garonne-phase-pression-impact-des-eaux-superficielles,0.29914334,True
failles,0.29892612,True
usines-hydroelectriques,0.29876396,True
zones-sensibles-france-entiere,0.2973434,True
ouvrages-de-prelevement-metropole,0.29553002,True
observatoire-national-des-etiages-bulletin-annuel,0.29354075,True
stations-hydrometriques-de-vigilance-crues-metropole,0.29326862,True
