slug,score,in_gd4h
cours-deau-pour-la-conditionnalite-dans-laube,0.41894814,False
cours-deau-pour-la-conditionnalite-dans-leure,0.40979165,False
cours-deau-pour-la-conditionnalite-departement-de-tarn-et-garonne,0.4093712,False
cours-deau-pour-la-conditionnalite-dans-la-sarthe,0.40841368,False
eau-cours-deau-pour-la-conditionnalite-en-loir-et-cher,0.40217996,False
eau-cours-deau-pour-la-conditionnalite,0.402018,False
point-de-prelevement-deau-a-usage-industriel,0.3999017,True
complement-des-cours-deau-pour-la-conditionnalite-dans-les-alpes-de-haute-provence,0.3992455,False
emprises-des-plans-deau-douce-relevant-de-la-loi-sur-leau-dans-le-departement-des-landes,0.39851558,False
point-de-prelevement-deau-a-usage-agricole,0.3979002,True
cours-deau-retenus-pour-la-mise-en-place-de-couverts-environnementaux-pac-dans-le-departement-des-landes,0.39627525,False
point-de-prelevement-deau-pour-la-production-deau-potable,0.39023107,True
perimetres-des-schemas-damenagement-et-de-gestion-des-eaux-dans-le-gard,0.3876267,False
sage-perimetres-des-schemas-damenagement-et-de-gestion-des-eaux-isere,0.38756734,False
zones-dapplication-des-schemas-damenagement-et-de-gestion-des-eaux-sage-en-pays-de-la-loire,0.38616508,False
sage-zones-dapplication-des-schemas-damenagement-et-de-gestion-des-eaux-en-pays-de-la-loire,0.3853111,False
prise-deau-a-usage-hydroelectrique,0.38524675,True
eau-perimetres-des-schemas-damenagement-et-de-gestion-des-eaux-en-loir-et-cher,0.3844307,False
perimetre-du-schema-damenagement-et-de-gestion-des-eaux-artois-picardie,0.38179895,False
point-de-restitution-deau-a-usage-hydroelectrique,0.38163432,True
cours-deau-entrant-dans-le-champ-dapplication-de-la-conditionnalite-des-aides-directes-de-la-politique-agricole-commune-dans-le-departement-de-la-marne,0.38152996,False
schemas-damenagement-et-de-gestion-des-eaux-sage-metropole,0.3807975,True
point-de-rejet-collectivite,0.37943363,True
point-de-prelevement-deau-au-milieu-naturel-effectue-pour-lirrigation-tarn,0.378222,False
schemas-damenagement-et-de-gestion-des-eaux-sage-en-bretagne,0.37815404,False
cours-deau-en-tres-bon-etat-sdage-2016-2021,0.3780551,True
perimetre-du-schema-damenagement-et-de-gestion-des-eaux-artois-picardie-1,0.3774189,False
ddt-48-perimetres-sage,0.37652877,False
services-publics-deau-potable-description-et-indicateurs-de-performance,0.3756533,True
services-publics-deau-potable-jeux-de-donnees-exploites-pour-les-rapports-nationaux-sispea,0.3740118,True
schemas-damenagement-et-de-gestion-des-eaux-sage-reunion,0.37379366,True
emprises-des-plan-deau-douce-sur-le-departement-du-cher,0.3732434,False
services-publics-dassainissement-non-collectif-composition-communale-des-services,0.37277132,True
eau-point-de-prelevement-deau-au-milieu-naturel-effectue-pour-lirrigation-en-loir-et-cher,0.37208015,False
station-depuration-collective,0.3720703,True
cours-deau-non-domanial-soumis-a-la-loi-sur-leau-dans-la-somme,0.3718285,False
ddt-48-perimetres-sdage,0.3714513,False
services-publics-dassainissement-collectif-composition-communale-des-services,0.37131125,True
perimetres-de-sage-bassins-versants,0.37072903,False
cours-deau-retenus-au-titre-de-la-bcae-et-de-la-conditionnalite-en-haute-garonne,0.3698038,False
point-de-prelevement-deau-au-milieu-naturel-effectue-pour-lirrigation-haute-garonne,0.36964703,False
nouvelle-aquitaine-schema-directeur-damenagement-et-de-gestion-des-eaux-sdage-en-france-perimetres-surfacique,0.36751753,False
services-publics-dassainissement-collectif-jeux-de-donnees-exploites-pour-les-rapports-nationaux-sispea,0.367182,True
conditionnalite-dans-leure,0.3668762,False
zones-dexpertise-complete-inventaire-des-cours-deau-police-de-leau-en-aveyron,0.3660776,False
domaine-public-fluvial-dpf-cours-deau-a-gestion-domaniale-hautes-pyrenees,0.36590976,False
impacts-eau-issus-de-la-plateforme-bilan-h2o,0.36507463,False
services-publics-dassainissement-collectif-description-et-indicateurs-de-performance,0.3645732,True
cours-deau-reserves,0.3642656,True
cours-deau-a-gestion-domaniale-en-saone-et-loire,0.36424252,False
cours-deau-soumis-a-bandes-enherbees-hautes-pyrenees,0.3639964,False
services-publics-dassainissement-non-collectif-description-et-indicateurs-de-performance,0.36357144,True
nouvelle-aquitaine-schemas-damenagement-et-de-gestion-des-eaux-sage-perimetres-surfacique,0.36291498,False
cours-deau-de-reference-pour-les-regles-de-bonnes-conditions-agricoles-et-environnementales-bcae-ille-et-vilaine,0.36226,False
station-depuration-industrielle,0.362001,True
plan-deau-douce-emprise,0.36179546,False
services-publics-dassainissement-non-collectif-jeux-de-donnees-exploites-pour-les-rapports-nationaux-sispea,0.36092457,True
point-de-rejet-industriel,0.36017618,True
cartographie-des-cours-deau-haute-loire,0.3566744,False
perimetre-du-sage-estuaire-de-la-loire-2,0.3560404,False
perimetre-du-sage-estuaire-de-la-loire-1,0.3560404,False
cours-deau-soumis-a-la-loi-sur-leau-dans-la-nievre-58,0.35508165,False
eau-autre-point-de-prelevement-deau-au-milieu-naturel-en-loir-et-cher,0.3550065,False
plans-de-gestion-des-etiages-pge,0.35455143,True
aires-dalimentation-de-captages-prioritaires-destines-a-lalimentation-en-eau-potable-dans-le-departement-de-lallier,0.35333297,False
volume-deau-facture-par-commune,0.3529687,False
donnees-cours-deau-a-preserver-prioritairement-sage-ill-nappe-rhin-2013,0.35264522,False
point-deau-pte,0.35253975,True
perimetres-des-sage-3,0.35213193,False
zone-alimentee-en-aep-a-partir-dune-meme-ressource-en-charente,0.3520979,False
zones-dalerte-secheresse-concernant-les-eaux-superficielles-en-haute-savoie,0.35178754,False
cartographie-des-cours-deaux-au-titre-de-la-police-de-leau-au-5-juillet-2017,0.35132173,False
repartition-des-competences-police-de-leau-en-cote-dor,0.35113806,False
perimetres-de-protections-liees-aux-servitudes-de-la-categorie-as1-protection-des-eaux-dans-la-somme,0.35091904,False
zone-a-enjeu-environnemental-zee,0.34896806,True
donnees-de-rejet-des-industriels,0.34882757,True
contrats-de-riviere-dans-le-gard,0.34860352,False
etablissements-industriels,0.34832197,True
lit-majeur-des-cours-deau-dans-leure,0.34697866,False
communes-concernees-par-un-contrat-de-milieu-isere,0.34676227,False
localisation-des-plans-deau-soumis-a-un-reglement-particulier-de-la-police-de-la-navigation-rppn,0.3466326,False
entites-hydrogeologiques-reunion,0.34625053,True
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-30,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-34,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-35,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-29,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-36,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-28,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-33,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-27,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-32,0.34511182,False
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-31,0.34511182,False
