slug,score,in_gd4h
niveaux-de-vigilance-pollution-atmospherique-pour-les-bassins-dair-auvergne-rhone-alpes,0.31782255,True
donnees-temps-reel-de-mesure-des-concentrations-de-polluants-atmospheriques-reglementes-1,0.31076455,True
indice-de-la-qualite-de-lair-quotidien-par-commune,0.2889938,True
mise-a-disposition-de-donnees-de-qualite-de-lair-sur-la-france-www-prevair-org-1,0.28780746,True
base-de-donnee-de-surveillance-de-pesticides-dans-l-air-par-les-aasqa-a-partir-de-2002,0.26333222,True
arboclimat-base-de-donnees-stockage-carbone,0.23011512,True
indice-de-qualite-de-lair-par-commune-pour-j-1-j-j-1,0.22848935,True
episodes-de-pollution-prevus-ou-constates-wfs,0.22725838,True
arboclimat-base-de-donnees-de-simulation-simple,0.22386973,True
concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-en-region-auvergne-rhone-alpes-sur-la-derniere-annee-glissante,0.20097528,True
recours-aux-soins-durgence-pour-infection-respiratoire-aigue-oscour-r-et-sos-medecins,0.19989564,True
concentrations-moyennes-journalieres-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-auvergne-rhone-alpes-sur-la-derniere-annee,0.19788945,True
risque-allergique-lie-aux-pollens-de-la-metropole-de-lyon-dernier-bulletin,0.18694903,True
exposition-de-la-population-francaise-aux-rayonnements-ionisants,0.18342926,True
risque-allergique-lie-aux-pollens-de-la-metropole-de-lyon-historique,0.18208742,True
niveaux-annuels-de-polluants-dans-lair-ambiant-issus-de-la-modelisation-sur-la-region-auvergne-rhone-alpes-en-2015,0.16342142,True
