slug,score,in_gd4h
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-ambes-1,0.40674296,False
surveillance-de-la-qualite-de-l-air-station-periurbaines-de-fond-ambes-rdl,0.40674296,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-ambes,0.40674296,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-ambes-2,0.40674296,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-ambes1,0.4066302,False
surveillance-de-la-qualite-de-lair-des-stations-de-bordeaux-gambetta,0.40628904,False
surveillance-de-la-qualite-de-lair-de-la-station-de-bassens,0.40602008,False
surveillance-de-la-qualite-de-lair-des-stations-de-bordeaux-metropole,0.40570897,False
surveillance-de-la-qualite-de-l-air-station-proximite-automobile-de-bordeaux-gambetta-rdl,0.40440375,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-bordeaux-gambetta-2,0.40440375,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-bordeaux-gambetta,0.40440375,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-bordeaux-gambetta-1,0.40440375,False
surveillance-de-la-qualite-de-lair-de-la-station-de-talence,0.40436837,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-bordeaux-bastide-1,0.40390438,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-bordeaux-bastide,0.40390438,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-bordeaux-bastide-2,0.40390438,False
surveillance-de-la-qualite-de-l-air-station-proximite-automobile-de-bordeaux-bastide-rdl,0.40390438,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-merignac-2,0.40384105,False
surveillance-de-la-qualite-de-l-air-station-proximite-automobile-de-merignac-rdl,0.40384105,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-merignac-1,0.40384105,False
surveillance-de-la-qualite-de-lair-station-proximite-automobile-de-merignac,0.40384105,False
surveillance-de-la-qualite-de-lair-de-la-station-de-merignac,0.40363234,False
surveillance-de-la-qualite-de-lair-des-stations-de-bordeaux-bastide,0.4027098,False
surveillance-de-la-qualite-de-lair-des-stations-de-bordeaux-grand-parc,0.39680034,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-de-saint-sulpice-et-cameyrac-2,0.3959455,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-de-saint-sulpice-et-cameyrac,0.3959455,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-de-saint-sulpice-et-cameyrac-1,0.3959455,False
surveillance-de-la-qualite-de-l-air-station-periurbaines-de-fond-de-saint-sulpice-et-cameyrac-rdl,0.3959455,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-leognan,0.39491513,False
surveillance-de-la-qualite-de-l-air-station-periurbaines-de-fond-leognan-rdl,0.39491513,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-leognan-2,0.39491513,False
surveillance-de-la-qualite-de-lair-station-periurbaines-de-fond-leognan-1,0.39491513,False
surveillance-de-la-qualite-de-lair-de-la-station-de-leognan,0.39318928,False
qualite-de-lair-indice-atmo-pays-de-la-loire-par-communes,0.3600527,False
qualite-de-lair-indice-atmo-pays-de-la-loire-par-epci,0.35886788,False
barometre-airparif-indicateur-atmo,0.3584664,False
qualite-de-lair-indice-atmo-pays-de-la-loire-2017-2020,0.35631078,False
indice-de-qualite-de-lair-de-la-region-grand-est-de-lannee-civile-en-cours,0.34143546,False
indices-de-la-qualite-de-lair-a-la-commune-sur-3-jours-2,0.3367004,False
qualite-de-lair-indice-atmo-a-partir-de-2021,0.33463237,False
indice-de-qualite-de-lair-atmo,0.33433068,False
indices-qualite-de-lair-citeair-journaliers-par-polluant-sur-lile-de-france-les-departements-les-communes-franciliennes-et-les-arrondissements-parisiens,0.33428344,False
indices-de-la-qualite-de-lair-a-la-commune-2,0.33423862,False
indice-de-qualite-de-lair-de-la-region-grand-est-pour-la-veille-et-le-jour-j-jusqua-j-3,0.3306601,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens-2,0.32770061,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens-1,0.32770061,False
surveillance-de-la-qualite-de-lair-station-urbaine-de-fond-bassens,0.32770061,False
surveillance-de-la-qualite-de-l-air-station-urbaine-de-fond-bassens-rdl,0.32770061,False
ancien-indice-atmo-des-principales-agglomerations-de-la-region-sud,0.32488948,False
indice-atmo,0.32475197,False
niveaux-de-vigilance-pollution-atmospherique-pour-les-bassins-dair-auvergne-rhone-alpes,0.31782255,True
communes-sensibles-a-la-pollution-de-lair-en-bourgogne,0.3151866,False
qualite-de-lair-exposition-des-parisen-ne-s-au-no2-et-pm2-5,0.31450412,False
donnees-temps-reel-de-mesure-des-concentrations-de-polluants-atmospheriques-reglementes-1,0.31076455,True
indicateurs-2018-2020-air-sante,0.3036164,False
mesures-de-la-qualite-de-l-air,0.3010349,False
mesure-de-la-station-de-surveillance-de-la-qualite-de-lair-roubaix-serre-pour-trois-polluants-atmospheriques-2010-2019-1,0.29976016,False
mesure-de-la-station-de-surveillance-de-la-qualite-de-lair-roubaix-serre-pour-trois-polluants-atmospheriques-2010-2019,0.29976016,False
indicateurs-air-et-sante-2019-2021-revise,0.29811418,False
e4914b81-7cc8-4287-96d6-4d8b0aff96ea-uuid,0.29795125,False
episodes-de-pollution-prevus-ou-constates-2,0.29545054,False
episodes-de-pollution-prevus-ou-constates-complets-1,0.2936793,False
episodes-de-pollution-prevus-ou-constates-complets,0.2936793,False
episodes-de-pollution-prevus-ou-constates,0.29367614,False
episode-de-pollution-departement-de-la-haute-garonne-qualite-de-lair,0.2935173,False
c693f528-0651-474a-9315-7ffedd946faf-uuid,0.29345536,False
06613de3-00ed-4a02-a642-0be0168be377-uuid,0.29325292,False
371f8546-e4fc-41df-8991-53e72f7ddafc-uuid,0.29296058,False
indicateurs-air-sante-2017-2019,0.2923142,False
indice-de-la-qualite-de-lair-quotidien-par-commune,0.2889938,True
indices-annuels-de-qualit-de-lair,0.28853336,False
indices-annuels-de-qualite-de-l-air-nd,0.28853336,False
mise-a-disposition-de-donnees-de-qualite-de-lair-sur-la-france-www-prevair-org-1,0.28780746,True
episodes-de-pollution-pour-les-departements-de-la-region-centre-val-de-loire-de-la-veille-jusquau-lendemain-3,0.28517652,False
00b9af8e-fd78-4e2a-ad57-42f8c8164771-uuid,0.28509632,False
c2a75f5d-9b39-4de7-9109-6be19b2ed5f7-uuid,0.28364423,False
indice-d-evolution-du-nombre-de-velos-selon-l-observatoire-des-deplacements-de-la-ville-de-paris,0.2828237,False
qualite-de-lair-niveau-de-ozone-o3-en-pays-de-la-loire,0.2813916,False
indice-iqa-de-la-qualite-de-l-air,0.27993226,False
indice-atmo-journalier-a-nantes-laod,0.27977523,False
episode-de-pollution-pour-les-departements-du-grand-est-pour-lannee-precedente-jusqua-la-veille,0.27875224,False
