slug,score,in_gd4h
liste-des-ateliers-de-decoupe-de-viandes-d-animaux-de-boucherie-agrees-ce-meat-of-domestic--30379170,0.13926622,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-viande-fraiche-de-boucherie-hors-viande-hachee-exempted-establishments-from-eu-approval-agreement-meat-of-domestic-ungulates-cutting-plant,0.13532493,True
centres-de-rassemblement-agrees-pour-echanges-intracommunautaires-bovins-porcins-dir-64-432-cee-equides-90-426-cee-ovins-caprins-91-68-cee-1,0.124214925,True
liste-des-centres-de-stockage-de-sperme-agrees-pour-les-echanges-intracommunautaires-despece-danimaux-domestiques-de-lespece-bovine-dir-88-407-cee-1,0.12397823,True
liste-des-etablissements-agrees-salmonelle-pour-la-production-daliments-pour-animaux,0.12010904,True
liste-des-etablissements-et-des-zones-conchylicoles-agrees-ce,0.11989308,True
liste-des-centres-de-collecte-de-sperme-agrees-pour-echanges-intracommunautaires-de-sperme-danimaux-domestiques-de-lespece-equine-dir-92-65-cee-1,0.118527696,True
liste-des-etablissements-pour-les-volailles-directive-90-539-cee-1,0.11840663,True
centres-de-collecte-de-sperme-agrees-pour-les-echanges-intracommunautaires-de-sperme-danimaux-domestiques-de-lespece-bovine-directive-88-407-cee-1,0.11718367,True
liste-des-fermes-aquacoles-disposant-dun-agrement-zoo-sanitaire,0.11648809,True
liste-des-etablissements-agrees-salmonelle-pour-la-production-daliments-pour-animaux-1,0.11450528,True
viandes-de-volailles-et-lagomorphes-meat-from-poultry-and-lagomorphs,0.11256298,True
liste-des-etablissements-de-boucherie-autorises-a-detenir-et-desosser-des-viandes-de-bovins-30-mois-contenant-de-los-vertebral,0.11243956,True
viandes-dongules-domestiques-meat-of-domestic-ungulates,0.11090285,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-cuisses-de-grenouilles-exempted-establishments-from-eu-approval-agreement-frogs-legs,0.10881474,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-produits-transformes-de-la-peche-exempted-establishments-from-eu-approval-agreement-fishery-products-processing-plant-wholesale-market-auction-hal,0.10857832,True
liste-des-centres-de-collecte-de-sperme-agrees-pour-echanges-intracommunautaires-de-sperme-danimaux-domestiques-de-lespece-equine-dir-92-65-cee-list-of-approved-semen-collection-centres-for-intra-community-trade-in-semen-of-domestic-animals-of-the,0.10818897,True
viandes-de-gibier-delevage-meat-of-farmed-game-cutting-plant,0.1071907,True
liste-des-etablissements-enregistres-au-titre-de-larrete-ministeriel-du-28-fevrier-2000-1,0.10704002,True
liste-des-etablissements-enregistrees-au-titre-du-reglement-ce-ndeg183-2005,0.10478099,True
graisses-animales-fondues-et-cretons-rendered-animal-fats-and-greaves,0.10360421,True
liste-des-etablissements-agrees-au-titre-du-reglement-ce-ndeg183-2005-2,0.102265805,True
liste-des-etablissements-agrees-au-titre-du-reglement-ce-ndeg183-2005,0.10162449,True
liste-des-etablissements-de-negoce-autorises-a-detenir-sans-proceder-a-leur-desossage-des-viandes-de-bovins-30-mois-contenant-de-los-vertebral,0.09927755,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-escargot-exempted-establishments-from-eu-approval-agreement-snails,0.09907899,True
cuisses-de-grenouille-et-escargots-frogs-legs-and-snails,0.09879314,True
produits-a-base-de-viande-meat-products,0.098069936,True
donnees-etude-de-lalimentation-totale-infantile,0.096634544,True
annuaire-alimentation-et-precarite-etudiante-dans-la-metropole-de-lyon,0.09663349,True
viandes-de-gibier-sauvage-wild-game-meat,0.09431718,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-produits-non-transformes-de-la-peche,0.09391915,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-produits-a-base-doeuf-coquille-et-ou-lait-cru-ayant-subi-un-traitement-exempted-establishments-from-eu-approval-agreement-egg-products-using-shelled-eggs-and-or-raw-milk-having-a,0.09252671,True
referentiel-droit-a-produire-du-si-peche-et-aquaculture-30378763,0.09159615,True
liste-des-negociants-agrees-et-des-installations-enregistrees-que-ces-negociants-utilisent-pour-lexercice-de-leur-profession-directives-64-432-cee-et-91-68-cee-1,0.091248445,True
referentiel-lieu-du-si-peche-et-aquaculture-30379097,0.09048409,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-pbv-pc-saucisse-crue-chair-a-saucisse-et-pv-exempted-establishments-from-eu-approval-agreement-meat-products-processing-plant,0.09004247,True
referentiel-engin-du-si-peche-et-aquaculture-30379152,0.08972979,True
referentiel-espece-du-si-peche-et-aquaculture-30378687,0.08877346,True
liste-des-etablissements-disposant-dune-derogation-a-lagrement-communautaire-lait-traite-thermiquement-et-produits-laitiers-exempted-establishments-from-eu-approval-agreement-raw-milk-and-dairy-products-processing-plant,0.08814306,True
liste-des-etablissements-agrees-ce-produisant-des-produits-hautement-raffines-highly-refined-product,0.087998405,True
referentiel-meta-donnees-du-si-peche-et-aquaculture-30378685,0.087138064,True
etudes-et-resultats,0.086858526,True
liste-des-abattoirs-autorises-a-sortir-des-viandes-a-des-temperatures-superieures-a-7degc-a-coeur,0.08465155,True
