slug,score,in_gd4h
test-158,0.25095192,False
test-152,0.25095192,False
test-146,0.25095192,False
test-116,0.25095192,False
test-156,0.25095192,False
test-164,0.24950984,False
test-92,0.24669348,False
test-167,0.24669348,False
test-gtfs-1,0.23558073,False
test-jeu-de-donnees-2,0.22547878,False
decp-aws,0.20985527,False
test-74,0.20079021,False
test-t-finess,0.19943972,False
test-decp-rama-v2,0.1975563,False
test1,0.196559,False
deliberation-du-24-10-2023-a-10h53-seance-cp-du-20231020,0.1921459,False
deliberation-seance-cp-du-06-04-2023,0.19162984,False
test-pcrs-31,0.19045174,False
sample-siren,0.18824627,False
deliberation-seance-cp-du-27-01-2023,0.18641356,False
deliberation-seance-cp-du-2023-09-22,0.1836184,False
irve-zeborne-mazdabelfort-20220707,0.18162467,False
deliberation-seance-cp-du-10-03-2023,0.17882994,False
arcgis-server-wfs-test-3,0.17875232,False
osm-qgz-gpkg-et-frontalier-prdg-fxx-ed214-1,0.17854542,False
aife-de-13001977100018-7,0.17737785,False
subventions-test-1,0.17715153,False
deliberation-seance-cp-du-12-05-2022,0.17696328,False
jeu-de-donnee-de-test,0.17678115,False
deliberation-cd-01-01-2019,0.17627412,False
osm-qgz-gpkg-et-frontalier-prdg-fxx-ed214,0.17053919,False
gtfs-ete,0.16978389,False
publication-du-20-06-2023-a-10h57-seance-cp-du-20230616,0.16948444,False
test-brest-derniere-version-gtfs,0.16920166,False
deliberation-seance-cp-du-16-12-2022,0.1691917,False
deliberation-seance-cd-du-06-04-2023,0.16586149,False
finances-locales-5,0.1548365,False
11-station-meteo-toulouse-soupetard-archive-2019,0.15446046,False
11-station-meteo-toulouse-soupetard-archive-2021,0.15445386,False
13-station-meteo-toulouse-pech-david-archive-2019,0.15335496,False
11-station-meteo-toulouse-soupetard-archive-2020,0.15324509,False
13-station-meteo-toulouse-pech-david-archive-2020,0.15243413,False
03-station-meteo-toulouse-busca-archive2019,0.15192875,False
03-station-meteo-toulouse-busca-archive2020,0.15192528,False
sous-station-test,0.1511584,False
08-station-meteo-toulouse-basso-cambo-archive-2020,0.15111645,False
08-station-meteo-toulouse-basso-cambo-archive-2021,0.15063822,False
02-station-meteo-toulouse-marengo-archive2020,0.1501404,False
01-station-meteo-toulouse-meteopole-archive2020,0.15010443,False
08-station-meteo-toulouse-basso-cambo-archive-2019-1,0.15005589,False
02-station-meteo-toulouse-marengo-archive2019,0.15001068,False
2021-01-boamp-annonces-json-1,0.14980519,False
01-station-meteo-toulouse-meteopole-archive2019,0.1497668,False
