slug_or_id,score,in_gd4h,topic
creches-tm,0.17704995,False,84
horodateurs-tm,0.17371197,False,84
ludotheques-tm,0.17148873,False,84
ludotheques,0.17148873,False,84
quartiers-de-proximite-tm,0.1690504,False,84
les-quartiers-de-tourcoing-1,0.1659713,False,84
quartiers-de-sevres,0.16578999,False,84
sanisette-tm,0.16151075,False,84
secteurs-de-proximite-tm,0.1612159,False,84
garage-loue-automobiles,0.15910849,False,452
garage-mecasud,0.15668465,False,452
a-oger,0.15666454,False,84
indeminites-des-elus-locaux-de-trelaze-nd,0.15666454,False,84
garage-gois-automobile,0.15614073,False,452
zone-30-tm,0.15587668,False,84
garage-gois-automobiles,0.15513463,False,452
garage-chambault-sarl-2,0.15477844,False,452
garage-chambault-sarl-1,0.15477844,False,452
garage-du-colombier,0.15397182,False,452
garage-pochet,0.15333328,False,452
zone-fao-de-peche-30378680,0.15185882,True,84
zones-inondables-a-martigues,0.15100898,False,84
assemblee-des-territoires-territoires-vecus,0.15082423,False,84
quartiers-auxerre,0.15020327,False,84
garage-beaudouin,0.14816128,False,452
prive-zone-de-chalandise-gouraud,0.14801136,False,84
essences-dans-les-forets-cors,0.147422,False,84
garage-mecanique-2000-1,0.14724965,False,452
garage-mecanique-2000,0.14724965,False,452
dechetteries,0.14674091,False,84
grille-regionale-au-pas-de-250m-idf,0.1451883,False,84
intercommunalites-epci,0.14442702,False,84
garage-horizon-automobiles,0.14354676,False,452
arceaux-a-velo,0.14309096,False,84
les-unions-de-quartier,0.14307332,False,84
garage-zawieja,0.14260325,False,452
garage-croix-st-ladre,0.14167981,False,452
lieux-de-culte-a-issy-les-moulineaux,0.14141077,False,84
delimitation-des-20-quartiers-4,0.14096528,False,84
arrondissements-de-marseille,0.14065589,False,84
arrondissements-de-marseille-nd,0.14065589,False,84
perimetres-de-protection-du-territoire-site-unesco-val-dorleans,0.14062557,False,84
emplacement-des-cimetieres-metz,0.14025289,False,84
garage-saint-aubin,0.13994628,False,452
garage-serva,0.13880266,False,452
garage-santamaria,0.13738832,False,452
quartiers-1,0.13653907,False,84
permanences-quartiers-elus-blagnac,0.1362217,False,84
poles-territoriaux-tm,0.1361642,False,84
poles-territoriaux,0.1361642,False,84
foret-descoublac-secteurs,0.13577035,False,84
perimetres-de-protection-du-territoire-zone-de-protection-unesco-val-dorleans,0.13451494,False,84
territoire-de-chasse-de-martigues,0.13344833,False,84
aires-de-covoiturage-en-gironde1,0.13335834,False,84
aires-de-covoiturage-en-gironde-2,0.13335834,False,84
aires-de-covoiturage-en-gironde-1,0.13335834,False,84
sanisettes-5,0.13333225,False,84
fabriques-de-territoire,0.1326439,False,84
ilevia-abris-a-velos,0.13239263,False,84
aires-pietonnes-tm,0.13184664,False,84
emplacement-des-dechetteries-3,0.13108526,False,84
pays-du-departement-de-la-manche,0.12862878,False,84
unicap-garage-des-2-caps,0.12789226,False,452
delimitation-des-cantons-3,0.12749466,False,84
ecoles-elementaires-blagnac,0.12721477,False,84
emplacement-des-canisites,0.12693891,False,84
regions-simplified-by-geoapi,0.1259928,False,84
borne-garage-delecrin,0.12586048,False,452
zone-maritime-30378727,0.1248564,True,84
unicap-garage-floret,0.12436705,False,452
c2023-sbep-001,0.12307384,False,84
rangee-cimetiere-metz,0.121988766,False,84
batiments-publics-evry-courcouronnes,0.118589126,False,84
ecoles-maternelles-blagnac,0.118097864,False,84
garage-du-palais,0.1180767,False,452
scache-garage-de-la-senia,0.11730351,False,452
zones-bleues-tm,0.116823986,False,84
parcellaire-de-1830-toulouse,0.11560833,False,84
domaines-rge,0.11532761,False,84
faits-constates-zone-gendarmerie-00000000,0.11446574,False,84
recensement-des-plages-a-anglet,0.1131324,False,84
morbihan-habitat-1,0.11290342,False,84
lieux-de-cultes-a-issy-les-moulineaux,0.11105585,False,84
parcellaire-de1830-tm,0.11073726,False,84
parcellaire-de-1680-tm,0.11073726,False,84
cimetieres-blagnac,0.11046892,False,84
aires-de-covoiturage-3,0.11019684,False,84
limites-des-conseils-de-territoire,0.10917736,False,84
panneaux-zone-30,0.10910295,False,84
territoires-en-mouvement-n5-30382866,0.10908417,False,84
section-cimetiere-metz,0.10893637,False,84
ecodef-235-lieux-de-memoire,0.10881847,False,84
theatre-tm,0.10860301,False,84
bethune-quartiers-et-zones,0.108273305,False,84
taux-de-fiscalite-directe-locale-par-region-2001-2009-nd,0.1077045,False,84
taux-fiscalite-2001-2009,0.1077045,False,84
hebergement-marchand-poids-territoire-cors,0.10762407,False,84
artistes-laboureurs-par-region,0.10736374,False,84
defibrillateurs-de-houplin-ancoisne,0.107135646,False,84
occupation-physique-du-territoire-insee-nd,0.10646547,False,84
occupation-physique-du-territoire-insee,0.10646547,False,84
ports-de-lherault,0.10580976,False,84
territoires-en-mouvement-n2-30382835,0.10523681,False,84
aires-de-livraison-tm,0.104984164,False,84
canisites-angers,0.10497377,False,84
zones-de-loisirs,0.10474988,False,84
places-pmr,0.10442841,False,84
bassins-de-mobilite-en-occitanie,0.103108674,False,84
garage-du-centre,0.10263506,False,452
departments-simplified-by-geoapi,0.10235588,False,84
confinement-commerces-de-proximite-ouverts-evry-courcouronnes,0.10192463,False,84
les-aires-de-jeux-a-roubaix,0.10077954,False,84
territoires-en-mouvement-n1-30382864,0.09990296,False,84
territoires-en-mouvement-n4-30382960,0.09990296,False,84
reseau-bt-souterrain-sorea-kml,0.09722202,False,84
toutounets-a-antibes,0.09697292,False,84
researchalps,0.0964405,False,84
les-reserves-de-chasse-en-corse-cors,0.0957298,False,84
score-inclusion-financiere-regions,0.09459147,False,84
faits-constates-zone-police-00000000,0.09431594,False,84
medecins-generalistes,0.09403825,False,84
aide-la-presse-hebdomadaire-r-gionale-en-2012,0.09402345,False,84
aide-a-la-presse-hebdomadaire-regionale-en-2012-nd,0.094023444,False,84
campings,0.093838744,False,84
centres-de-vaccination-toulouse,0.092412114,False,84
auto-service-muret,0.09235616,False,452
covid-gua,0.090806685,False,84
capb-contour-du-pays-basque,0.09063882,False,84
borne-a-verre-3,0.088748686,False,84
antennes-de-la-region-des-pays-de-la-loire,0.08848415,False,84
centres-de-vaccination-tm,0.08817343,False,84
