slug_or_id,score,in_gd4h,topic
creches-tm,0.14834383,False,84
horodateurs-tm,0.14554705,False,84
ludotheques-tm,0.14368427,False,84
ludotheques,0.14368427,False,84
quartiers-de-proximite-tm,0.14164129,False,84
les-quartiers-de-tourcoing-1,0.1390614,False,84
quartiers-de-sevres,0.1389095,False,84
garage-loue-automobiles,0.13779852,False,452
garage-mecasud,0.13569932,False,452
sanisette-tm,0.13532408,False,84
garage-gois-automobile,0.13522825,False,452
secteurs-de-proximite-tm,0.13507704,False,84
garage-gois-automobiles,0.1343569,False,452
garage-chambault-sarl-2,0.1340484,False,452
garage-chambault-sarl-1,0.1340484,False,452
garage-du-colombier,0.13334982,False,452
garage-pochet,0.13279681,False,452
a-oger,0.1312636,False,84
indeminites-des-elus-locaux-de-trelaze-nd,0.1312636,False,84
zone-30-tm,0.13060349,False,84
garage-beaudouin,0.1283175,False,452
garage-mecanique-2000-1,0.12752798,False,452
garage-mecanique-2000,0.12752798,False,452
zone-fao-de-peche-30378680,0.12723708,True,84
zones-inondables-a-martigues,0.12652501,False,84
assemblee-des-territoires-territoires-vecus,0.12637024,False,84
quartiers-auxerre,0.12584995,False,84
garage-horizon-automobiles,0.12432103,False,452
prive-zone-de-chalandise-gouraud,0.12401342,False,84
essences-dans-les-forets-cors,0.123519614,False,84
garage-zawieja,0.123503886,False,452
dechetteries,0.12294897,False,84
garage-croix-st-ladre,0.122704126,False,452
grille-regionale-au-pas-de-250m-idf,0.12164808,False,84
garage-saint-aubin,0.121202774,False,452
intercommunalites-epci,0.12101023,False,84
garage-serva,0.12021233,False,452
arceaux-a-velo,0.1198908,False,84
les-unions-de-quartier,0.11987602,False,84
garage-santamaria,0.11898741,False,452
lieux-de-culte-a-issy-les-moulineaux,0.11848302,False,84
delimitation-des-20-quartiers-4,0.11810977,False,84
arrondissements-de-marseille,0.11785054,False,84
arrondissements-de-marseille-nd,0.11785054,False,84
perimetres-de-protection-du-territoire-site-unesco-val-dorleans,0.11782513,False,84
emplacement-des-cimetieres-metz,0.117512874,False,84
quartiers-1,0.1144012,False,84
permanences-quartiers-elus-blagnac,0.114135295,False,84
poles-territoriaux-tm,0.11408711,False,84
poles-territoriaux,0.11408711,False,84
foret-descoublac-secteurs,0.11375712,False,84
perimetres-de-protection-du-territoire-zone-de-protection-unesco-val-dorleans,0.11270526,False,84
territoire-de-chasse-de-martigues,0.11181159,False,84
aires-de-covoiturage-en-gironde1,0.111736186,False,84
aires-de-covoiturage-en-gironde-2,0.111736186,False,84
aires-de-covoiturage-en-gironde-1,0.111736186,False,84
sanisettes-5,0.111714326,False,84
fabriques-de-territoire,0.11113758,False,84
ilevia-abris-a-velos,0.110927045,False,84
unicap-garage-des-2-caps,0.11076319,False,452
aires-pietonnes-tm,0.11046958,False,84
emplacement-des-dechetteries-3,0.10983165,False,84
borne-garage-delecrin,0.109003544,False,452
pays-du-departement-de-la-manche,0.107773446,False,84
unicap-garage-floret,0.10771013,False,452
delimitation-des-cantons-3,0.10682321,False,84
ecoles-elementaires-blagnac,0.10658871,False,84
emplacement-des-canisites,0.106357574,False,84
regions-simplified-by-geoapi,0.10556486,False,84
zone-maritime-30378727,0.104612716,True,84
c2023-sbep-001,0.103119165,False,84
garage-du-palais,0.102262266,False,452
rangee-cimetiere-metz,0.10221002,False,84
scache-garage-de-la-senia,0.10159263,False,452
batiments-publics-evry-courcouronnes,0.09936158,False,84
ecoles-maternelles-blagnac,0.098949976,False,84
zones-bleues-tm,0.09788264,False,84
parcellaire-de-1830-toulouse,0.09686408,False,84
domaines-rge,0.09662888,False,84
faits-constates-zone-gendarmerie-00000000,0.09590675,False,84
recensement-des-plages-a-anglet,0.094789594,False,84
morbihan-habitat-1,0.094597735,False,84
lieux-de-cultes-a-issy-les-moulineaux,0.09304973,False,84
parcellaire-de1830-tm,0.09278279,False,84
parcellaire-de-1680-tm,0.09278279,False,84
cimetieres-blagnac,0.09255795,False,84
aires-de-covoiturage-3,0.09232999,False,84
limites-des-conseils-de-territoire,0.09147581,False,84
panneaux-zone-30,0.09141346,False,84
territoires-en-mouvement-n5-30382866,0.091397725,False,84
section-cimetiere-metz,0.09127389,False,84
ecodef-235-lieux-de-memoire,0.09117511,False,84
theatre-tm,0.090994574,False,84
bethune-quartiers-et-zones,0.09071833,False,84
taux-de-fiscalite-directe-locale-par-region-2001-2009-nd,0.09024175,False,84
taux-fiscalite-2001-2009,0.09024175,False,84
hebergement-marchand-poids-territoire-cors,0.090174355,False,84
artistes-laboureurs-par-region,0.08995623,False,84
defibrillateurs-de-houplin-ancoisne,0.08976513,False,84
occupation-physique-du-territoire-insee-nd,0.08920361,False,84
occupation-physique-du-territoire-insee,0.08920361,False,84
garage-du-centre,0.08888879,False,452
ports-de-lherault,0.08865422,False,84
territoires-en-mouvement-n2-30382835,0.08817416,False,84
aires-de-livraison-tm,0.08796248,False,84
canisites-angers,0.08795377,False,84
zones-de-loisirs,0.08776618,False,84
places-pmr,0.087496825,False,84
bassins-de-mobilite-en-occitanie,0.08639107,False,84
