slug_or_id,score,in_gd4h,topic
budget-primitif-2018-3,0.15239066,False,334
budgets-primitifs-de-la-cus,0.15122592,False,334
budgets-primitifs-de-la-cus-nd,0.15122592,False,334
budget-primitif-2018-1,0.15092084,False,334
budget-primitif-2021,0.15092084,False,334
budget-primitif-2020-2,0.15092084,False,334
budget-primitif-2016-1,0.15092084,False,334
budget-primitif-2023,0.15092084,False,334
budget-primitif-2022,0.15092084,False,334
budget-primitif-2017-4,0.15092084,False,334
budget-primitif-2019,0.15092084,False,334
budget-primitif-2018-2,0.14544177,False,334
bruit-ferroviaire-2010-ln-de-la-metropole-de-lyon,0.14138441,True,322
bruit-ferroviaire-2022-ln-de-la-metropole-de-lyon,0.14138441,True,322
budget-primitif-2017-3,0.14122574,False,334
bruit-routier-2022-ln-de-la-metropole-de-lyon,0.1408593,True,322
bruit-routier-2010-ln-de-la-metropole-de-lyon,0.1408593,True,322
bruit-ferroviaire-2022-lden-de-la-metropole-de-lyon,0.1403308,True,322
bruit-ferroviaire-2010-lden-de-la-metropole-de-lyon,0.1403308,True,322
bruit-routier-2010-lden-de-la-metropole-de-lyon,0.1395005,True,322
bruit-routier-2022-lden-de-la-metropole-de-lyon,0.1395005,True,322
budget-2018-1,0.1393959,False,334
bruit-aerien-2022-ln-de-la-metropole-de-lyon,0.1393733,True,322
budget-primitif-oise,0.13893014,False,334
bruit-aerien-2022-lden-de-la-metropole-de-lyon,0.13810647,True,322
bruit-industriel-2022-lden-de-la-metropole-de-lyon,0.13745512,True,322
bruit-industriel-2007-lden-de-la-metropole-de-lyon,0.13745512,True,322
bruit-industriel-2007-ln-de-la-metropole-de-lyon,0.1374094,True,322
bruit-aerien-2007-lden-aerodrome-lyon-corbas,0.13364975,True,322
indicateur-de-niveau-de-bruit-global-cumul,0.13316065,False,322
bruit-aerien-2007-ln-aeroport-lyon-bron,0.13295577,True,322
bruit-aerien-2007-lden-aeroport-lyon-bron,0.13221125,True,322
indicateur-de-niveau-de-bruit-global-chemin-de-fer,0.1306202,False,322
indicateur-de-niveau-de-bruit-nocturne-chemin-de-fer,0.1303684,False,322
indicateur-de-niveau-de-bruit-global-routier,0.13005698,False,322
indicateur-de-niveau-de-bruit-nocturne-routier,0.13004884,False,322
indicateur-de-niveau-de-bruit-nocturne-cumul,0.12998661,False,322
budget-primitif-2018-4,0.12998119,False,334
plf-2024-recettes-du-budget-general,0.12989166,False,334
budget-primitif-2019-decline-par-grand-engagement,0.12977949,False,334
indicateur-de-niveau-de-bruit-global-aerien,0.12901221,False,322
indicateur-de-niveau-de-bruit-nocturne-aerien,0.12736416,False,322
indicateur-de-niveau-de-bruit-global-icpe,0.12669933,False,322
budget-2023-rodez-agglo,0.12623735,False,334
bruit-industriel-zones-exposees-sur-24h-indicateur-lden,0.12574595,False,322
plf-2024-recettes-des-budgets-annexes,0.12538417,False,334
budget-principal-primitif-2018,0.12501922,False,334
budget-previsionnel-2020,0.12469598,False,334
bp-2018-2,0.123869464,False,334
budget-primitif-2019-recettes,0.12314489,False,334
budget-primitif-2018-recettes,0.12314489,False,334
finances-1,0.122284986,False,334
bruit-parif-bruit-routier-de-type-c-sur-une-journee-complete-grand-orly-seine-bievre,0.12209326,False,322
budget-2022-rodez-agglomeration,0.12137955,False,334
cartes-du-bruit-c-route-lden-2017-4,0.12134542,False,322
zones-exposees-au-bruit-en-haute-savoie-lden,0.12132866,False,322
bruit-parif-bruit-ferroviaire-de-type-a-sur-une-journee-complete-grand-orly-seine-bievre,0.121324115,False,322
bruit-parif-bruit-ferroviaire-de-type-c-sur-une-journee-complete-grand-orly-seine-bievre,0.12127068,False,322
cartes-du-bruit-c-fer-lden-2017-4,0.121184126,False,322
indicateur-de-niveau-de-bruit-nocturne-icpe,0.12085282,False,322
synthese-des-recettes-et-des-depenses-du-budget-primitif,0.11975737,False,334
cartes-du-bruit-a-route-lden-2017-3,0.119706504,False,322
cartes-du-bruit-c-fer-ln-2017-4,0.11801195,False,322
cartes-du-bruit-c-route-ln-2017-4,0.11782025,False,322
cartes-du-bruit-a-route-ln-2017-3,0.11635462,False,322
bruit-parif-bruit-aerien-sur-une-journee-complete-grand-orly-seine-bievre,0.11548417,False,322
cartes-du-bruit-a-aerien-lden-2017-4,0.11480615,False,322
plf-2024-budget-vert,0.114567876,False,334
a-fer-lden-3,0.11249091,False,322
reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.111632206,True,322
cartes-du-bruit-a-aerien-ln-2017-4,0.111234695,False,322
a-fer-ln-3,0.110222384,False,322
budget-primitif-2019-depenses,0.10991508,False,334
budget-primitif-2018-depenses,0.10991508,False,334
stations-du-reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon,0.10981856,True,322
le-budget-de-lassemblee-nationale,0.10555511,False,334
budget-supplementaire-2015,0.10135848,False,334
bp2019-zae,0.10088912,False,334
le-budget-de-la-defense-par-categorie-de-depenses-en-lfi-30382563,0.10017496,False,334
rosny-sur-seine-budget-primitif-2019,0.099810354,False,334
rosny-sur-seine-budget-primitif-2018,0.099810354,False,334
actes-budgetaires-1,0.09939587,False,334
actes-budgetaires,0.09740639,False,334
depenses-et-recettes-des-budgets-executes-de-l-etat-et-de-la-defense-30382662,0.0964766,False,334
debat-d-orientations-budgetaires-oise,0.08939165,False,334
rapport-orientation-budgetaire,0.08920585,False,334
plf-2024-vm-tome-2-depenses-fiscales,0.0864543,False,334
