slug_or_id,score,in_gd4h,topic
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-30,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-35,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-33,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-27,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-32,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-31,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-34,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-29,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-28,0.18215759,False,163
sync-0b59f5df-9f59-47a8-969d-dc6eddc0b1e1-36,0.18215759,False,163
reseau-deau-potable-borne-fontaine-1,0.17102236,False,163
bornes-a-eau,0.1707311,False,163
reseau-deau-potable-vanne-1,0.16195472,False,163
1900-2018-service-eau-potable,0.15865877,False,163
a5-canalisations-deau-et-dassainissement,0.15672342,False,163
bornes-fontaine-a-antibes,0.15668042,False,163
reseau-deau-potable-conduite-1,0.15611583,False,163
eau-station-epuration,0.15280327,False,163
reseau-deau-potable-vidange-1,0.15199374,False,163
reseau-deau-potable-branchement-1,0.15199369,False,163
hydrographie-ruisseaux,0.15167788,False,163
reseau-deau-potable-ventouse-1,0.15043895,False,163
position-des-bornes-fontaines,0.15015306,False,163
commune-de-brocas-gestion-de-leau,0.14640523,False,163
commune-de-brocas-gestion-de-leau-1,0.14640523,False,163
volumes-eau-brute-cors,0.14359154,False,163
les-prelevements-deau-pour-lindustrie-de-2008-a-2014-dans-le-bassin-loire-bretagne,0.14303386,False,163
fontaines-2,0.14276226,False,163
facture-deau-de-reference,0.14260204,False,163
fontaine-2,0.14120106,False,163
infrastructures-reseau,0.1402822,False,163
borne-fontaine,0.14018686,False,163
habillage-hydrographie-surfacique,0.13686724,False,163
habillage-hydrographie-lineaire,0.1367864,False,163
sdis-64-points-d-eau-gdb-geojson,0.13605249,False,163
bilan-ars-qualite-de-leau-2019-et-2020,0.13531633,False,163
reseau-deau-potable-poteau-dincendie-1,0.13394369,False,163
mode-de-gestion-de-leau-potable,0.13319418,False,163
eau-evolution-prix-eau,0.13219224,False,163
abonnements-eau-potable-nombre-dusagers,0.1315614,False,163
regimes-hydrologiques-de-rhone-alpes-en-2014,0.13104181,False,163
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-36,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-27,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-35,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-34,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-33,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-32,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-31,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-30,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-29,0.13091217,False,426
sync-554dd324-2ef3-42ef-af94-bac2fe0e1b37-28,0.13091217,False,426
liste-des-maitres-douvrage-alimentation-en-eau-potable-1,0.12756787,False,163
liste-des-maitres-d-ouvrage-alimentation-en-eau-potable-rdl,0.12756787,False,163
liste-des-maitres-douvrage-alimentation-en-eau-potable-2,0.12756787,False,163
station-de-recharge-hydrogene-pour-velo,0.12737666,False,163
amenagements-hydroelectriques-restitutions-de-rhone-alpes-en-2016,0.12700598,False,163
demande-de-subvention-agence-de-leau-seine-normandie-travaux-assainissement-enghien-2019-2,0.12612078,False,163
reseau-de-cours-deau-charente-maritime,0.12570855,False,163
amenagements-hydroelectriques-usines-de-rhone-alpes-en-2016,0.12558933,False,163
domaine-public-fluvial-de-rhone-alpes-en-2006,0.12538634,False,163
bornes-fontaines-de-grand-chambery,0.12481504,False,163
service-eau-la-motte-saint-martin-1,0.12472197,False,163
consommation-energetique-des-batiments-publics,0.12340908,False,163
fontaines-6,0.12246842,False,163
production-deau-potable,0.12056664,False,163
c-local-eau-sage-croult-representants-capv-2020-1,0.11983169,False,163
centres-aquatiques-ardenne-metropole,0.119390994,False,163
environnement,0.11881815,False,163
bornes-fontaine-de-lagglomeration-du-grand-annecy,0.118616775,False,163
zones-daleas-du-plan-de-prevention-des-risques-dinondation-des-cours-deau-de-lorge-et-de-la-sallemouille,0.11811858,False,163
reseau-deau-potable-reducteur-de-pression-1,0.11505197,False,163
parc-du-queyras-ouvrages-hydrauliques-en-travers,0.11436003,False,163
deliberation-piscine-gigoi-fixation-tarif-stage-natation-6-11-ans-aggleau-2019-3,0.11318054,False,163
borne-fontaine-deau-potable-sur-mulhouse,0.11131018,False,426
cours-deau-ville-de-clermont-ferrand,0.10847034,False,163
environnement-inventaire-des-points-deau-grand-poitiers-13-communes-donnees-metiers-1,0.10541218,False,426
edf-hydro-gerstheim,0.10369795,False,163
espece-fao-de-poisson-d-eau-de-mer-30378641,0.10244984,True,163
securite,0.10152145,False,163
fontaines-deau-potable-de-la-metropole-de-lyon,0.10042881,True,426
points-deau-potable-a-merignac,0.09860486,False,426
cotes-de-references-des-cours-deau-du-doubs-1,0.09815089,False,163
les-bassins-versants-du-bas-rhin,0.0968917,False,163
points-deau-tours-metropole-val-de-loire,0.09682041,False,426
prix-de-leau,0.09640131,False,163
inventaire-petit-patrimoine-plerin-points-eaux,0.09201189,False,426
bassins-pluviaux-a-acces-public,0.091972835,False,426
fond-de-plan-grand-belfort,0.09135001,False,163
volumes-vendus,0.090905055,False,426
flood-and-runoff,0.0894942,False,163
referentiel-espece-du-si-peche-et-aquaculture-30378687,0.089411885,True,163
donnees-de-captures-2009-30378887,0.0886305,True,163
points-deau-defense-des-forets-contre-les-incendies-dfci-herault,0.08819181,False,426
bornes-fontaines-de-la-ville-de-rennes,0.08792593,False,426
referentiel-droit-a-produire-du-si-peche-et-aquaculture-30378763,0.08231798,True,163
nombre-dabonnes-par-commune-1,0.08185117,False,426
piscines-toulouse,0.078801416,False,426
piscines-municipales-tm,0.07710313,False,426
barrieres-inondation,0.07466321,False,426
