slug_or_id,score,in_gd4h,topic
creches-tm,0.18439417,False,84
horodateurs-tm,0.18091771,False,84
ludotheques-tm,0.17860225,False,84
ludotheques,0.17860225,False,84
quartiers-de-proximite-tm,0.17606278,False,84
les-quartiers-de-tourcoing-1,0.17285594,False,84
quartiers-de-sevres,0.17266712,False,84
sanisette-tm,0.16821037,False,84
secteurs-de-proximite-tm,0.16790329,False,84
a-oger,0.16316313,False,84
indeminites-des-elus-locaux-de-trelaze-nd,0.16316313,False,84
zone-30-tm,0.1623426,False,84
zone-fao-de-peche-30378680,0.15815808,True,84
zones-inondables-a-martigues,0.15727296,False,84
assemblee-des-territoires-territoires-vecus,0.15708058,False,84
quartiers-auxerre,0.15643385,False,84
prive-zone-de-chalandise-gouraud,0.15415101,False,84
essences-dans-les-forets-cors,0.1535372,False,84
dechetteries,0.15282787,False,84
grille-regionale-au-pas-de-250m-idf,0.15121084,False,84
intercommunalites-epci,0.15041798,False,84
arceaux-a-velo,0.14902651,False,84
les-unions-de-quartier,0.14900814,False,84
lieux-de-culte-a-issy-les-moulineaux,0.14727663,False,84
delimitation-des-20-quartiers-4,0.14681266,False,84
arrondissements-de-marseille,0.14649044,False,84
arrondissements-de-marseille-nd,0.14649044,False,84
perimetres-de-protection-du-territoire-site-unesco-val-dorleans,0.14645885,False,84
emplacement-des-cimetieres-metz,0.1460707,False,84
quartiers-1,0.14220284,False,84
permanences-quartiers-elus-blagnac,0.14187232,False,84
poles-territoriaux-tm,0.14181241,False,84
poles-territoriaux,0.14181241,False,84
foret-descoublac-secteurs,0.14140223,False,84
perimetres-de-protection-du-territoire-zone-de-protection-unesco-val-dorleans,0.14009476,False,84
territoire-de-chasse-de-martigues,0.1389839,False,84
aires-de-covoiturage-en-gironde1,0.13889018,False,84
aires-de-covoiturage-en-gironde-2,0.13889018,False,84
aires-de-covoiturage-en-gironde-1,0.13889018,False,84
sanisettes-5,0.138863,False,84
fabriques-de-territoire,0.13814609,False,84
ilevia-abris-a-velos,0.13788441,False,84
aires-pietonnes-tm,0.13731577,False,84
emplacement-des-dechetteries-3,0.13652281,False,84
pays-du-departement-de-la-manche,0.13396442,False,84
delimitation-des-cantons-3,0.13278326,False,84
ecoles-elementaires-blagnac,0.13249177,False,84
emplacement-des-canisites,0.13220446,False,84
regions-simplified-by-geoapi,0.1312191,False,84
zone-maritime-30378727,0.13003556,True,84
c2023-sbep-001,0.12817906,False,84
rangee-cimetiere-metz,0.12704897,False,84
batiments-publics-evry-courcouronnes,0.12350832,False,84
garage-loue-automobiles,0.123208575,False,452
