slug_or_id,score,in_gd4h,topic
creches-tm,0.11999828,False,84
horodateurs-tm,0.11773591,False,84
ludotheques-tm,0.11622908,False,84
ludotheques,0.11622908,False,84
quartiers-de-proximite-tm,0.11457646,False,84
les-quartiers-de-tourcoing-1,0.11248955,False,84
quartiers-de-sevres,0.11236667,False,84
sanisette-tm,0.10946635,False,84
secteurs-de-proximite-tm,0.10926651,False,84
a-oger,0.10618175,False,84
indeminites-des-elus-locaux-de-trelaze-nd,0.10618175,False,84
zone-30-tm,0.10564777,False,84
zone-fao-de-peche-30378680,0.102924615,True,84
fonsomme-survol-du-09-decembre-2018-2,0.10250023,False,240
zones-inondables-a-martigues,0.10234861,False,84
assemblee-des-territoires-territoires-vecus,0.102223404,False,84
fonsomme-mns-survol-du-09-decembre-2018-2,0.10182062,False,240
quartiers-auxerre,0.101802535,False,84
prive-zone-de-chalandise-gouraud,0.10031693,False,84
essences-dans-les-forets-cors,0.09991749,False,84
dechetteries,0.09945587,False,84
grille-regionale-au-pas-de-250m-idf,0.098403566,False,84
intercommunalites-epci,0.09788759,False,84
fonsomme-mnt-survol-du-09-decembre-2018-2,0.0972606,False,240
arceaux-a-velo,0.09698206,False,84
les-unions-de-quartier,0.0969701,False,84
saint-quentin-mnt-survol-du-30-novembre-2018-2,0.09617464,False,240
saint-quentin-mns-survol-du-30-novembre-2018-2,0.09611994,False,240
lieux-de-culte-a-issy-les-moulineaux,0.09584328,False,84
delimitation-des-20-quartiers-4,0.09554135,False,84
arrondissements-de-marseille,0.095331654,False,84
arrondissements-de-marseille-nd,0.095331654,False,84
perimetres-de-protection-du-territoire-site-unesco-val-dorleans,0.0953111,False,84
emplacement-des-cimetieres-metz,0.09505851,False,84
gauchy-survol-du-14-decembre-2020-orthomosaic-2,0.09438996,False,240
debordement-de-la-seine-31-janvier-2-fevrier2018,0.09299014,False,240
quartiers-1,0.09254141,False,84
permanences-quartiers-elus-blagnac,0.09232632,False,84
poles-territoriaux-tm,0.09228734,False,84
poles-territoriaux,0.09228734,False,84
foret-descoublac-secteurs,0.09202041,False,84
perimetres-de-protection-du-territoire-zone-de-protection-unesco-val-dorleans,0.091169536,False,84
territoire-de-chasse-de-martigues,0.09044663,False,84
aires-de-covoiturage-en-gironde1,0.09038563,False,84
aires-de-covoiturage-en-gironde-2,0.09038563,False,84
aires-de-covoiturage-en-gironde-1,0.09038563,False,84
sanisettes-5,0.09036794,False,84
debordement-de-la-seine-janvier-2018,0.09032811,False,240
fabriques-de-territoire,0.0899014,False,84
saint-quentin-survol-du-30-novembre-2018-2,0.089860775,False,240
ilevia-abris-a-velos,0.089731105,False,84
cugny-prise-de-vues-du-16-decembre-2020-orthomosaic-2,0.089565955,False,240
reseau-rbus-janvier-2023,0.08948344,False,240
aires-pietonnes-tm,0.08936105,False,84
saint-quentin-3d-survol-30-novembre-2019-2,0.08932348,False,240
emplacement-des-dechetteries-3,0.088845015,False,84
pays-du-departement-de-la-manche,0.08718009,False,84
gugny-mns-survol-du-16-decembre-2020-digital-surface-model-2,0.08664487,False,240
delimitation-des-cantons-3,0.08641143,False,84
ecoles-elementaires-blagnac,0.08622173,False,84
emplacement-des-canisites,0.08603476,False,84
regions-simplified-by-geoapi,0.085393526,False,84
rouvroy-survol-du-14-janvier-2019-2,0.08470863,False,240
zone-maritime-30378727,0.084623314,True,84
c2023-sbep-001,0.08341515,False,84
rangee-cimetiere-metz,0.082679726,False,84
batiments-publics-evry-courcouronnes,0.08037557,False,84
ecoles-maternelles-blagnac,0.08004261,False,84
fr-236700019-carte-sig-dtc-3267-8,0.07957606,False,240
zones-bleues-tm,0.07917922,False,84
parcellaire-de-1830-toulouse,0.07835529,False,84
domaines-rge,0.07816503,False,84
gauchy-survol-du-03-octobre-2019-2,0.07781995,False,240
gauchy-survol-du-03octobre-2019-2,0.07781995,False,240
faits-constates-zone-gendarmerie-00000000,0.077580884,False,84
agreste-batiments-delevage-bovin,0.07738238,True,240
recensement-des-plages-a-anglet,0.076677196,False,84
morbihan-habitat-1,0.076522,False,84
agreste-batiments-delevage-porcin,0.07609414,True,240
donnees-essentielles-des-marches-du-smsm-du-1er-janvier-au-5-decembre-2022,0.07551565,False,240
lieux-de-cultes-a-issy-les-moulineaux,0.07526978,False,84
parcellaire-de1830-tm,0.07505385,False,84
parcellaire-de-1680-tm,0.07505385,False,84
cimetieres-blagnac,0.07487197,False,84
aires-de-covoiturage-3,0.07468757,False,84
jussy-3d-survol-du-05-novembre-2019-2,0.07417759,False,240
jussy-survol-du-05-novembre-2019-2,0.07417759,False,240
indicateurs-mensuels-de-surete-depuis-janvier-2015,0.07414569,False,240
limites-des-conseils-de-territoire,0.0739966,False,84
panneaux-zone-30,0.07394617,False,84
territoires-en-mouvement-n5-30382866,0.07393344,False,84
montescourt-mns-survol-du-17-janvier-2019-2,0.07388364,False,240
section-cimetiere-metz,0.073833264,False,84
ecodef-235-lieux-de-memoire,0.073753364,False,84
secteurs-anc-2,0.07372706,False,240
secteurs-anc,0.07372706,False,240
secteurs-anc-1,0.07372706,False,240
theatre-tm,0.07360733,False,84
bethune-quartiers-et-zones,0.07338387,False,84
montescourt-survol-du-17-janvier-2019-2,0.07317059,False,240
nuits-de-la-lecture-2022,0.07300446,False,240
taux-de-fiscalite-directe-locale-par-region-2001-2009-nd,0.07299835,False,84
taux-fiscalite-2001-2009,0.07299835,False,84
hebergement-marchand-poids-territoire-cors,0.07294384,False,84
artistes-laboureurs-par-region,0.07276739,False,84
defibrillateurs-de-houplin-ancoisne,0.0726128,False,84
occupation-physique-du-territoire-insee-nd,0.07215858,False,84
occupation-physique-du-territoire-insee,0.07215858,False,84
