slug_or_id,score,in_gd4h,topic
4050-vernouillet-1,0.22132672,False,89
4050-vernouillet,0.22132672,False,89
3931-chauny,0.21733142,False,89
4070-chennevilliere,0.2168845,False,89
3394-calonne,0.2167734,False,89
3350-bornes,0.21635367,False,89
3385-bachant,0.2162835,False,89
3841-gournay,0.21548438,False,89
3684-reims,0.21536537,False,89
3612-conches,0.21401018,False,89
4042-lambersart-1,0.21355712,False,89
4042-lambersart,0.21355712,False,89
3694-denain,0.21353222,False,89
3433-orthez,0.21318373,False,89
bornes-de-recharge,0.21311548,False,89
3966-lege,0.2130789,False,89
4111-brest,0.21271692,False,89
4045-peyrehorade,0.21268511,False,89
3731-leucate,0.21234892,False,89
3597-meze,0.21150553,False,89
3122-bornes-de-recharge,0.21138911,False,89
3716-les-ulis,0.21131267,False,89
3434-auby,0.21083708,False,89
4053-bruyeres-charlemagne,0.21071082,False,89
3739-beauvais,0.20948751,False,89
4165-flers,0.20802173,False,89
3574-vendargues,0.20779331,False,89
3366-coquelles,0.20742296,False,89
3183-fontbeauzard,0.20738488,False,89
3603-givet,0.20720716,False,89
3275-vichy-poincare,0.20576294,False,89
3372-chelles,0.20572384,False,89
4041-montlouis-sur-loire,0.20562205,False,89
2434-flers,0.20556445,False,89
3668-hendaye,0.20554447,False,89
4063-lieuran,0.20442866,False,89
borne-de-recharge-7,0.20435612,False,89
borne-de-recharge-5,0.20435612,False,89
3845-borne-de-recharge,0.20435612,False,89
3838-le-havre,0.20376751,False,89
3813-chatelrault,0.20247455,False,89
4010-chatonnay,0.20118988,False,89
3287-montrejeau,0.20058219,False,89
3965-muille-villette,0.20057046,False,89
3194-rognac,0.20040236,False,89
3822-beaucaire,0.19991522,False,89
3832-beaucaire,0.19991522,False,89
3549-chocques,0.19981904,False,89
3693-toulouse-netwiller,0.19978979,False,89
3970-lomme,0.19929293,False,89
3119-leguevin,0.19895676,False,89
3571-luneray,0.19887514,False,89
3773-blanquefort,0.19853505,False,89
3917-amiens,0.19809717,False,89
3799-audruicq,0.19777332,False,89
3784-vierzon,0.1974743,False,89
3754-marly,0.19600514,False,89
3814-saran-jonquilles,0.19435683,False,89
3573-villeneuve-sur-lot,0.19287826,False,89
4019-courtry,0.19147468,False,89
3461-vitrolles,0.19070837,False,89
3932-chadrac,0.19047798,False,89
2932-rosiere,0.18998472,False,89
3572-ales-mons,0.18806252,False,89
3591-chilly-mazarin,0.18569078,False,89
3958-meulan-en-yvelines,0.18534848,False,89
2935-marguerittes,0.18532927,False,89
3875-salaise-sur-sanne,0.18468335,False,89
3349-mauguio,0.18386088,False,89
3046-la-motte-servolex,0.18229538,False,89
c2021-sbep-019,0.18209831,False,126
c2020-sbep-07,0.18209831,False,126
c2022-sbep-003,0.1810639,False,126
c2019-sbep-019,0.1806868,False,126
c2021-sbep-024,0.18065412,False,126
c2023-sbep-002,0.18065412,False,126
c2020-sbep-004,0.18055603,False,126
c2019-sbep-007,0.18055603,False,126
c2020-sbep-018,0.18047707,False,126
c2021-sbep-025,0.18047707,False,126
3455-marquise,0.18017429,False,89
4040-chalons-rolland,0.17958422,False,89
3759-jeumont,0.17914677,False,89
3074-montaubant-paris,0.17898084,False,89
3655-beaune-verottes,0.17846979,False,89
3791-montelimar,0.17713672,False,89
creches-tm,0.17678647,False,84
c2022-sbep-007,0.17672156,False,126
4099-voisins,0.174335,False,89
3905-soisson,0.17431684,False,89
horodateurs-tm,0.17345345,False,84
c2020-sbep-019,0.17226914,False,126
c2023-sbep-015,0.17226914,False,126
ludotheques-tm,0.17123352,False,84
ludotheques,0.17123352,False,84
c2019-sbep-016,0.16967104,False,126
3688-gaineville,0.16955951,False,89
c2022-sbep-111,0.16896555,False,126
quartiers-de-proximite-tm,0.16879882,False,84
3462-mont-de-marsan,0.16823764,False,89
3569-torcy-champs,0.16785878,False,89
3649-noeux-les-mines,0.16758905,False,89
c2022-sbep-020,0.16713071,False,126
c2022-sbep-018,0.16636088,False,126
les-quartiers-de-tourcoing-1,0.16572429,False,84
3609-roinville,0.16564704,False,89
quartiers-de-sevres,0.16554326,False,84
3398-foix-espagne,0.16519883,False,89
3695-dainville,0.16515966,False,89
waterrower,0.1648446,False,89
c2023-sbep-017,0.16481973,False,126
2939-gujan-mestras,0.16421519,False,89
3289-pau-jean-mermoz,0.16309808,False,89
le-relay-du-chasteau,0.16286959,False,89
3795-evreux,0.16246775,False,89
sanisette-tm,0.1612704,False,84
secteurs-de-proximite-tm,0.16097598,False,84
c2021-sbep-032,0.15912312,False,126
c2022-sbep-091,0.15828684,False,126
3380-sete,0.15715338,False,89
irve-z-e-n-annecy,0.15681468,False,89
3676-chateauneuf-les-martigues,0.15679699,False,89
a-oger,0.15643138,False,84
indeminites-des-elus-locaux-de-trelaze-nd,0.15643138,False,84
borne-eleec-publique,0.15578091,False,89
zone-30-tm,0.1556447,False,84
c2023-sbep-008,0.15424708,False,126
avenant-ndeg-01-lot-07-bastelica,0.154092,False,126
3548-le-mans,0.15394995,False,89
3548-le-mans-1,0.15394995,False,89
zone-fao-de-peche-30378680,0.15163283,True,84
c2022-sbep-017,0.15079013,False,126
c2021-sbep-005,0.15079013,False,126
zones-inondables-a-martigues,0.15078424,False,84
3915-courseuilles-sur-mer,0.15064906,False,89
assemblee-des-territoires-territoires-vecus,0.15059978,False,84
c2021-sbep-036,0.1504427,False,126
c2023-sbep-063,0.1504427,False,126
3707-saint-maur,0.15028171,False,89
quartiers-auxerre,0.14997974,False,84
3134-serignan,0.14996752,False,89
prive-zone-de-chalandise-gouraud,0.14779107,False,84
essences-dans-les-forets-cors,0.1472026,False,84
3743-aire-sur-adour,0.14671849,False,89
dechetteries,0.14652254,False,84
