slug_or_id,score,in_gd4h,topic
4050-vernouillet-1,0.25510672,False,89
4050-vernouillet,0.25510672,False,89
3931-chauny,0.25050163,False,89
4070-chennevilliere,0.24998648,False,89
3394-calonne,0.24985844,False,89
3350-bornes,0.24937464,False,89
3385-bachant,0.24929377,False,89
3841-gournay,0.24837267,False,89
3684-reims,0.2482355,False,89
3612-conches,0.24667346,False,89
4042-lambersart-1,0.24615127,False,89
4042-lambersart,0.24615127,False,89
3694-denain,0.24612257,False,89
3433-orthez,0.2457209,False,89
bornes-de-recharge,0.24564223,False,89
3966-lege,0.24560006,False,89
4111-brest,0.24518283,False,89
4045-peyrehorade,0.24514617,False,89
3731-leucate,0.24475867,False,89
3597-meze,0.24378656,False,89
3122-bornes-de-recharge,0.24365236,False,89
3716-les-ulis,0.24356426,False,89
3434-auby,0.24301608,False,89
4053-bruyeres-charlemagne,0.24287055,False,89
3739-beauvais,0.24146053,False,89
4165-flers,0.23977104,False,89
3574-vendargues,0.23950775,False,89
3366-coquelles,0.23908088,False,89
3183-fontbeauzard,0.23903699,False,89
3603-givet,0.23883215,False,89
3275-vichy-poincare,0.2371675,False,89
3372-chelles,0.23712243,False,89
4041-montlouis-sur-loire,0.23700511,False,89
2434-flers,0.23693873,False,89
3668-hendaye,0.2369157,False,89
4063-lieuran,0.23562957,False,89
borne-de-recharge-7,0.23554596,False,89
borne-de-recharge-5,0.23554596,False,89
3845-borne-de-recharge,0.23554596,False,89
3838-le-havre,0.23486753,False,89
3813-chatelrault,0.23337723,False,89
4010-chatonnay,0.23189647,False,89
3287-montrejeau,0.23119605,False,89
3965-muille-villette,0.23118253,False,89
3194-rognac,0.23098877,False,89
3822-beaucaire,0.23042727,False,89
3832-beaucaire,0.23042727,False,89
3549-chocques,0.23031643,False,89
3693-toulouse-netwiller,0.23028271,False,89
3970-lomme,0.22971001,False,89
3119-leguevin,0.22932252,False,89
3571-luneray,0.22922845,False,89
3773-blanquefort,0.22883646,False,89
3917-amiens,0.22833174,False,89
3799-audruicq,0.22795847,False,89
3784-vierzon,0.2276138,False,89
3754-marly,0.22592041,False,89
3814-saran-jonquilles,0.22402054,False,89
3573-villeneuve-sur-lot,0.22231631,False,89
4019-courtry,0.22069849,False,89
3461-vitrolles,0.21981524,False,89
3932-chadrac,0.21954969,False,89
2932-rosiere,0.21898115,False,89
3572-ales-mons,0.21676557,False,89
budget-primitif-2018-3,0.21670352,False,334
budgets-primitifs-de-la-cus,0.21504724,False,334
budgets-primitifs-de-la-cus-nd,0.21504724,False,334
budget-primitif-2018-1,0.2146134,False,334
budget-primitif-2021,0.2146134,False,334
budget-primitif-2020-2,0.2146134,False,334
budget-primitif-2016-1,0.2146134,False,334
budget-primitif-2023,0.2146134,False,334
budget-primitif-2022,0.2146134,False,334
budget-primitif-2017-4,0.2146134,False,334
budget-primitif-2019,0.2146134,False,334
3591-chilly-mazarin,0.21403183,False,89
3958-meulan-en-yvelines,0.21363729,False,89
2935-marguerittes,0.21361515,False,89
3875-salaise-sur-sanne,0.21287064,False,89
3349-mauguio,0.21192265,False,89
3046-la-motte-servolex,0.2101182,False,89
3455-marquise,0.20767339,False,89
4040-chalons-rolland,0.20699325,False,89
