slug_or_id,score,in_gd4h,topic
4050-vernouillet-1,0.2798226,False,89
4050-vernouillet,0.2798226,False,89
3931-chauny,0.27477133,False,89
4070-chennevilliere,0.27420628,False,89
3394-calonne,0.27406585,False,89
3350-bornes,0.27353516,False,89
3385-bachant,0.27344647,False,89
3841-gournay,0.27243614,False,89
3684-reims,0.27228567,False,89
3612-conches,0.2705723,False,89
4042-lambersart-1,0.2699995,False,89
4042-lambersart,0.2699995,False,89
3694-denain,0.26996803,False,89
3433-orthez,0.26952744,False,89
bornes-de-recharge,0.26944113,False,89
3966-lege,0.2693949,False,89
4111-brest,0.26893723,False,89
4045-peyrehorade,0.26889703,False,89
3731-leucate,0.268472,False,89
3597-meze,0.2674057,False,89
3122-bornes-de-recharge,0.2672585,False,89
3716-les-ulis,0.26716185,False,89
3434-auby,0.26656055,False,89
4053-bruyeres-charlemagne,0.26640093,False,89
3739-beauvais,0.2648543,False,89
4165-flers,0.26300114,False,89
3574-vendargues,0.26271233,False,89
3366-coquelles,0.2622441,False,89
3183-fontbeauzard,0.26219597,False,89
3603-givet,0.26197127,False,89
3275-vichy-poincare,0.26014537,False,89
3372-chelles,0.26009592,False,89
4041-montlouis-sur-loire,0.25996724,False,89
2434-flers,0.2598944,False,89
3668-hendaye,0.25986913,False,89
4063-lieuran,0.2584584,False,89
borne-de-recharge-7,0.2583667,False,89
borne-de-recharge-5,0.2583667,False,89
3845-borne-de-recharge,0.2583667,False,89
3838-le-havre,0.25762254,False,89
3813-chatelrault,0.25598785,False,89
4010-chatonnay,0.25436363,False,89
3287-montrejeau,0.25359535,False,89
3965-muille-villette,0.2535805,False,89
3194-rognac,0.253368,False,89
3822-beaucaire,0.2527521,False,89
3832-beaucaire,0.2527521,False,89
3549-chocques,0.2526305,False,89
3693-toulouse-netwiller,0.25259352,False,89
3970-lomme,0.25196534,False,89
3119-leguevin,0.2515403,False,89
3571-luneray,0.25143713,False,89
3773-blanquefort,0.25100717,False,89
3917-amiens,0.25045353,False,89
3799-audruicq,0.2500441,False,89
3784-vierzon,0.24966605,False,89
3754-marly,0.24780859,False,89
3814-saran-jonquilles,0.24572465,False,89
3573-villeneuve-sur-lot,0.2438553,False,89
4019-courtry,0.24208075,False,89
3461-vitrolles,0.24111192,False,89
3932-chadrac,0.24082065,False,89
2932-rosiere,0.24019702,False,89
3572-ales-mons,0.23776679,False,89
3591-chilly-mazarin,0.23476818,False,89
3958-meulan-en-yvelines,0.23433542,False,89
2935-marguerittes,0.23431115,False,89
3875-salaise-sur-sanne,0.2334945,False,89
3349-mauguio,0.23245466,False,89
3046-la-motte-servolex,0.2304754,False,89
3455-marquise,0.22779372,False,89
4040-chalons-rolland,0.2270477,False,89
3759-jeumont,0.22649463,False,89
3074-montaubant-paris,0.22628485,False,89
3655-beaune-verottes,0.22563873,False,89
3791-montelimar,0.22395334,False,89
4099-voisins,0.22041112,False,89
3905-soisson,0.22038816,False,89
3688-gaineville,0.21437348,False,89
3462-mont-de-marsan,0.21270226,False,89
3569-torcy-champs,0.21222325,False,89
3649-noeux-les-mines,0.21188225,False,89
3609-roinville,0.20942697,False,89
3398-foix-espagne,0.2088603,False,89
3695-dainville,0.20881078,False,89
waterrower,0.20841244,False,89
2939-gujan-mestras,0.20761667,False,89
3289-pau-jean-mermoz,0.20620432,False,89
le-relay-du-chasteau,0.20591544,False,89
3795-evreux,0.20540738,False,89
3380-sete,0.19868846,False,89
irve-z-e-n-annecy,0.19826025,False,89
3676-chateauneuf-les-martigues,0.19823788,False,89
borne-eleec-publique,0.19695324,False,89
3548-le-mans,0.19463837,False,89
3548-le-mans-1,0.19463837,False,89
3915-courseuilles-sur-mer,0.19046506,False,89
3707-saint-maur,0.19000064,False,89
3134-serignan,0.1896034,False,89
3743-aire-sur-adour,0.18549566,False,89
4096-saint-germain-corbeil,0.18409844,False,89
3551-boussy-saint-antoine,0.18219869,False,89
compte-administratif-2014-blagnac,0.18218587,False,326
compte-administratif-2017-blagnac,0.18218587,False,326
compte-administratif-2015-blagnac,0.18218587,False,326
compte-administratif-2016-blagnac,0.18218587,False,326
compte-administratif-2015-ccas-blagnac,0.18204637,False,326
compte-administratif-2016-ccas-blagnac,0.18204637,False,326
compte-administratif-2017-ccas-blagnac,0.18204637,False,326
compte-administratif-2014-ccas-blagnac,0.18204637,False,326
jeu-de-donnees-c-car,0.18175937,False,89
3117-vaison-la-romaine,0.1799395,False,89
3741-croissy-beaubourg,0.17667562,False,89
3670-montigny,0.17585374,False,89
3557-fontenay-le-vicomte,0.17548518,False,89
compte-administratif-2014-restauration-blagnac,0.1745516,False,326
compte-administratif-2019-restauration-blagnac,0.1745516,False,326
compte-administratif-2017-restauration-blagnac,0.17455158,False,326
compte-administratif-2015-restauration-blagnac,0.17455158,False,326
compte-administratif-2016-restauration-blagnac,0.17455158,False,326
compte-administratif-2017-aeroscopia-blagnac,0.16775663,False,326
compte-administratif-2015-aeroscopia-blagnac,0.16775663,False,326
compte-administratif-2016-aeroscopia-blagnac,0.16775663,False,326
compte-administratif-2014-aeroscopia-blagnac,0.16775663,False,326
2936-saint-ambroix,0.1654287,False,89
compte-administratif-2019-services-a-domicile-blagnac,0.15525596,False,326
compte-administratif-2017-aide-a-domicile-blagnac,0.1552295,False,326
compte-administratif-2014-aide-a-domicile-blagnac,0.1552295,False,326
compte-administratif-2015-aide-a-domicile-blagnac,0.1552295,False,326
compte-administratif-2016-aide-a-domicile-blagnac,0.1552295,False,326
compte-administratif-2021,0.1543518,False,326
compte-administratif-2019,0.1543518,False,326
compte-administratif-2020,0.1543518,False,326
compte-administratif-2018,0.1543518,False,326
compte-administratif-2022,0.1543518,False,326
compte-administratif-2017-2,0.1543518,False,326
compte-administratif-2015-3,0.1543518,False,326
