slug_or_id,score,in_gd4h,topic
agreste-donnees-communales-principales-cultures-nombre-d-exploitations-en-cultivant-et-superficie--0,0.22979309,True,430
agreste-donnees-communales-principales-cultures-nombre-d-exploitations-en-cultivant-et-superficie-ch,0.22850738,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-par-succession-champ-moyennes-et-grandes,0.22071144,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-orientation-technico-,0.22067063,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-statut-juridique-ch-0,0.21794052,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-age-du-chef-ou-du-p-0,0.21630782,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-orientation-technic-0,0.21381445,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-age-du-chef-ou-du-pre,0.21206942,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-statut-juridique-cham,0.21158499,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-par-succession-champ-ensemble-des-exploi,0.20761052,True,430
agreste-donnees-communales-principaux-cheptels-nombre-d-elevages-et-cheptel-champ-moyennes-et-grande,0.2071184,True,430
agreste-donnees-communales-main-d-oeuvre-permanente-dans-les-exploitations-agricoles-champ-moyennes-,0.20614503,True,430
agreste-les-principaux-resultats-des-recensements-agricoles-2010-2000-et-1988-par-departement-et-can,0.20420985,True,430
agreste-donnees-communales-principaux-cheptels-nombre-d-elevages-et-cheptel-champ-ensemble-des-explo,0.19936119,True,430
agreste-nombre-d-exploitations-agricoles-aux-recensements-de-l-agriculture-2010-et-2000,0.19714965,True,430
agreste-donnees-communales-main-d-oeuvre-permanente-dans-les-exploitations-agricoles-champ-ensemble-,0.1963251,True,430
agreste-donnees-communales-resultats-des-recensements-agricoles-par-commune,0.16979828,True,430
agreste-enquetes-structure,0.15984203,True,192
agreste-cartographie-des-donnees-du-recensement-agricole,0.1583426,True,430
agreste-donnees-de-cadrage-sur-l-agriculture-surfaces-productions-rendements-effectifs-animaux,0.15384777,True,192
agreste-statistique-agricole-annuelle-saa,0.15223537,True,192
agreste-recensement-de-lhorticulture,0.1464201,True,192
graphagri-regions,0.14410259,True,192
agreste-conjoncture-agricole-le-bulletin-mensuel,0.1376348,True,192
agreste-graphagri,0.13568376,True,192
agreste-consommation-et-production-d-energie-dans-les-exploitations-agricoles,0.13110776,True,430
agreste-enquete-sur-les-structures-de-la-production-legumiere,0.12813303,True,192
agreste-prix-des-terres-et-pres,0.12751882,True,192
agreste-donnees-economiques-agricoles-les-comptes-de-l-agriculture,0.12742986,True,192
instances-de-marches-forains,0.12596159,True,132
agreste-consommation-directe-et-production-denergie-des-edt-et-des-cuma,0.12585984,True,430
agreste-bilans-d-approvisionnement,0.12294357,True,192
donnees-de-consommations-et-habitudes-alimentaires-de-letude-inca-3,0.119694315,True,192
agreste-productions-avicoles-aviculture,0.11942845,True,132
agreste-enquete-annuelle-laitiere,0.11762305,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2004-30378653,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2003-30379125,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2002-30379262,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2005-30378690,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2006-30379187,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2001-30379209,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2009-30378969,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2008-30378793,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2007-30378866,0.10581639,True,132
declarations-francaises-annuelles-de-captures-de-produits-de-la-mer-2010-30378914,0.10581639,True,132
agreste-valeur-venale-des-terres,0.10555069,True,430
agreste-entreprises-agroalimentaires-echanges-exterieurs,0.10408238,True,132
equilibre-national-mensuel-production-consommation-brute,0.10214783,True,132
produits-biocides-30381961,0.08878262,True,132
produits-de-la-peche-fishery-products,0.08759992,True,132
