slug_or_id,score,in_gd4h,topic
agreste-donnees-communales-principales-cultures-nombre-d-exploitations-en-cultivant-et-superficie--0,0.22979309,True,430
ra-superficie-agricole-utilisee-sau-des-exploitations-moyennes-et-grandes-exploitations,0.22895747,False,192
ra-superficie-agricole-utilisee-sau-des-exploitations-ensemble-des-exploitations,0.22862385,False,192
agreste-donnees-communales-principales-cultures-nombre-d-exploitations-en-cultivant-et-superficie-ch,0.22850738,True,430
ra-superficie-agricole-utilisee-sau-des-exploitations-petites-exploitations,0.22845776,False,192
ra-exploitations-selon-lage-du-chef-dexploitation-petites-exploitations,0.22670901,False,192
ra-succession-petites-exploitations,0.22625995,False,192
ra-succession-moyennes-et-grandes-exploitations,0.22578306,False,192
ra-exploitations-selon-lage-du-chef-dexploitation-grandes-et-moyennes-exploitations,0.2255608,False,192
ra-succession-ensemble-des-exploitations,0.22533122,False,192
ra-exploitations-selon-lage-du-chef-dexploitation-ensemble-des-exploitations,0.22486931,False,192
ra-statut-juridique-des-exploitations-moyennes-et-grandes-exploitations,0.22390366,False,192
ra-statut-juridique-des-exploitations-petites-grandes-exploitations,0.2237647,False,192
ra-statut-juridique-des-exploitations-ensemble-des-exploitations,0.22348526,False,192
ra-exploitants-et-salaries-des-exploitations-agricoles-ensemble-des-exploitations,0.22281508,False,192
ra-exploitations-par-tranche-de-superficie-agricole-utilisee-sau-petites-exploitations,0.22263049,False,192
ra-exploitations-par-tranche-de-superficie-agricole-utilisee-sau-ensemble-des-exploitations,0.22198443,False,192
ra-exploitants-et-salaries-des-exploitations-agricoles-petites-exploitations,0.22183235,False,192
ra-orientation-technico-economique-des-exploitations-grandes-et-moyennes-exploitations,0.2216935,False,192
ra-cheptels-et-unites-gros-betail-moyennes-et-grandes-exploitations,0.22132295,False,192
ra-exploitations-par-tranche-de-superficie-agricole-utilisee-sau-moyennes-et-grandes-exploitations,0.22128405,False,192
ra-orientation-technico-economique-des-exploitations-petites-exploitations,0.22116815,False,192
ra-exploitants-et-salaries-des-exploitations-agricoles-moyennes-et-grandes-exploitations,0.22097823,False,192
agreste-donnees-communales-nombre-d-exploitations-agricoles-par-succession-champ-moyennes-et-grandes,0.22071144,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-orientation-technico-,0.22067063,True,430
ra-cheptels-et-unites-gros-betail-ensemble-des-exploitations,0.22025111,False,192
ra-orientation-technico-economique-des-exploitations-ensemble-des-exploitations,0.2195558,False,192
ra-cheptels-et-unites-gros-betail-petites-exploitations,0.21877337,False,192
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-statut-juridique-ch-0,0.21794052,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-age-du-chef-ou-du-p-0,0.21630782,True,430
ra-methode-de-culture-elements-de-paysages-ensemble-des-exploitations,0.21627441,False,192
ra-methode-de-culture-elements-de-paysages-petites-exploitations,0.21626183,False,192
ra-methode-de-culture-elements-de-paysages-moyennes-et-grandes-exploitations,0.21495475,False,192
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-orientation-technic-0,0.21381445,True,430
ra-cheptels-selon-la-taille-du-troupeau-moyennes-et-grandes-exploitations,0.21354364,False,192
ra-volume-de-travail-dans-les-exploitations-agricoles-ensemble-des-exploitations,0.21352163,False,192
ra-volume-de-travail-dans-les-exploitations-agricoles-moyennes-et-grandes-exploitations,0.21270426,False,192
ra-cheptels-selon-la-taille-du-troupeau-ensemble-des-exploitations,0.21254635,False,192
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-age-du-chef-ou-du-pre,0.21206942,True,430
ra-cheptels-selon-la-taille-du-troupeau-petites-exploitations,0.21161261,False,192
agreste-donnees-communales-nombre-d-exploitations-agricoles-et-superficies-par-statut-juridique-cham,0.21158499,True,430
agreste-donnees-communales-nombre-d-exploitations-agricoles-par-succession-champ-ensemble-des-exploi,0.20761052,True,430
agreste-donnees-communales-principaux-cheptels-nombre-d-elevages-et-cheptel-champ-moyennes-et-grande,0.2071184,True,430
agreste-donnees-communales-main-d-oeuvre-permanente-dans-les-exploitations-agricoles-champ-moyennes-,0.20614503,True,430
agreste-les-principaux-resultats-des-recensements-agricoles-2010-2000-et-1988-par-departement-et-can,0.20420985,True,430
ra-diversification-signes-de-qualite-circuit-court-ensemble-des-exploitations,0.20201094,False,192
ra-culture-selon-la-superficie-petites-exploitations,0.20115167,False,192
ra-diversification-signes-de-qualite-circuit-court-moyennes-et-grandes-exploitations,0.20094661,False,192
ra-culture-selon-la-superficie-moyennes-et-grandes-exploitations,0.20027572,False,192
ra-culture-selon-la-superficie-ensemble-des-exploitations,0.1998123,False,192
historique-departemental-sur-les-stocks-de-cereales-depuis-2000-1,0.19977215,False,132
ra-diversification-signes-de-qualite-circuit-court-petites-exploitations,0.19968842,False,192
agreste-donnees-communales-principaux-cheptels-nombre-d-elevages-et-cheptel-champ-ensemble-des-explo,0.19936119,True,430
recensements-agricoles-par-communes-cors,0.19889443,False,192
agreste-nombre-d-exploitations-agricoles-aux-recensements-de-l-agriculture-2010-et-2000,0.19714965,True,430
agreste-donnees-communales-main-d-oeuvre-permanente-dans-les-exploitations-agricoles-champ-ensemble-,0.1963251,True,430
historique-departemental-incorporations-de-cereales-depuis-2000,0.19267236,False,132
historique-departemental-sur-les-stocks-de-cereales-depuis-2000,0.19008914,False,132
donnees-economiques-sur-la-filiere-des-cereales-biologiques,0.185732,False,132
cultures-par-commune-cors,0.18187074,False,192
rga2020-epci,0.181829,False,192
incorporations-mensuelles-en-cereales-par-les-fabricants-daliments-pour-betail,0.1794225,False,132
cheptels-selon-la-taille-du-troupeau-par-commune-cors,0.17911315,False,192
stock-chez-les-fabricants-daliments-pour-betail,0.17895748,False,132
incorporations-et-stocks-par-les-fabricants-daliments-pour-betail,0.17639314,False,132
exploitations-et-surfaces-agricoles-en-gironde-1,0.17564917,False,192
exploitations-et-surfaces-agricoles-en-gironde,0.17564917,False,192
stock-des-fabricants-daliments-biologiques-pour-betail,0.17342272,False,132
agreste-donnees-communales-resultats-des-recensements-agricoles-par-commune,0.16979828,True,430
bilans-mensuels,0.16918978,False,132
